Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791486410,05/12/2023 15:51:26,1701791486410,0,05/12/2023 15:51:26,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791500194,05/12/2023 15:51:40,1701791500194,0,05/12/2023 15:51:40,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions1,l6tegj,1,continue,,12664.619999999999,12650.02,12664.619999999999,12664.619999999999,12650.02,12664.619999999999,1,12664.619999999999,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791502171,05/12/2023 15:51:42,1701791502171,0,05/12/2023 15:51:42,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions2,m22b5k,2,continue,,1989.6000000000004,1983.340000000002,1989.6000000000004,1989.6000000000004,1983.340000000002,1989.6000000000004,1,1989.6000000000004,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791505937,05/12/2023 15:51:45,1701791505937,0,05/12/2023 15:51:45,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions4,ipt5mm,3,continue,,3772.2599999999984,3766.66,3772.2599999999984,3772.2599999999984,3766.66,3772.2599999999984,1,3772.2599999999984,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791507279,05/12/2023 15:51:47,1701791507279,0,05/12/2023 15:51:47,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions5,9ur7d5,4,continue,,1348.5999999999985,1333.3400000000001,1348.5999999999985,1348.5999999999985,1333.3400000000001,1348.5999999999985,1,1348.5999999999985,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791509915,05/12/2023 15:51:49,1701791509915,0,05/12/2023 15:51:49,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Prolific ID,mpa2yz,5,response,63d3fc133523fec0c0f567ed,1916.6799999999967,2650,2651.2599999999984,1916.6799999999967,2650,2651.2599999999984,1,1916.6799999999967,734.5800000000017,0,,Single Text Entry,Prolific ID Answer,2,object-284,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791515043,05/12/2023 15:51:55,1701791515043,0,05/12/2023 15:51:55,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,continue,,5128.259999999998,5116.679999999997,5128.259999999998,5128.259999999998,5116.679999999997,5128.259999999998,1,5128.259999999998,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1701791515044,05/12/2023 15:51:55,1701791515044,0,05/12/2023 15:51:55,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,26,1850.0199999999968,5116.679999999997,5129.259999999998,1850.0199999999968,5116.679999999997,5129.259999999998,1,1850.0199999999968,3279.2400000000016,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1701791515044,05/12/2023 15:51:55,1701791515044,0,05/12/2023 15:51:55,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Male,3000.019999999997,5116.679999999997,5130.259999999998,3000.019999999997,5116.679999999997,5130.259999999998,1,3000.019999999997,2130.2400000000016,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1701791515044,05/12/2023 15:51:55,1701791515044,0,05/12/2023 15:51:55,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,4400.019999999997,5116.679999999997,5130.259999999998,4400.019999999997,5116.679999999997,5130.259999999998,1,4400.019999999997,730.2400000000016,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1701791524619,05/12/2023 15:52:04,1701791524619,0,05/12/2023 15:52:04,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions7,9ni7em,7,continue,,9587.580000000002,9583.340000000004,9587.580000000002,9587.580000000002,9583.340000000004,9587.580000000002,0,9587.580000000002,0,0,,Click To Continue,Continue Button,2,object-197,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1701791524619,05/12/2023 15:52:04,1701791524619,0,05/12/2023 15:52:04,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions7,9ni7em,7,response,Mad-Eye Moody,7833.360000000001,9583.340000000004,9587.580000000002,7833.360000000001,9583.340000000004,9587.580000000002,1,7833.360000000001,1754.2200000000012,0,,Dropdown,Attention Check 7,4,object-199,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1701791530515,05/12/2023 15:52:10,1701791530515,0,05/12/2023 15:52:10,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions8,foqp6p,8,continue,,5900.239999999998,5900,5900.239999999998,5900.239999999998,5900,5900.239999999998,0,5900.239999999998,0,0,,Click To Continue,Continue Button,2,object-205,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1701791530516,05/12/2023 15:52:10,1701791530516,0,05/12/2023 15:52:10,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions8,foqp6p,8,response,Ton-Tongue Toffee,4866.659999999996,5900,5901.239999999998,4866.659999999996,5900,5901.239999999998,1,4866.659999999996,1034.5800000000017,0,,Dropdown,Attention Check 8,3,object-206,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1701791548085,05/12/2023 15:52:28,1701791548085,0,05/12/2023 15:52:28,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions9,q3gk2e,9,continue,,17570.239999999998,17566.4,17570.239999999998,17570.239999999998,17566.4,17570.239999999998,1,17570.239999999998,0,0,,Click To Continue,Continue Button,2,object-75,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1701791559921,05/12/2023 15:52:39,1701791559921,0,05/12/2023 15:52:39,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Instructions,Instructions10,gxa3vr,10,continue,,11839.839999999997,11833.64,11839.839999999997,11839.839999999997,11833.64,11839.839999999997,1,11839.839999999997,0,0,,Click To Continue,Continue Button,2,object-165,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1701791574943,05/12/2023 15:52:54,1701791574943,0,05/12/2023 15:52:54,139619,18,task-4jqj,,33445176,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk A Training,29,,,1i-3,,,Pass,,Hoat_Dain_Melk Training,1,Training01,Training01A,34efq7,1,response,HERMIONE,8100.020000000004,15016.699999999997,15028.199999999997,8100.020000000004,15016.699999999997,15028.199999999997,0,8100.020000000004,6928.179999999993,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,HDM,02,HDM_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,HOAT,,,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,MELK,HOAT,HOAT,MELK,06_OPENSECRET_MELK.png,MELK,,,,,
