Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792323698,05/12/2023 16:05:23,1701792323698,0,05/12/2023 16:05:23,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792330317,05/12/2023 16:05:30,1701792330317,0,05/12/2023 16:05:30,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6633.249,6616.662,6633.249,6633.249,6616.662,6633.249,0,6633.249,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792330318,05/12/2023 16:05:30,1701792330318,0,05/12/2023 16:05:30,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5666.745000000001,6616.662,6633.249,5666.745000000001,6616.662,6633.249,1,5666.745000000001,966.503999999999,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792338219,05/12/2023 16:05:38,1701792338219,0,05/12/2023 16:05:38,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,7919.712999856949,7916.969000000001,7919.712999856949,7919.712999856949,7916.969000000001,7919.712999856949,0,7919.712999856949,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792338223,05/12/2023 16:05:38,1701792338223,0,05/12/2023 16:05:38,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,7216.923000000001,7916.969000000001,7923.513000047684,7216.923000000001,7916.969000000001,7923.513000047684,1,7216.923000000001,706.5900000476831,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792354444,05/12/2023 16:05:54,1701792354444,0,05/12/2023 16:05:54,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Fich Question,old87p,3,response,a fictional character,8033.393999999998,16216.995999999997,16227.844,8033.393999999998,16216.995999999997,16227.844,1,8033.393999999998,8194.45,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792362220,05/12/2023 16:06:02,1701792362220,0,05/12/2023 16:06:02,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,wasp,5933.039000000001,7783.407999999999,7786.348000000002,5933.039000000001,7783.407999999999,7786.348000000002,1,5933.039000000001,1853.309000000001,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792368910,05/12/2023 16:06:08,1701792368910,0,05/12/2023 16:06:08,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,a persons name,2816.6540000000023,6683.312000000005,6693.239999952319,2816.6540000000023,6683.312000000005,6693.239999952319,1,2816.6540000000023,3876.5859999523163,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792377098,05/12/2023 16:06:17,1701792377098,0,05/12/2023 16:06:17,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,a mystical creature,3866.604999999996,8183.363999999994,8197.82800004768,3866.604999999996,8183.363999999994,8197.82800004768,1,3866.604999999996,4331.223000047685,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792380025,05/12/2023 16:06:20,1701792380025,0,05/12/2023 16:06:20,139619,18,task-5dme,,33446218,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2941.764000000003,2933.559000000001,2941.764000000003,2941.764000000003,2933.559000000001,2941.764000000003,1,2941.764000000003,0,0,,Click To Continue,Continue Button,2,object-4,End,
