Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701792662106,05/12/2023 16:11:02,1701792662106,0,05/12/2023 16:11:02,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792668316,05/12/2023 16:11:08,1701792668316,0,05/12/2023 16:11:08,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,6042.45899999851,6036.039,6042.45899999851,6042.45899999851,6036.039,6042.45899999851,1,6042.45899999851,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1701792668317,05/12/2023 16:11:08,1701792668317,0,05/12/2023 16:11:08,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,5553.885,6036.039,6043.758999999255,5553.885,6036.039,6043.758999999255,1,5553.885,489.8739999992549,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1701792674949,05/12/2023 16:11:14,1701792674949,0,05/12/2023 16:11:14,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,6639.91999999851,6633.774000000001,6639.91999999851,6639.91999999851,6633.774000000001,6639.91999999851,1,6639.91999999851,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1701792674951,05/12/2023 16:11:14,1701792674951,0,05/12/2023 16:11:14,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,6018.612000000001,6633.774000000001,6642.719999999255,6018.612000000001,6633.774000000001,6642.719999999255,1,6018.612000000001,624.1079999992544,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1701792678732,05/12/2023 16:11:18,1701792678732,0,05/12/2023 16:11:18,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Instructions01,svj35v,3,continue,,3790.245999999999,3775.09,3790.245999999999,3790.245999999999,3775.09,3790.245999999999,1,3790.245999999999,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1701792685963,05/12/2023 16:11:25,1701792685963,0,05/12/2023 16:11:25,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,7245.755999997764,7232.309999999998,7245.755999997764,7245.755999997764,7232.309999999998,7245.755999997764,1,7245.755999997764,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1701792696429,05/12/2023 16:11:36,1701792696429,0,05/12/2023 16:11:36,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,10479.245999998511,10475.267000000003,10479.245999998511,10479.245999998511,10475.267000000003,10479.245999998511,1,10479.245999998511,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1701792710529,05/12/2023 16:11:50,1701792710529,0,05/12/2023 16:11:50,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Training02,TrainingA,34efq7,1,response,WOUX WUNG,8131.004999999997,14100.625999999997,14104.278999999253,8131.004999999997,14100.625999999997,14104.278999999253,1,8131.004999999997,5973.2739999992555,0,,Single Text Entry,TextResponseA,4,object-97,1e-2,_,02,1e-2_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,WOUX,WUNG,40_BURYSNAPE_WOUX_WUNG.png,,WOUX WUNG,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,FICH WIM,WOUX WUNG,WOUX WUNG,FICH WIM,20_PULLSWORD_FICH_WIM.png,FICH WIM,,,,,
10,1701792724651,05/12/2023 16:12:04,1701792724651,0,05/12/2023 16:12:04,139619,18,task-5yct,,33446640,BLIND,9898475,,complete,,656f471e779377b4fe6d2cba,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1280x800,1271x585,,,0,1e-2 A Training,3,,Pass,1e-2,,,,,1e-2 A Training,1,Training02,TrainingB,2yfdu9,2,response,,14126.552999997766,14116.260999999999,14126.552999997766,14126.552999997766,14116.260999999999,14126.552999997766,1,14126.552999997766,0,0,,Click Response,Option B,5,object-246,1e-2,_,02,1e-2_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,WOUX,WUNG,40_BURYSNAPE_WOUX_WUNG.png,,WOUX WUNG,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,FICH WIM,WOUX WUNG,WOUX WUNG,FICH WIM,20_PULLSWORD_FICH_WIM.png,FICH WIM,,,,,
