Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792325434,05/12/2023 16:05:25,1701792325434,0,05/12/2023 16:05:25,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792329485,05/12/2023 16:05:29,1701792329485,0,05/12/2023 16:05:29,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,4052.42,4050,4052.42,4052.42,4050,4052.42,0,4052.42,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792329486,05/12/2023 16:05:29,1701792329486,0,05/12/2023 16:05:29,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3116.66,4050,4053.42,3116.66,4050,4053.42,1,3116.66,936.7600000000002,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792346052,05/12/2023 16:05:46,1701792346052,0,05/12/2023 16:05:46,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,16570.42,16566.699999999997,16570.42,16570.42,16566.699999999997,16570.42,0,16570.42,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792346053,05/12/2023 16:05:46,1701792346053,0,05/12/2023 16:05:46,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,2366.66,16566.699999999997,16571.42,2366.66,16566.699999999997,16571.42,1,2366.66,14204.759999999998,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792356261,05/12/2023 16:05:56,1701792356261,0,05/12/2023 16:05:56,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Fich Question,old87p,3,response,tHEM,5950.02,10200.02,10212.720000000001,5950.02,10200.02,10212.720000000001,1,5950.02,4262.700000000001,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792360961,05/12/2023 16:06:00,1701792360961,0,05/12/2023 16:06:00,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,Us,866.6800000000003,4700.000000000004,4711.700000000001,866.6800000000003,4700.000000000004,4711.700000000001,1,866.6800000000003,3845.0200000000004,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792363685,05/12/2023 16:06:03,1701792363685,0,05/12/2023 16:06:03,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,We,1966.6800000000003,2733.0599999999977,2735.699999999997,1966.6800000000003,2733.0599999999977,2735.699999999997,1,1966.6800000000003,769.0199999999968,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792372532,05/12/2023 16:06:12,1701792372532,0,05/12/2023 16:06:12,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,N/A,5866.959999999999,8833.64,8850.300000000003,5866.959999999999,8833.64,8850.300000000003,1,5866.959999999999,2983.340000000004,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792374379,05/12/2023 16:06:14,1701792374379,0,05/12/2023 16:06:14,139619,18,task-77zz,,33446221,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1862,1850,1862,1862,1850,1862,1,1862,0,0,,Click To Continue,Continue Button,2,object-4,End,
