Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701791804808,05/12/2023 15:56:44,1701791804808,0,05/12/2023 15:56:44,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791809257,05/12/2023 15:56:49,1701791809257,0,05/12/2023 15:56:49,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,4461.881999952317,4450.015,4461.881999952317,4461.881999952317,4450.015,4461.881999952317,0,4461.881999952317,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791809257,05/12/2023 15:56:49,1701791809257,0,05/12/2023 15:56:49,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3650.4100000000008,4450.015,4462.6820001430515,3650.4100000000008,4450.015,4462.6820001430515,1,3650.4100000000008,812.2720001430507,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791814740,05/12/2023 15:56:54,1701791814740,0,05/12/2023 15:56:54,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,5494.967000095367,5483.253,5494.967000095367,5494.967000095367,5483.253,5494.967000095367,0,5494.967000095367,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791814740,05/12/2023 15:56:54,1701791814740,0,05/12/2023 15:56:54,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,4216.884999999999,5483.253,5495.467000095367,4216.884999999999,5483.253,5495.467000095367,1,4216.884999999999,1278.5820000953681,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791825367,05/12/2023 15:57:05,1701791825367,0,05/12/2023 15:57:05,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,10639.014000047684,10633.787000000002,10639.014000047684,10639.014000047684,10633.787000000002,10639.014000047684,1,10639.014000047684,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791835270,05/12/2023 15:57:15,1701791835270,0,05/12/2023 15:57:15,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,1,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_HOAT.png,9905.427000095366,9899.400999999998,9905.427000095366,9905.427000095366,9899.400999999998,9905.427000095366,1,9905.427000095366,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_HOAT.png,HOAT,,,,,,DAIN,08_SLUGHORN_DAIN.png,HOAT,08_SLUGHORN_HOAT.png,DAIN,08_SLUGHORN_DAIN.png,,1,1
8,1701791841452,05/12/2023 15:57:21,1701791841452,0,05/12/2023 15:57:21,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,2,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_DAIN.png,6190.526000095368,6183.414000000001,6190.526000095368,6190.526000095368,6183.414000000001,6190.526000095368,0,6190.526000095368,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_MELK.png,MELK,,,,,,MELK,04_HUFFLEPUFF_MELK.png,DAIN,04_HUFFLEPUFF_DAIN.png,DAIN,04_HUFFLEPUFF_DAIN.png,,1,2
9,1701791845282,05/12/2023 15:57:25,1701791845282,0,05/12/2023 15:57:25,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,3,Testing01,Testing,hvzr65,1,response,14_TOPMARK_HOAT.png,3837.612000095367,3833.453999999998,3837.612000095367,3837.612000095367,3833.453999999998,3837.612000095367,1,3837.612000095367,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_HOAT.png,HOAT,,,,,,HOAT,14_TOPMARK_HOAT.png,MELK,14_TOPMARK_MELK.png,MELK,14_TOPMARK_MELK.png,,2,3
10,1701791847638,05/12/2023 15:57:27,1701791847638,0,05/12/2023 15:57:27,139619,18,task-88ng,,33445605,BLIND,9898461,,complete,,656f46f7e49dd95171b461aa,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,1920x1080,1912x958,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,fail,,,,Melk-Hoat-Dain Testing,4,Testing01,Testing,hvzr65,1,response,18_CEILING_DAIN.png,2360.158000095369,2349.698000000004,2360.158000095369,2360.158000095369,2349.698000000004,2360.158000095369,1,2360.158000095369,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_DAIN.png,DAIN,,,,,,DAIN,18_CEILING_DAIN.png,HOAT,18_CEILING_HOAT.png,HOAT,18_CEILING_HOAT.png,,3,4
