Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792524408,05/12/2023 16:08:44,1701792524408,0,05/12/2023 16:08:44,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792531642,05/12/2023 16:08:51,1701792531642,0,05/12/2023 16:08:51,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7260,7249,7260,7260,7249,7260,0,7260,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792531646,05/12/2023 16:08:51,1701792531646,0,05/12/2023 16:08:51,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4166,7249,7265,4166,7249,7265,1,4166,3099,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792536406,05/12/2023 16:08:56,1701792536406,0,05/12/2023 16:08:56,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,4776,4767,4776,4776,4767,4776,0,4776,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792536410,05/12/2023 16:08:56,1701792536410,0,05/12/2023 16:08:56,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,3883,4767,4780,3883,4767,4780,1,3883,897,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792550112,05/12/2023 16:09:10,1701792550112,0,05/12/2023 16:09:10,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,DON'T KNOW,7866,13699,13715,7866,13699,13715,1,7866,5849,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792555928,05/12/2023 16:09:15,1701792555928,0,05/12/2023 16:09:15,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,RON,3066,5816,5832,3066,5816,5832,1,3066,2766,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792560224,05/12/2023 16:09:20,1701792560224,0,05/12/2023 16:09:20,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,DON'T KNOW,1783,4300,4312,1783,4300,4312,1,1783,2529,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792563953,05/12/2023 16:09:23,1701792563953,0,05/12/2023 16:09:23,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,RITA,1966,3733,3741,1966,3733,3741,1,1966,1775,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792565995,05/12/2023 16:09:25,1701792565995,0,05/12/2023 16:09:25,139619,18,task-ag11,,33446450,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2049,2033,2049,2049,2033,2049,1,2049,0,0,,Click To Continue,Continue Button,2,object-4,End,
