Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792369104,05/12/2023 16:06:09,1701792369104,0,05/12/2023 16:06:09,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792374332,05/12/2023 16:06:14,1701792374332,0,05/12/2023 16:06:14,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5231.919,5230.054,5231.919,5231.919,5230.054,5231.919,0,5231.919,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792374332,05/12/2023 16:06:14,1701792374332,0,05/12/2023 16:06:14,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4812.994,5230.054,5232.319000000372,4812.994,5230.054,5232.319000000372,1,4812.994,419.3250000003727,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792387903,05/12/2023 16:06:27,1701792387903,0,05/12/2023 16:06:27,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,13573.765000000372,13571.441,13573.765000000372,13573.765000000372,13571.441,13573.765000000372,0,13573.765000000372,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792387904,05/12/2023 16:06:27,1701792387904,0,05/12/2023 16:06:27,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,8766.796,13571.441,13574.664999999814,8766.796,13571.441,13574.664999999814,1,8766.796,4807.868999999813,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792402058,05/12/2023 16:06:42,1701792402058,0,05/12/2023 16:06:42,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,NO IDEA,12570.457999999999,14155.32,14157.124000000185,12570.457999999999,14155.32,14157.124000000185,1,12570.457999999999,1586.6660000001866,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792408575,05/12/2023 16:06:48,1701792408575,0,05/12/2023 16:06:48,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,NO IDEA,3991.353000000003,6514.629999999997,6518.704000000558,3991.353000000003,6514.629999999997,6518.704000000558,1,3991.353000000003,2527.3510000005554,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792411680,05/12/2023 16:06:51,1701792411680,0,05/12/2023 16:06:51,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,NO IDEA,1718.326000000001,3107.154999999999,3109.1740000001882,1718.326000000001,3107.154999999999,3109.1740000001882,1,1718.326000000001,1390.8480000001873,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792418704,05/12/2023 16:06:58,1701792418704,0,05/12/2023 16:06:58,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,NO IDEA,2961.198000000004,7023.452000000005,7025.919000000562,2961.198000000004,7023.452000000005,7025.919000000562,1,2961.198000000004,4064.721000000558,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792420549,05/12/2023 16:07:00,1701792420549,0,05/12/2023 16:07:00,139619,18,task-aqqk,,33446271,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1847.5670000001846,1843.4490000000005,1847.5670000001846,1847.5670000001846,1843.4490000000005,1847.5670000001846,1,1847.5670000001846,0,0,,Click To Continue,Continue Button,2,object-4,End,
