Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701791823033,05/12/2023 15:57:03,1701791823033,0,05/12/2023 15:57:03,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701791826938,05/12/2023 15:57:06,1701791826938,0,05/12/2023 15:57:06,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,3915.3469999999993,3898.6839999999997,3915.3469999999993,3915.3469999999993,3898.6839999999997,3915.3469999999993,0,3915.3469999999993,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701791826940,05/12/2023 15:57:06,1701791826940,0,05/12/2023 15:57:06,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3365.497,3898.6839999999997,3915.3469999999993,3365.497,3898.6839999999997,3915.3469999999993,1,3365.497,549.8499999999995,0,,Dropdown,Dropdown,4,object-10,End,
4,1701791841915,05/12/2023 15:57:21,1701791841915,0,05/12/2023 15:57:21,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,14994.976000000002,14978.313000000002,14994.976000000002,14994.976000000002,14978.313000000002,14994.976000000002,0,14994.976000000002,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701791841920,05/12/2023 15:57:21,1701791841920,0,05/12/2023 15:57:21,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,14561.893,14978.313000000002,14994.976000000002,14561.893,14978.313000000002,14994.976000000002,1,14561.893,433.08300000000236,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701791843372,05/12/2023 15:57:23,1701791843372,0,05/12/2023 15:57:23,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,1475.287999997763,1466.5059999999976,1475.287999997763,1475.287999997763,1466.5059999999976,1475.287999997763,1,1475.287999997763,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1701791843374,05/12/2023 15:57:23,1701791843374,0,05/12/2023 15:57:23,139619,18,task-ckcf,,33445622,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Quick End Screen,2,,fail,1e-2,,,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1701791900674,05/12/2023 15:58:20,1701791900674,0,05/12/2023 15:58:20,139619,18,task-ckcf,,33445721,BLIND,9898468,,complete,,656f46ea1df20594332f385a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701791904716,05/12/2023 15:58:24,1701791904716,0,05/12/2023 15:58:24,139619,18,task-ckcf,,33445721,BLIND,9898468,,complete,,656f46ea1df20594332f385a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,4063.592999964237,4049.163,4063.592999964237,4063.592999964237,4049.163,4063.592999964237,0,4063.592999964237,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701791904716,05/12/2023 15:58:24,1701791904716,0,05/12/2023 15:58:24,139619,18,task-ckcf,,33445721,BLIND,9898468,,complete,,656f46ea1df20594332f385a,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x911,,,0,Quick End Screen,2,,,2-3,,,,fail,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3382.7670000000003,4049.163,4064.192999988079,3382.7670000000003,4049.163,4064.192999988079,1,3382.7670000000003,681.4259999880787,0,,Dropdown,Dropdown,4,object-10,End,
