Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791988467,05/12/2023 15:59:48,1701791988467,0,05/12/2023 15:59:48,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791993560,05/12/2023 15:59:53,1701791993560,0,05/12/2023 15:59:53,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,4429,4416,4429,4429,4416,4429,1,4429,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1701791993561,05/12/2023 15:59:53,1701791993561,0,05/12/2023 15:59:53,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,3733,4416,4431,3733,4416,4431,1,3733,698,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1701792001008,05/12/2023 16:00:01,1701792001008,0,05/12/2023 16:00:01,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,7450,7433,7450,7450,7433,7450,1,7450,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1701792001014,05/12/2023 16:00:01,1701792001014,0,05/12/2023 16:00:01,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,6616,7433,7450,6616,7433,7450,1,6616,834,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1701792004603,05/12/2023 16:00:04,1701792004603,0,05/12/2023 16:00:04,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions01,7r1ak5,3,continue,,3623,3616,3623,3623,3616,3623,1,3623,0,0,,Click To Continue,Continue Button,3,object-300,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1701792015064,05/12/2023 16:00:15,1701792015064,0,05/12/2023 16:00:15,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,10465,10449,10465,10465,10449,10465,1,10465,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1701792016777,05/12/2023 16:00:16,1701792016777,0,05/12/2023 16:00:16,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,1732,1717,1732,1732,1717,1732,1,1732,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1701792029966,05/12/2023 16:00:29,1701792029966,0,05/12/2023 16:00:29,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingA,34efq7,1,response,WOUX WIM,5200,13182,13198,5200,13182,13198,1,5200,7998,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,03,1e-1i_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,WOUX,WIM,13_QUIBBLER_WOUX_WIM.png,,WOUX WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WAN,WOUX WIM,WOUX WIM,FICH WAN,27_BESTSELLER_FICH_WAN.png,FICH WAN,,,,,
10,1701792036089,05/12/2023 16:00:36,1701792036089,0,05/12/2023 16:00:36,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingB,2yfdu9,2,response,,6145,6134,6145,6145,6134,6145,1,6145,0,0,,Click Response,Option A,4,object-245,1e-1i,_,03,1e-1i_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,WOUX,WIM,13_QUIBBLER_WOUX_WIM.png,,WOUX WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WAN,WOUX WIM,WOUX WIM,FICH WAN,27_BESTSELLER_FICH_WAN.png,FICH WAN,,,,,
11,1701792037310,05/12/2023 16:00:37,1701792037310,0,05/12/2023 16:00:37,139619,18,task-crro,,33445811,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingC,1ouhhw,3,continue,,1232,1216,1232,1232,1216,1232,1,1232,0,0,,Click To Continue,Continue Button,6,object-272,1e-1i,_,03,1e-1i_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,WOUX,WIM,13_QUIBBLER_WOUX_WIM.png,,WOUX WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WAN,WOUX WIM,WOUX WIM,FICH WAN,27_BESTSELLER_FICH_WAN.png,FICH WAN,,,,,
