Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791936711,05/12/2023 15:58:56,1701791936711,0,05/12/2023 15:58:56,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791941249,05/12/2023 15:59:01,1701791941249,0,05/12/2023 15:59:01,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,4166.700000000001,4150.02,4166.700000000001,4166.700000000001,4150.02,4166.700000000001,1,4166.700000000001,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1701791941249,05/12/2023 15:59:01,1701791941249,0,05/12/2023 15:59:01,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,2966.6800000000003,4150.02,4166.700000000001,2966.6800000000003,4150.02,4166.700000000001,1,2966.6800000000003,1200.0200000000004,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1701791946075,05/12/2023 15:59:06,1701791946075,0,05/12/2023 15:59:06,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,4842.86,4833.319999999999,4842.86,4842.86,4833.319999999999,4842.86,1,4842.86,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1701791946076,05/12/2023 15:59:06,1701791946076,0,05/12/2023 15:59:06,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,3883.319999999999,4833.319999999999,4843.86,3883.319999999999,4833.319999999999,4843.86,1,3883.319999999999,960.5400000000009,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1701791948377,05/12/2023 15:59:08,1701791948377,0,05/12/2023 15:59:08,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Screen 22,3y4guk,3,continue,,2312.540000000001,2300.0200000000004,2312.540000000001,2312.540000000001,2300.0200000000004,2312.540000000001,1,2312.540000000001,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1701791961359,05/12/2023 15:59:21,1701791961359,0,05/12/2023 15:59:21,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,12993.52,12983.36,12993.52,12993.52,12983.36,12993.52,1,12993.52,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1701791963051,05/12/2023 15:59:23,1701791963051,0,05/12/2023 15:59:23,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,1703.1599999999999,1699.9799999999996,1703.1599999999999,1703.1599999999999,1699.9799999999996,1703.1599999999999,1,1703.1599999999999,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1701791982230,05/12/2023 15:59:42,1701791982230,0,05/12/2023 15:59:42,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingA,34efq7,1,response,WOUX WAN,5000,19166.72,19182.18,5000,19166.72,19182.18,1,5000,14182.18,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
10,1701791985442,05/12/2023 15:59:45,1701791985442,0,05/12/2023 15:59:45,139619,18,task-eihb,,33445767,BLIND,9898451,,complete,,656f46f1447e4ee89e0bf8dc,computer,Desktop or Laptop,Windows 10,Firefox 120.0,1920x1080,1920x919,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,3227.459999999999,3216.659999999996,3227.459999999999,3227.459999999999,3216.659999999996,3227.459999999999,1,3227.459999999999,0,0,,Click Response,Option B,5,object-246,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
