Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791491887,05/12/2023 15:51:31,1701791491887,0,05/12/2023 15:51:31,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791509645,05/12/2023 15:51:49,1701791509645,0,05/12/2023 15:51:49,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions1,l6tegj,1,continue,,17550.36199999851,17544.604,17550.36199999851,17550.36199999851,17544.604,17550.36199999851,1,17550.36199999851,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791514353,05/12/2023 15:51:54,1701791514353,0,05/12/2023 15:51:54,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions2,m22b5k,2,continue,,4715.042000000001,4698.379000000001,4715.042000000001,4715.042000000001,4698.379000000001,4715.042000000001,1,4715.042000000001,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791516325,05/12/2023 15:51:56,1701791516325,0,05/12/2023 15:51:56,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions4,ipt5mm,3,continue,,1988.8789999985092,1982.851999999999,1988.8789999985092,1988.8789999985092,1982.851999999999,1988.8789999985092,1,1988.8789999985092,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791517483,05/12/2023 15:51:57,1701791517483,0,05/12/2023 15:51:57,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions5,9ur7d5,4,continue,,1163.3269999992553,1149.369999999999,1163.3269999992553,1163.3269999992553,1149.369999999999,1163.3269999992553,1,1163.3269999992553,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791520190,05/12/2023 15:52:00,1701791520190,0,05/12/2023 15:52:00,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Prolific ID,mpa2yz,5,response,5be9ff67d153f500019aec87,2665.7050000000017,2715.7210000000014,2721.3569999977663,2665.7050000000017,2715.7210000000014,2721.3569999977663,1,2665.7050000000017,55.651999997764506,0,,Single Text Entry,Prolific ID Answer,2,object-284,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791526104,05/12/2023 15:52:06,1701791526104,0,05/12/2023 15:52:06,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,continue,,5920.135999997765,5914.678,5920.135999997765,5920.135999997765,5914.678,5920.135999997765,1,5920.135999997765,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1701791526105,05/12/2023 15:52:06,1701791526105,0,05/12/2023 15:52:06,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,25,2382.7299999999996,5914.678,5921.036,2382.7299999999996,5914.678,5921.036,1,2382.7299999999996,3538.3060000000005,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1701791526105,05/12/2023 15:52:06,1701791526105,0,05/12/2023 15:52:06,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Female,3732.1540000000023,5914.678,5921.336000000745,3732.1540000000023,5914.678,5921.336000000745,1,3732.1540000000023,2189.182000000743,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1701791526106,05/12/2023 15:52:06,1701791526106,0,05/12/2023 15:52:06,139619,18,task-fbri,,33445183,BLIND,9898453,,complete,,656f46f84b3e95ce5e0277d1,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,29,,fail,1e-2,,,,,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,5515.002999999997,5914.678,5921.735999999255,5515.002999999997,5914.678,5921.735999999255,1,5515.002999999997,406.732999999258,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
