Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701792284353,05/12/2023 16:04:44,1701792284353,0,05/12/2023 16:04:44,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792287246,05/12/2023 16:04:47,1701792287246,0,05/12/2023 16:04:47,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,2898.6349999999998,2894.464,2898.6349999999998,2898.6349999999998,2894.464,2898.6349999999998,1,2898.6349999999998,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,14,18
3,1701792301391,05/12/2023 16:05:01,1701792301391,0,05/12/2023 16:05:01,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WAN.png,14148.889000000372,14146.988,14148.889000000372,14148.889000000372,14146.988,14148.889000000372,1,14148.889000000372,0,0,,Click Response,RightOption,3,object-86,1e-3,_,28,1e-3_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,15,19
4,1701792304739,05/12/2023 16:05:04,1701792304739,0,05/12/2023 16:05:04,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,2,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,3350.001,3349.0679999999993,3350.001,3350.001,3349.0679999999993,3350.001,0,3350.001,0,0,,Click Response,RightOption,3,object-86,1e-3,_,27,1e-3_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WUNG,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,,WUNG,WAN,WUNG,WAN,,15,20
5,1701792306402,05/12/2023 16:05:06,1701792306402,0,05/12/2023 16:05:06,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,3,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WAN.png,1663.7329999998146,1659.9230000000025,1663.7329999998146,1663.7329999998146,1659.9230000000025,1663.7329999998146,1,1663.7329999998146,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,25,1e-3_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,16,21
6,1701792309900,05/12/2023 16:05:09,1701792309900,0,05/12/2023 16:05:09,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,4,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WIM.png,3501.910000000371,3499.2119999999995,3501.910000000371,3501.910000000371,3499.2119999999995,3501.910000000371,1,3501.910000000371,0,0,,Click Response,RightOption,3,object-86,1e-3,_,26,1e-3_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,17,22
7,1701792311209,05/12/2023 16:05:11,1701792311209,0,05/12/2023 16:05:11,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,5,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WUNG.png,1311.8980000005577,1309.6009999999987,1311.8980000005577,1311.8980000005577,1309.6009999999987,1311.8980000005577,1,1311.8980000005577,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,31,1e-3_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WUNG,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,,WUNG,WIM,WUNG,WIM,,18,23
8,1701792313454,05/12/2023 16:05:13,1701792313454,0,05/12/2023 16:05:13,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,6,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WAN.png,2247.0970000003726,2243.834999999999,2247.0970000003726,2247.0970000003726,2243.834999999999,2247.0970000003726,1,2247.0970000003726,0,0,,Click Response,RightOption,3,object-86,1e-3,_,32,1e-3_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WUNG,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,19,24
9,1701792315037,05/12/2023 16:05:15,1701792315037,0,05/12/2023 16:05:15,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,7,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WAN.png,1586.2620000003735,1584.898000000001,1586.2620000003735,1586.2620000003735,1584.898000000001,1586.2620000003735,1,1586.2620000003735,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,29,1e-3_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,20,25
10,1701792317018,05/12/2023 16:05:17,1701792317018,0,05/12/2023 16:05:17,139619,18,task-goty,,33446166,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,8,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WAN.png,1983.3640000003725,1981.0380000000005,1983.3640000003725,1983.3640000003725,1981.0380000000005,1983.3640000003725,0,1983.3640000003725,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,30,1e-3_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WAN,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,20,26
