Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701792570678,05/12/2023 16:09:30,1701792570678,0,05/12/2023 16:09:30,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792572790,05/12/2023 16:09:32,1701792572790,0,05/12/2023 16:09:32,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,2122.8500000007452,2118.4260000000004,2122.8500000007452,2122.8500000007452,2118.4260000000004,2122.8500000007452,1,2122.8500000007452,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,18,18
3,1701792594294,05/12/2023 16:09:54,1701792594294,0,05/12/2023 16:09:54,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WIM.png,21508.22400000149,21500.96,21508.22400000149,21508.22400000149,21500.96,21508.22400000149,1,21508.22400000149,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,25,1i-2_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WIM,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,,WIM,WAN,WIM,WAN,,19,19
4,1701792604431,05/12/2023 16:10:04,1701792604431,0,05/12/2023 16:10:04,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,2,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,10144.26400000149,10141.848999999998,10144.26400000149,10144.26400000149,10141.848999999998,10144.26400000149,1,10144.26400000149,0,0,,Click Response,RightOption,3,object-86,1i-2,_,26,1i-2_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,20,20
5,1701792615598,05/12/2023 16:10:15,1701792615598,0,05/12/2023 16:10:15,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,3,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,11169.415000001492,11159.209000000003,11169.415000001492,11169.415000001492,11159.209000000003,11169.415000001492,1,11169.415000001492,0,0,,Click Response,RightOption,3,object-86,1i-2,_,28,1i-2_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,21,21
6,1701792618087,05/12/2023 16:10:18,1701792618087,0,05/12/2023 16:10:18,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,4,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WIM.png,2499.406000000745,2485.646999999997,2499.406000000745,2499.406000000745,2485.646999999997,2499.406000000745,0,2499.406000000745,0,0,,Click Response,RightOption,3,object-86,1i-2,_,27,1i-2_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,21,22
7,1701792623190,05/12/2023 16:10:23,1701792623190,0,05/12/2023 16:10:23,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,5,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WAN.png,5116.559000001493,5103.953000000001,5116.559000001493,5116.559000001493,5103.953000000001,5116.559000001493,1,5116.559000001493,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,31,1i-2_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,22,23
8,1701792632479,05/12/2023 16:10:32,1701792632479,0,05/12/2023 16:10:32,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,6,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WIM.png,9292.606000001491,9291.129,9292.606000001491,9292.606000001491,9291.129,9292.606000001491,1,9292.606000001491,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,29,1i-2_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WIM,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,,WIM,WUNG,WIM,WUNG,,23,24
9,1701792635055,05/12/2023 16:10:35,1701792635055,0,05/12/2023 16:10:35,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,7,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,2577.8770000000004,2568.9230000000025,2577.8770000000004,2577.8770000000004,2568.9230000000025,2577.8770000000004,1,2577.8770000000004,0,0,,Click Response,RightOption,3,object-86,1i-2,_,32,1i-2_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,24,25
10,1701792639590,05/12/2023 16:10:39,1701792639590,0,05/12/2023 16:10:39,139619,18,task-hebw,,33446514,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,8,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WAN.png,4543.853999998508,4536.948000000004,4543.853999998508,4543.853999998508,4536.948000000004,4543.853999998508,1,4543.853999998508,0,0,,Click Response,RightOption,3,object-86,1i-2,_,30,1i-2_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,25,26
