Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701792053095,05/12/2023 16:00:53,1701792053095,0,05/12/2023 16:00:53,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792059523,05/12/2023 16:00:59,1701792059523,0,05/12/2023 16:00:59,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,6219.972000000186,6218.499,6219.972000000186,6219.972000000186,6218.499,6219.972000000186,1,6219.972000000186,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1701792059523,05/12/2023 16:00:59,1701792059523,0,05/12/2023 16:00:59,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,5630.439,6218.499,6220.472000000186,5630.439,6218.499,6220.472000000186,1,5630.439,590.0330000001859,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1701792065728,05/12/2023 16:01:05,1701792065728,0,05/12/2023 16:01:05,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,6207.373000000559,6205.9890000000005,6207.373000000559,6207.373000000559,6205.9890000000005,6207.373000000559,1,6207.373000000559,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1701792065729,05/12/2023 16:01:05,1701792065729,0,05/12/2023 16:01:05,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,5647.1140000000005,6205.9890000000005,6208.473000000186,5647.1140000000005,6205.9890000000005,6208.473000000186,1,5647.1140000000005,561.3590000001859,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1701792070013,05/12/2023 16:01:10,1701792070013,0,05/12/2023 16:01:10,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Instructions01,m9k5cb,3,continue,,4286.184000000372,4283.298999999999,4286.184000000372,4286.184000000372,4283.298999999999,4286.184000000372,1,4286.184000000372,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1701792082794,05/12/2023 16:01:22,1701792082794,0,05/12/2023 16:01:22,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,12782.985,12779.010000000002,12782.985,12782.985,12779.010000000002,12782.985,1,12782.985,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1701792084310,05/12/2023 16:01:24,1701792084310,0,05/12/2023 16:01:24,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,1519.9749999999985,1518.1260000000002,1519.9749999999985,1519.9749999999985,1518.1260000000002,1519.9749999999985,1,1519.9749999999985,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1701792096998,05/12/2023 16:01:36,1701792096998,0,05/12/2023 16:01:36,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Training02,TrainingA,34efq7,1,response,ZETH WUNG,9392.395,12687.251999999997,12689.549000000185,9392.395,12687.251999999997,12689.549000000185,1,9392.395,3297.154000000184,0,,Single Text Entry,TextResponseA,4,object-97,1e-3,_,03,1e-3_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,ZETH,WUNG,13_QUIBBLER_ZETH_WUNG.png,,ZETH WUNG,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,WOUX WAN,ZETH WUNG,ZETH WUNG,WOUX WAN,27_BESTSELLER_WOUX_WAN.png,WOUX WAN,,,,,
10,1701792102973,05/12/2023 16:01:42,1701792102973,0,05/12/2023 16:01:42,139619,18,task-hsjq,,33445897,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,1e-3 A Training,3,,,1e-3,Pass,,,,1e-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,5977.396999999815,5976.592000000004,5977.396999999815,5977.396999999815,5976.592000000004,5977.396999999815,1,5977.396999999815,0,0,,Click Response,Option A,4,object-245,1e-3,_,03,1e-3_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,ZETH,WUNG,13_QUIBBLER_ZETH_WUNG.png,,ZETH WUNG,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,WOUX WAN,ZETH WUNG,ZETH WUNG,WOUX WAN,27_BESTSELLER_WOUX_WAN.png,WOUX WAN,,,,,
