Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791477966,05/12/2023 15:51:17,1701791477966,0,05/12/2023 15:51:17,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791482787,05/12/2023 15:51:22,1701791482787,0,05/12/2023 15:51:22,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions1,l6tegj,1,continue,,6849,6840,6849,6849,6840,6849,1,6849,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791483999,05/12/2023 15:51:23,1701791483999,0,05/12/2023 15:51:23,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions2,m22b5k,2,continue,,1222,1216,1222,1222,1216,1222,1,1222,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791487468,05/12/2023 15:51:27,1701791487468,0,05/12/2023 15:51:27,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions4,ipt5mm,3,continue,,3474,3467,3474,3474,3467,3474,1,3474,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791491065,05/12/2023 15:51:31,1701791491065,0,05/12/2023 15:51:31,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions5,9ur7d5,4,continue,,3606,3600,3606,3606,3600,3606,1,3606,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791494911,05/12/2023 15:51:34,1701791494911,0,05/12/2023 15:51:34,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Prolific ID,v46841,5,response,5f78863ec51814422de56470,3749,3832,3848,3749,3832,3848,1,3749,99,0,,Single Text Entry,Single Text Entry,2,object-288,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791516750,05/12/2023 15:51:56,1701791516750,0,05/12/2023 15:51:56,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,continue,,21857,21849,21857,21857,21849,21857,1,21857,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1701791516755,05/12/2023 15:51:56,1701791516755,0,05/12/2023 15:51:56,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,29,4134,21849,21863,4134,21849,21863,1,4134,17729,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1701791516756,05/12/2023 15:51:56,1701791516756,0,05/12/2023 15:51:56,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Male,5417,21849,21864,5417,21849,21864,1,5417,16447,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1701791516758,05/12/2023 15:51:56,1701791516758,0,05/12/2023 15:51:56,139619,18,task-hvde,,33445164,BLIND,9898448,,complete,,656f46ef0662ccdb8855a543,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1923x933,1920x933,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,21366,21849,21866,21366,21849,21866,1,21366,500,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
