Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701791946175,05/12/2023 15:59:06,1701791946175,0,05/12/2023 15:59:06,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791952441,05/12/2023 15:59:12,1701791952441,0,05/12/2023 15:59:12,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,6273.374000002235,6271.9130000000005,6273.374000002235,6273.374000002235,6271.9130000000005,6273.374000002235,0,6273.374000002235,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791952443,05/12/2023 15:59:12,1701791952443,0,05/12/2023 15:59:12,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3136.116,6271.9130000000005,6276.07400000149,3136.116,6271.9130000000005,6276.07400000149,1,3136.116,3139.9580000014903,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791960465,05/12/2023 15:59:20,1701791960465,0,05/12/2023 15:59:20,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,8025.961000002235,8023.332,8025.961000002235,8025.961000002235,8023.332,8025.961000002235,0,8025.961000002235,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791960467,05/12/2023 15:59:20,1701791960467,0,05/12/2023 15:59:20,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,4553.866,8023.332,8027.561,4553.866,8023.332,8027.561,1,4553.866,3473.6949999999997,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791966825,05/12/2023 15:59:26,1701791966825,0,05/12/2023 15:59:26,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,6362.928999999254,6355.276999999998,6362.928999999254,6362.928999999254,6355.276999999998,6362.928999999254,1,6362.928999999254,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791982756,05/12/2023 15:59:42,1701791982756,0,05/12/2023 15:59:42,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,1,Testing01,Testing,hvzr65,1,response,14_TOPMARK_MELK.png,15934.651999999256,15929.91,15934.651999999256,15934.651999999256,15929.91,15934.651999999256,1,15934.651999999256,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_MELK.png,MELK,,,,,,MELK,14_TOPMARK_MELK.png,DAIN,14_TOPMARK_DAIN.png,DAIN,14_TOPMARK_DAIN.png,,1,1
8,1701791988089,05/12/2023 15:59:48,1701791988089,0,05/12/2023 15:59:48,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,2,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_MELK.png,5338.123000000007,5321.274000000005,5338.123000000007,5338.123000000007,5321.274000000005,5338.123000000007,1,5338.123000000007,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_MELK.png,MELK,,,,,,HOAT,08_SLUGHORN_HOAT.png,MELK,08_SLUGHORN_MELK.png,HOAT,08_SLUGHORN_HOAT.png,,2,2
9,1701791992298,05/12/2023 15:59:52,1701791992298,0,05/12/2023 15:59:52,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,3,Testing01,Testing,hvzr65,1,response,01_LOCKET_DAIN.png,4227.668000002232,4220.198999999993,4227.668000002232,4227.668000002232,4220.198999999993,4227.668000002232,1,4227.668000002232,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_DAIN.png,DAIN,,,,,,MELK,01_LOCKET_MELK.png,DAIN,01_LOCKET_DAIN.png,MELK,01_LOCKET_MELK.png,,3,3
10,1701791994946,05/12/2023 15:59:54,1701791994946,0,05/12/2023 15:59:54,139619,18,task-kdm6,,33445776,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat B Testing,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Testing,4,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_DAIN.png,2655.569000000003,2652.0880000000034,2655.569000000003,2655.569000000003,2652.0880000000034,2655.569000000003,1,2655.569000000003,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_DAIN.png,DAIN,,,,,,DAIN,04_HUFFLEPUFF_DAIN.png,HOAT,04_HUFFLEPUFF_HOAT.png,HOAT,04_HUFFLEPUFF_HOAT.png,,4,4
