Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701792187540,05/12/2023 16:03:07,1701792187540,0,05/12/2023 16:03:07,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792192301,05/12/2023 16:03:12,1701792192301,0,05/12/2023 16:03:12,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,4783.013,4766.652,4783.013,4783.013,4766.652,4783.013,1,4783.013,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,15,18
3,1701792196416,05/12/2023 16:03:16,1701792196416,0,05/12/2023 16:03:16,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,1,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WIM.png,4132.669000095368,4117.386,4132.669000095368,4132.669000095368,4117.386,4132.669000095368,1,4132.669000095368,0,0,,Click Response,RightOption,3,object-86,2-3,_,02,2-3_02,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WAN,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,16,19
4,1701792206005,05/12/2023 16:03:26,1701792206005,0,05/12/2023 16:03:26,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,2,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,9605.083000047684,9599.432999999999,9605.083000047684,9605.083000047684,9599.432999999999,9605.083000047684,1,9605.083000047684,0,0,,Click Response,LeftOption,4,object-112,2-3,_,03,2-3_03,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,17,20
5,1701792208650,05/12/2023 16:03:28,1701792208650,0,05/12/2023 16:03:28,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,3,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WAN.png,2650.0050000000047,2633.368000000002,2650.0050000000047,2650.0050000000047,2633.368000000002,2650.0050000000047,1,2650.0050000000047,0,0,,Click Response,RightOption,3,object-86,2-3,_,04,2-3_04,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,18,21
6,1701792216595,05/12/2023 16:03:36,1701792216595,0,05/12/2023 16:03:36,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,4,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WIM.png,7961.681999904631,7950.027999999998,7961.681999904631,7961.681999904631,7950.027999999998,7961.681999904631,0,7961.681999904631,0,0,,Click Response,RightOption,3,object-86,2-3,_,01,2-3_01,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WUNG,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WIM.png,,WUNG,WIM,WUNG,WIM,,18,22
7,1701792219955,05/12/2023 16:03:39,1701792219955,0,05/12/2023 16:03:39,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,5,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WAN.png,3372.254000047684,3366.759000000002,3372.254000047684,3372.254000047684,3366.759000000002,3372.254000047684,1,3372.254000047684,0,0,,Click Response,LeftOption,4,object-112,2-3,_,07,2-3_07,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,19,23
8,1701792221920,05/12/2023 16:03:41,1701792221920,0,05/12/2023 16:03:41,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,6,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,1970.995000047682,1966.7509999999966,1970.995000047682,1970.995000047682,1966.7509999999966,1970.995000047682,0,1970.995000047682,0,0,,Click Response,LeftOption,4,object-112,2-3,_,08,2-3_08,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WUNG,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,19,24
9,1701792227825,05/12/2023 16:03:47,1701792227825,0,05/12/2023 16:03:47,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,7,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WAN.png,5908.744000047685,5900.105000000003,5908.744000047685,5908.744000047685,5900.105000000003,5908.744000047685,0,5908.744000047685,0,0,,Click Response,RightOption,3,object-86,2-3,_,05,2-3_05,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WUNG,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,,WUNG,WAN,WUNG,WAN,,19,25
10,1701792230800,05/12/2023 16:03:50,1701792230800,0,05/12/2023 16:03:50,139619,18,task-ld3j,,33446044,BLIND,9898455,,complete,,656f46e3a7c56aa2ebb0a070,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x971,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,8,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WUNG.png,2983.139000047682,2966.9709999999977,2983.139000047682,2983.139000047682,2966.9709999999977,2983.139000047682,0,2983.139000047682,0,0,,Click Response,LeftOption,4,object-112,2-3,_,06,2-3_06,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WUNG,12_SKEETER_BLOT_WUNG.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,19,26
