Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792714206,05/12/2023 16:11:54,1701792714206,0,05/12/2023 16:11:54,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792719221,05/12/2023 16:11:59,1701792719221,0,05/12/2023 16:11:59,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5026.2970011444095,5016.948,5026.2970011444095,5026.2970011444095,5016.948,5026.2970011444095,0,5026.2970011444095,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792719222,05/12/2023 16:11:59,1701792719222,0,05/12/2023 16:11:59,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3816.842,5016.948,5027.2970011444095,3816.842,5016.948,5027.2970011444095,1,3816.842,1210.4550011444094,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792732428,05/12/2023 16:12:12,1701792732428,0,05/12/2023 16:12:12,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,13216.604,13199.857,13216.604,13216.604,13199.857,13216.604,0,13216.604,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792732429,05/12/2023 16:12:12,1701792732429,0,05/12/2023 16:12:12,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,10333.280999999999,13199.857,13216.604,10333.280999999999,13199.857,13216.604,1,10333.280999999999,2883.3230000000003,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792742481,05/12/2023 16:12:22,1701792742481,0,05/12/2023 16:12:22,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,GROUP,6483.225999999999,10066.669999999998,10069.892000762939,6483.225999999999,10066.669999999998,10069.892000762939,1,6483.225999999999,3586.66600076294,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792747545,05/12/2023 16:12:27,1701792747545,0,05/12/2023 16:12:27,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,GIRL,3150.071,5049.879000000004,5066.374000000007,3150.071,5049.879000000004,5066.374000000007,1,3150.071,1916.3030000000072,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792754024,05/12/2023 16:12:34,1701792754024,0,05/12/2023 16:12:34,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,US,5016.617999999995,6483.384999999995,6497.142999999996,5016.617999999995,6483.384999999995,6497.142999999996,1,5016.617999999995,1480.5250000000015,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792758001,05/12/2023 16:12:38,1701792758001,0,05/12/2023 16:12:38,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,THEM,2366.7000000000044,3983.194000000003,3990.1580015258805,2366.7000000000044,3983.194000000003,3990.1580015258805,1,2366.7000000000044,1623.4580015258762,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792760077,05/12/2023 16:12:40,1701792760077,0,05/12/2023 16:12:40,139619,18,task-ln4n,,33446711,BLIND,9898504,,complete,,656f474407bb7c7ff3ce0f89,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1665x1110,1664x993,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2082.764000762938,2066.8410000000003,2082.764000762938,2082.764000762938,2066.8410000000003,2082.764000762938,1,2082.764000762938,0,0,,Click To Continue,Continue Button,2,object-4,End,
