Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1701792647141,05/12/2023 16:10:47,1701792647141,0,05/12/2023 16:10:47,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1701792653113,05/12/2023 16:10:53,1701792653113,0,05/12/2023 16:10:53,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7369.60000000149,7366.185,7369.60000000149,7369.60000000149,7366.185,7369.60000000149,0,7369.60000000149,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1701792653113,05/12/2023 16:10:53,1701792653113,0,05/12/2023 16:10:53,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6982.867,7366.185,7370.80000000447,6982.867,7366.185,7370.80000000447,1,6982.867,387.93300000447016,0,,Dropdown,Dropdown,4,object-10,End,
4,1701792672425,05/12/2023 16:11:12,1701792672425,0,05/12/2023 16:11:12,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,19316.418999999994,19299.752999999997,19316.418999999994,19316.418999999994,19299.752999999997,19316.418999999994,0,19316.418999999994,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1701792672428,05/12/2023 16:11:12,1701792672428,0,05/12/2023 16:11:12,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,18549.783,19299.752999999997,19316.418999999994,18549.783,19299.752999999997,19316.418999999994,1,18549.783,766.635999999995,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1701792680216,05/12/2023 16:11:20,1701792680216,0,05/12/2023 16:11:20,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,HARRY,5333.120000000003,7799.950000000001,7808.162000001492,5333.120000000003,7799.950000000001,7808.162000001492,1,5333.120000000003,2475.042000001489,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1701792682207,05/12/2023 16:11:22,1701792682207,0,05/12/2023 16:11:22,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,RON,866.6319999999978,1983.2540000000008,1998.4120000044713,866.6319999999978,1983.2540000000008,1998.4120000044713,1,866.6319999999978,1131.7800000044735,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1701792686056,05/12/2023 16:11:26,1701792686056,0,05/12/2023 16:11:26,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,HERMINONIE,1699.9320000000007,3849.8459999999977,3864.75799999851,1699.9320000000007,3849.8459999999977,3864.75799999851,1,1699.9320000000007,2164.8259999985094,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1701792688534,05/12/2023 16:11:28,1701792688534,0,05/12/2023 16:11:28,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,SNAPE,1249.9500000000044,2483.495999999999,2492.2120000029827,1249.9500000000044,2483.495999999999,2492.2120000029827,1,1249.9500000000044,1242.2620000029783,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1701792690863,05/12/2023 16:11:30,1701792690863,0,05/12/2023 16:11:30,139619,18,task-lnj2,,33446618,BLIND,9898484,,complete,,656f47143eeb13551b255874,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1112x695,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2337.7160000029835,2333.2400000000052,2337.7160000029835,2337.7160000029835,2333.2400000000052,2337.7160000029835,1,2337.7160000029835,0,0,,Click To Continue,Continue Button,2,object-4,End,
