Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701791857263,05/12/2023 15:57:37,1701791857263,0,05/12/2023 15:57:37,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791861826,05/12/2023 15:57:41,1701791861826,0,05/12/2023 15:57:41,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,4570.124,4566.489,4570.124,4570.124,4566.489,4570.124,0,4570.124,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791861827,05/12/2023 15:57:41,1701791861827,0,05/12/2023 15:57:41,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3716.4849999999997,4566.489,4571.8240000476835,3716.4849999999997,4566.489,4571.8240000476835,1,3716.4849999999997,855.3390000476838,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791866697,05/12/2023 15:57:46,1701791866697,0,05/12/2023 15:57:46,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,4875.835000047684,4866.442000000001,4875.835000047684,4875.835000047684,4866.442000000001,4875.835000047684,0,4875.835000047684,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791866698,05/12/2023 15:57:46,1701791866698,0,05/12/2023 15:57:46,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,3133.179,4866.442000000001,4876.535000095368,3133.179,4866.442000000001,4876.535000095368,1,3133.179,1743.3560000953676,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791873176,05/12/2023 15:57:53,1701791873176,0,05/12/2023 15:57:53,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,6488.893000047683,6483.0740000000005,6488.893000047683,6488.893000047683,6483.0740000000005,6488.893000047683,1,6488.893000047683,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791875448,05/12/2023 15:57:55,1701791875448,0,05/12/2023 15:57:55,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,Testing01,Testing,hvzr65,1,response,12_TOAD_DAIN.png,2269.418999952315,2266.5829999999987,2269.418999952315,2269.418999952315,2266.5829999999987,2269.418999952315,1,2269.418999952315,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,22,HDM_22,12_TOAD,,ASK,.png,12_TOAD_ASK.png,12_TOAD_DAIN.png,DAIN,,,,,,MELK,12_TOAD_MELK.png,DAIN,12_TOAD_DAIN.png,MELK,12_TOAD_MELK.png,,1,1
8,1701791877633,05/12/2023 15:57:57,1701791877633,0,05/12/2023 15:57:57,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,2,Testing01,Testing,hvzr65,1,response,14_TOPMARK_HOAT.png,2194.8359999523163,2183.2350000000006,2194.8359999523163,2194.8359999523163,2183.2350000000006,2194.8359999523163,1,2194.8359999523163,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_HOAT.png,HOAT,,,,,,HOAT,14_TOPMARK_HOAT.png,MELK,14_TOPMARK_MELK.png,MELK,14_TOPMARK_MELK.png,,2,2
9,1701791882393,05/12/2023 15:58:02,1701791882393,0,05/12/2023 15:58:02,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,3,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_DAIN.png,4771.201000095367,4766.4439999999995,4771.201000095367,4771.201000095367,4766.4439999999995,4771.201000095367,0,4771.201000095367,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_HOAT.png,HOAT,,,,,,DAIN,08_SLUGHORN_DAIN.png,HOAT,08_SLUGHORN_HOAT.png,DAIN,08_SLUGHORN_DAIN.png,,2,3
10,1701791885177,05/12/2023 15:58:05,1701791885177,0,05/12/2023 15:58:05,139619,18,task-o8nf,,33445674,BLIND,9898457,,complete,,656f4706d1182c4d71b1da92,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x963,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,4,Testing01,Testing,hvzr65,1,response,01_LOCKET_MELK.png,2789.2570000953674,2783.1759999999995,2789.2570000953674,2789.2570000953674,2783.1759999999995,2789.2570000953674,1,2789.2570000953674,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_MELK.png,MELK,,,,,,HOAT,01_LOCKET_HOAT.png,MELK,01_LOCKET_MELK.png,HOAT,01_LOCKET_HOAT.png,,3,4
