Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701791755118,05/12/2023 15:55:55,1701791755118,0,05/12/2023 15:55:55,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791759542,05/12/2023 15:55:59,1701791759542,0,05/12/2023 15:55:59,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,4435.0610000059605,4434.002,4435.0610000059605,4435.0610000059605,4434.002,4435.0610000059605,0,4435.0610000059605,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791759543,05/12/2023 15:55:59,1701791759543,0,05/12/2023 15:55:59,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3383.6409999999996,4434.002,4435.661,3383.6409999999996,4434.002,4435.661,1,3383.6409999999996,1052.0200000000004,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791763356,05/12/2023 15:56:03,1701791763356,0,05/12/2023 15:56:03,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,3814.85900000298,3799.816999999999,3814.85900000298,3814.85900000298,3799.816999999999,3814.85900000298,0,3814.85900000298,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791763356,05/12/2023 15:56:03,1701791763356,0,05/12/2023 15:56:03,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,2866.41,3799.816999999999,3815.1589999999997,2866.41,3799.816999999999,3815.1589999999997,1,2866.41,948.7489999999998,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791769580,05/12/2023 15:56:09,1701791769580,0,05/12/2023 15:56:09,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,6239.042000002981,6233.735000000001,6239.042000002981,6239.042000002981,6233.735000000001,6239.042000002981,1,6239.042000002981,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791776322,05/12/2023 15:56:16,1701791776322,0,05/12/2023 15:56:16,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,Testing01,Testing,hvzr65,1,response,01_LOCKET_HOAT.png,6744.107,6733.773000000001,6744.107,6744.107,6733.773000000001,6744.107,1,6744.107,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_HOAT.png,HOAT,,,,,,DAIN,01_LOCKET_DAIN.png,HOAT,01_LOCKET_HOAT.png,DAIN,01_LOCKET_DAIN.png,,1,1
8,1701791780252,05/12/2023 15:56:20,1701791780252,0,05/12/2023 15:56:20,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,2,Testing01,Testing,hvzr65,1,response,12_TOAD_MELK.png,3943.034000002979,3933.548999999999,3943.034000002979,3943.034000002979,3933.548999999999,3943.034000002979,1,3943.034000002979,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,22,HDM_22,12_TOAD,,ASK,.png,12_TOAD_ASK.png,12_TOAD_MELK.png,MELK,,,,,,HOAT,12_TOAD_HOAT.png,MELK,12_TOAD_MELK.png,HOAT,12_TOAD_HOAT.png,,2,2
9,1701791788105,05/12/2023 15:56:28,1701791788105,0,05/12/2023 15:56:28,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,3,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_DAIN.png,7862.48500000298,7850.632000000001,7862.48500000298,7862.48500000298,7850.632000000001,7862.48500000298,1,7862.48500000298,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_DAIN.png,DAIN,,,,,,MELK,08_SLUGHORN_MELK.png,DAIN,08_SLUGHORN_DAIN.png,MELK,08_SLUGHORN_MELK.png,,3,3
10,1701791792280,05/12/2023 15:56:32,1701791792280,0,05/12/2023 15:56:32,139619,18,task-pvfu,,33445552,BLIND,9898460,,complete,,656f46ee9fbafe6ea61dd1c0,computer,Desktop or Laptop,Windows 10,Edge 119.0.0.0,2195x1235,821x877,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,4,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_HOAT.png,4187.053000005959,4183.487000000001,4187.053000005959,4187.053000005959,4183.487000000001,4187.053000005959,1,4187.053000005959,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,,HOAT,04_HUFFLEPUFF_HOAT.png,MELK,04_HUFFLEPUFF_MELK.png,MELK,04_HUFFLEPUFF_MELK.png,,4,4
