Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1701792348696,05/12/2023 16:05:48,1701792348696,0,05/12/2023 16:05:48,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701792353926,05/12/2023 16:05:53,1701792353926,0,05/12/2023 16:05:53,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,5255.990000000746,5251.317999999999,5255.990000000746,5255.990000000746,5251.317999999999,5255.990000000746,1,5255.990000000746,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,18,18
3,1701792364273,05/12/2023 16:06:04,1701792364273,0,05/12/2023 16:06:04,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,1,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WIM.png,10351.752,10335.086,10351.752,10351.752,10335.086,10351.752,1,10351.752,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,27,1e-1i_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WIM,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,,WIM,WAN,WIM,WAN,,19,19
4,1701792368762,05/12/2023 16:06:08,1701792368762,0,05/12/2023 16:06:08,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,2,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,4506.3859999996275,4499.82,4506.3859999996275,4506.3859999996275,4499.82,4506.3859999996275,1,4506.3859999996275,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,28,1e-1i_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,20,20
5,1701792374975,05/12/2023 16:06:14,1701792374975,0,05/12/2023 16:06:14,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,3,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,6213.6730000000025,6197.007000000001,6213.6730000000025,6213.6730000000025,6197.007000000001,6213.6730000000025,1,6213.6730000000025,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,26,1e-1i_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,21,21
6,1701792380715,05/12/2023 16:06:20,1701792380715,0,05/12/2023 16:06:20,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,4,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WAN.png,5761.595000000005,5744.929,5761.595000000005,5761.595000000005,5744.929,5761.595000000005,1,5761.595000000005,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,25,1e-1i_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,22,22
7,1701792388144,05/12/2023 16:06:28,1701792388144,0,05/12/2023 16:06:28,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,5,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WAN.png,7445.729999999254,7433.036,7445.729999999254,7445.729999999254,7433.036,7445.729999999254,1,7445.729999999254,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,30,1e-1i_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,23,23
8,1701792399327,05/12/2023 16:06:39,1701792399327,0,05/12/2023 16:06:39,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,6,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WIM.png,11196.693999999254,11187.907999999996,11196.693999999254,11196.693999999254,11187.907999999996,11196.693999999254,1,11196.693999999254,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,31,1e-1i_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WIM,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,,WIM,WUNG,WIM,WUNG,,24,24
9,1701792407621,05/12/2023 16:06:47,1701792407621,0,05/12/2023 16:06:47,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,7,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WAN.png,8302.285999999258,8299.668000000005,8302.285999999258,8302.285999999258,8299.668000000005,8302.285999999258,1,8302.285999999258,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,29,1e-1i_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,25,25
10,1701792414867,05/12/2023 16:06:54,1701792414867,0,05/12/2023 16:06:54,139619,18,task-slet,,33446246,BLIND,9898480,,complete,,656f46fc2eaaa9e14ed814bc,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 119.0.0.0,1440x900,1440x668,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,8,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,7248.917999999998,7244.936999999998,7248.917999999998,7248.917999999998,7244.936999999998,7248.917999999998,1,7248.917999999998,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,32,1e-1i_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,26,26
