Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791483059,05/12/2023 15:51:23,1701791483059,0,05/12/2023 15:51:23,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791506533,05/12/2023 15:51:46,1701791506533,0,05/12/2023 15:51:46,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions1,l6tegj,1,continue,,24883.10000000149,24881.233,24883.10000000149,24883.10000000149,24881.233,24883.10000000149,1,24883.10000000149,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791508506,05/12/2023 15:51:48,1701791508506,0,05/12/2023 15:51:48,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions2,m22b5k,2,continue,,1976.96700000298,1968.2740000000013,1976.96700000298,1976.96700000298,1968.2740000000013,1976.96700000298,1,1976.96700000298,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791511051,05/12/2023 15:51:51,1701791511051,0,05/12/2023 15:51:51,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions4,ipt5mm,3,continue,,2554.0930000014887,2552.1889999999985,2554.0930000014887,2554.0930000014887,2552.1889999999985,2554.0930000014887,1,2554.0930000014887,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791513379,05/12/2023 15:51:53,1701791513379,0,05/12/2023 15:51:53,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions5,9ur7d5,4,continue,,2329.604000000745,2318.583999999999,2329.604000000745,2329.604000000745,2318.583999999999,2329.604000000745,1,2329.604000000745,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791515681,05/12/2023 15:51:55,1701791515681,0,05/12/2023 15:51:55,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Prolific ID,v46841,5,response,56f699e876348f000c883bba,1718.3420000000042,2302.118999999999,2313.020000000746,1718.3420000000042,2302.118999999999,2313.020000000746,1,1718.3420000000042,594.678000000742,0,,Single Text Entry,Single Text Entry,2,object-288,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791521004,05/12/2023 15:52:01,1701791521004,0,05/12/2023 15:52:01,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,continue,,5333.601000000002,5320.916000000005,5333.601000000002,5333.601000000002,5320.916000000005,5333.601000000002,1,5333.601000000002,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1701791521007,05/12/2023 15:52:01,1701791521007,0,05/12/2023 15:52:01,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,28,2018.1540000000023,5320.916000000005,5337.2010000014925,2018.1540000000023,5320.916000000005,5337.2010000014925,1,2018.1540000000023,3319.0470000014902,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1701791521008,05/12/2023 15:52:01,1701791521008,0,05/12/2023 15:52:01,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Female,3436.006000000001,5320.916000000005,5337.38700000001,3436.006000000001,5320.916000000005,5337.38700000001,1,3436.006000000001,1901.3810000000085,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1701791521008,05/12/2023 15:52:01,1701791521008,0,05/12/2023 15:52:01,139619,18,task-usty,,33445170,BLIND,9898449,,complete,,656f46f2ce34cb17961853f9,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1200,1920x1051,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,Pass,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,4870.740000000005,5320.916000000005,5337.38700000001,4870.740000000005,5320.916000000005,5337.38700000001,1,4870.740000000005,466.6470000000045,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
