Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1701791486067,05/12/2023 15:51:26,1701791486067,0,05/12/2023 15:51:26,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1701791539755,05/12/2023 15:52:19,1701791539755,0,05/12/2023 15:52:19,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions1,l6tegj,1,continue,,53290.89799999963,53288.925,53290.89799999963,53290.89799999963,53288.925,53290.89799999963,1,53290.89799999963,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1701791541170,05/12/2023 15:52:21,1701791541170,0,05/12/2023 15:52:21,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions2,m22b5k,2,continue,,1417.3729999999996,1413.8729999999996,1417.3729999999996,1417.3729999999996,1413.8729999999996,1417.3729999999996,1,1417.3729999999996,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1701791561280,05/12/2023 15:52:41,1701791561280,0,05/12/2023 15:52:41,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions4,ipt5mm,3,continue,,20113.799999999814,20111.078999999998,20113.799999999814,20113.799999999814,20111.078999999998,20113.799999999814,1,20113.799999999814,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1701791562128,05/12/2023 15:52:42,1701791562128,0,05/12/2023 15:52:42,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions5,9ur7d5,4,continue,,850.3210000003746,846.6490000000049,850.3210000003746,850.3210000003746,846.6490000000049,850.3210000003746,1,850.3210000003746,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1701791566780,05/12/2023 15:52:46,1701791566780,0,05/12/2023 15:52:46,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Prolific ID,vypmqm,5,response,6358f1332459f21caa585aef,4379.224999999991,4654.495999999999,4655.771999999997,4379.224999999991,4654.495999999999,4655.771999999997,1,4379.224999999991,276.54700000000594,0,,Single Text Entry,Single Text Entry,2,object-283,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1701791571807,05/12/2023 15:52:51,1701791571807,0,05/12/2023 15:52:51,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,continue,,5028.476000000184,5025.6919999999955,5028.476000000184,5028.476000000184,5025.6919999999955,5028.476000000184,1,5028.476000000184,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1701791571809,05/12/2023 15:52:51,1701791571809,0,05/12/2023 15:52:51,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,22,1801.7350000000006,5025.6919999999955,5029.873999999996,1801.7350000000006,5025.6919999999955,5029.873999999996,1,1801.7350000000006,3228.1389999999956,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1701791571809,05/12/2023 15:52:51,1701791571809,0,05/12/2023 15:52:51,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Male,2919.495999999999,5025.6919999999955,5029.873999999996,2919.495999999999,5025.6919999999955,5029.873999999996,1,2919.495999999999,2110.377999999997,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1701791571810,05/12/2023 15:52:51,1701791571810,0,05/12/2023 15:52:51,139619,18,task-xxab,,33445180,BLIND,9898452,,complete,,656f46e77f2885a5d4c6c1a8,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1920x931,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,4562.732999999993,5025.6919999999955,5029.873999999996,4562.732999999993,5025.6919999999955,5029.873999999996,1,4562.732999999993,467.14100000000326,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
