Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702983102304,19/12/2023 10:51:42,1702983102304,0,19/12/2023 10:51:42,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702983109780,19/12/2023 10:51:49,1702983109780,0,19/12/2023 10:51:49,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7488.600000000745,7483.2,7488.600000000745,7488.600000000745,7483.2,7488.600000000745,0,7488.600000000745,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702983109782,19/12/2023 10:51:49,1702983109782,0,19/12/2023 10:51:49,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6116.6,7483.2,7490.40000000149,6116.6,7483.2,7490.40000000149,1,6116.6,1373.80000000149,0,,Dropdown,Dropdown,4,object-10,End,
4,1702983144881,19/12/2023 10:52:24,1702983144881,0,19/12/2023 10:52:24,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,35106.50000000037,35099,35106.50000000037,35106.50000000037,35099,35106.50000000037,0,35106.50000000037,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702983144886,19/12/2023 10:52:24,1702983144886,0,19/12/2023 10:52:24,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,6233.300000000001,35099,35111.70000000149,6233.300000000001,35099,35111.70000000149,1,6233.300000000001,28878.400000001486,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702983155937,19/12/2023 10:52:35,1702983155937,0,19/12/2023 10:52:35,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Fich Question,old87p,3,response,THEY,6483.299999999996,11050,11064.000000000371,6483.299999999996,11050,11064.000000000371,1,6483.299999999996,4580.700000000375,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702983160293,19/12/2023 10:52:40,1702983160293,0,19/12/2023 10:52:40,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,ME,3283.199999999997,4366.5,4370.0999999999985,3283.199999999997,4366.5,4370.0999999999985,1,3283.199999999997,1086.9000000000015,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702983168664,19/12/2023 10:52:48,1702983168664,0,19/12/2023 10:52:48,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,YOU,4783.0999999999985,8366.299999999996,8374.000000000371,4783.0999999999985,8366.299999999996,8374.000000000371,1,4783.0999999999985,3590.9000000003725,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702983172672,19/12/2023 10:52:52,1702983172672,0,19/12/2023 10:52:52,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,WE,2783.300000000003,3999.9000000000087,4016.0000000011205,2783.300000000003,3999.9000000000087,4016.0000000011205,1,2783.300000000003,1232.7000000011176,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702983175028,19/12/2023 10:52:55,1702983175028,0,19/12/2023 10:52:55,157165,2,task-5dme,,33776791,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2372.3000000003667,2366.699999999997,2372.3000000003667,2372.3000000003667,2366.699999999997,2372.3000000003667,1,2372.3000000003667,0,0,,Click To Continue,Continue Button,2,object-4,End,
