Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702982380587,19/12/2023 10:39:40,1702982380587,0,19/12/2023 10:39:40,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702982385996,19/12/2023 10:39:45,1702982385996,0,19/12/2023 10:39:45,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5410.700000000001,5403.400000000001,5410.700000000001,5410.700000000001,5403.400000000001,5410.700000000001,0,5410.700000000001,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702982385997,19/12/2023 10:39:45,1702982385997,0,19/12/2023 10:39:45,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3694.6,5403.400000000001,5410.700000000001,3694.6,5403.400000000001,5410.700000000001,1,3694.6,1716.1000000000008,0,,Dropdown,Dropdown,4,object-10,End,
4,1702982407072,19/12/2023 10:40:07,1702982407072,0,19/12/2023 10:40:07,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,21085.09999999106,21084,21085.09999999106,21085.09999999106,21084,21085.09999999106,0,21085.09999999106,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702982407074,19/12/2023 10:40:07,1702982407074,0,19/12/2023 10:40:07,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,20445.100000000002,21084,21086.29999999404,20445.100000000002,21084,21086.29999999404,1,20445.100000000002,641.1999999940381,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702982424493,19/12/2023 10:40:24,1702982424493,0,19/12/2023 10:40:24,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Fich Question,old87p,3,response,I literally didn't work it out,9118.7,17417.500000000004,17421.49999999702,9118.7,17417.500000000004,17421.49999999702,1,9118.7,8302.79999999702,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702982434384,19/12/2023 10:40:34,1702982434384,0,19/12/2023 10:40:34,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,Same as before,2847.399999999994,9889.5,9895.199999999997,2847.399999999994,9889.5,9895.199999999997,1,2847.399999999994,7047.800000000003,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702982435950,19/12/2023 10:40:35,1702982435950,0,19/12/2023 10:40:35,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,Same as before,1187.3999999999942,1569.3999999999942,1572.2999999940366,1187.3999999999942,1569.3999999999942,1572.2999999940366,1,1187.3999999999942,384.89999999404245,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702982437237,19/12/2023 10:40:37,1702982437237,0,19/12/2023 10:40:37,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,Same as before,1104.300000000003,1284.7000000000044,1289.8999999940424,1104.300000000003,1284.7000000000044,1289.8999999940424,1,1104.300000000003,185.59999999403954,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702982438866,19/12/2023 10:40:38,1702982438866,0,19/12/2023 10:40:38,157165,2,task-77zz,,33776476,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1633.8999999970183,1632.0999999999985,1633.8999999970183,1633.8999999970183,1632.0999999999985,1633.8999999970183,1,1633.8999999970183,0,0,,Click To Continue,Continue Button,2,object-4,End,
