Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Blot,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702982065776,19/12/2023 10:34:25,1702982065776,0,19/12/2023 10:34:25,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702982073985,19/12/2023 10:34:33,1702982073985,0,19/12/2023 10:34:33,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,8224.600000000186,8213.8,8224.600000000186,8224.600000000186,8213.8,8224.600000000186,1,8224.600000000186,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,,18,18
3,1702982091814,19/12/2023 10:34:51,1702982091814,0,19/12/2023 10:34:51,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,17839.199999999626,17827.5,17839.199999999626,17839.199999999626,17827.5,17839.199999999626,0,17839.199999999626,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,26,1e-2_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WAN,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,BLOT,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,18,19
4,1702982101965,19/12/2023 10:35:01,1702982101965,0,19/12/2023 10:35:01,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,2,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WUNG.png,10164.099999999999,10162.799999999996,10164.099999999999,10164.099999999999,10162.799999999996,10164.099999999999,0,10164.099999999999,0,0,,Click Response,RightOption,3,object-86,1e-2,_,25,1e-2_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,BLOT,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,18,20
5,1702982107301,19/12/2023 10:35:07,1702982107301,0,19/12/2023 10:35:07,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,3,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WIM.png,5337.89999999963,5331.600000000006,5337.89999999963,5337.89999999963,5331.600000000006,5337.89999999963,1,5337.89999999963,0,0,,Click Response,RightOption,3,object-86,1e-2,_,28,1e-2_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WUNG,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,BLOT,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,19,21
6,1702982113400,19/12/2023 10:35:13,1702982113400,0,19/12/2023 10:35:13,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,4,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,6104.699999999997,6097.899999999994,6104.699999999997,6104.699999999997,6097.899999999994,6104.699999999997,1,6104.699999999997,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,27,1e-2_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,BLOT,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,20,22
7,1702982123182,19/12/2023 10:35:23,1702982123182,0,19/12/2023 10:35:23,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,5,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WUNG.png,9789.39999999963,9780.100000000006,9789.39999999963,9789.39999999963,9780.100000000006,9789.39999999963,1,9789.39999999963,0,0,,Click Response,RightOption,3,object-86,1e-2,_,30,1e-2_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WUNG.png,BLOT,12_SKEETER_BLOT_WUNG.png,12_SKEETER_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,21,23
8,1702982128501,19/12/2023 10:35:28,1702982128501,0,19/12/2023 10:35:28,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,6,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WIM.png,5328.299999999625,5315,5328.299999999625,5328.299999999625,5315,5328.299999999625,0,5328.299999999625,0,0,,Click Response,RightOption,3,object-86,1e-2,_,29,1e-2_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,BLOT,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,21,24
9,1702982134780,19/12/2023 10:35:34,1702982134780,0,19/12/2023 10:35:34,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,7,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WAN.png,6291.799999999625,6281,6291.799999999625,6291.799999999625,6281,6291.799999999625,0,6291.799999999625,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,32,1e-2_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WIM.png,BLOT,28_GALLEONS_BLOT_WIM.png,28_GALLEONS_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,21,25
10,1702982142780,19/12/2023 10:35:42,1702982142780,0,19/12/2023 10:35:42,157165,2,task-98zo,,33776358,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,8,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WUNG.png,8010.999999999811,7997.300000000003,8010.999999999811,8010.999999999811,7997.300000000003,8010.999999999811,0,8010.999999999811,0,0,,Click Response,RightOption,3,object-86,1e-2,_,31,1e-2_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,BLOT,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,21,26
