Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702982310693,19/12/2023 10:38:30,1702982310693,0,19/12/2023 10:38:30,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702982317443,19/12/2023 10:38:37,1702982317443,0,19/12/2023 10:38:37,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6761.799999976158,6749.6,6761.799999976158,6761.799999976158,6749.6,6761.799999976158,0,6761.799999976158,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702982317443,19/12/2023 10:38:37,1702982317443,0,19/12/2023 10:38:37,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6049.700000000001,6749.6,6762.9,6049.700000000001,6749.6,6762.9,1,6049.700000000001,713.1999999999989,0,,Dropdown,Dropdown,4,object-10,End,
4,1702982330676,19/12/2023 10:38:50,1702982330676,0,19/12/2023 10:38:50,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,13245.699999976157,13232.899999999998,13245.699999976157,13245.699999976157,13232.899999999998,13245.699999976157,0,13245.699999976157,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702982330681,19/12/2023 10:38:50,1702982330681,0,19/12/2023 10:38:50,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,12716.2,13232.899999999998,13249.499999999996,12716.2,13232.899999999998,13249.499999999996,1,12716.2,533.2999999999956,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702982335879,19/12/2023 10:38:55,1702982335879,0,19/12/2023 10:38:55,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,HARRY,3766.5,5199.800000000003,5216.400000000005,3766.5,5199.800000000003,5216.400000000005,1,3766.5,1449.900000000005,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702982339359,19/12/2023 10:38:59,1702982339359,0,19/12/2023 10:38:59,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,RON,2316.5999999999985,3483.2999999999993,3497.0999999999985,2316.5999999999985,3483.2999999999993,3497.0999999999985,1,2316.5999999999985,1180.5,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702982341551,19/12/2023 10:39:01,1702982341551,0,19/12/2023 10:39:01,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,WE,1516.5999999999985,2199.899999999998,2205.8999999642365,1516.5999999999985,2199.899999999998,2205.8999999642365,1,1516.5999999999985,689.2999999642379,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702982345695,19/12/2023 10:39:05,1702982345695,0,19/12/2023 10:39:05,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,HERMIONE,1566.5,4133.0999999999985,4149.699999999997,1566.5,4133.0999999999985,4149.699999999997,1,1566.5,2583.199999999997,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702982346899,19/12/2023 10:39:06,1702982346899,0,19/12/2023 10:39:06,157165,2,task-ag11,,33776439,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,Pass,,1e-1i,,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1220.5999999523192,1216.7000000000044,1220.5999999523192,1220.5999999523192,1216.7000000000044,1220.5999999523192,1,1220.5999999523192,0,0,,Click To Continue,Continue Button,2,object-4,End,
