Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702981865056,19/12/2023 10:31:05,1702981865056,0,19/12/2023 10:31:05,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702981871222,19/12/2023 10:31:11,1702981871222,0,19/12/2023 10:31:11,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6166.79,6166.79,6166.79,6166.79,6166.79,6166.79,0,6166.79,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702981871222,19/12/2023 10:31:11,1702981871222,0,19/12/2023 10:31:11,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5250.105,6166.79,6166.79,5250.105,6166.79,6166.79,1,5250.105,916.6850000000004,0,,Dropdown,Dropdown,4,object-10,End,
4,1702981875723,19/12/2023 10:31:15,1702981875723,0,19/12/2023 10:31:15,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,4483.423,4466.756,4483.423,4483.423,4466.756,4483.423,0,4483.423,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702981875723,19/12/2023 10:31:15,1702981875723,0,19/12/2023 10:31:15,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,3383.4010000000007,4466.756,4483.423,3383.4010000000007,4466.756,4483.423,1,3383.4010000000007,1100.021999999999,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702981909007,19/12/2023 10:31:49,1702981909007,0,19/12/2023 10:31:49,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,FOREGROUND GIRL IN HAT,21100.422,33317.333,33317.333,21100.422,33317.333,33317.333,1,21100.422,12216.911,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702981925323,19/12/2023 10:32:05,1702981925323,0,19/12/2023 10:32:05,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,AUTHOR/PROPHET,9750.195,16283.659,16300.325999999994,9750.195,16283.659,16300.325999999994,1,9750.195,6550.130999999994,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702981940557,19/12/2023 10:32:20,1702981940557,0,19/12/2023 10:32:20,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,WIZARD,8750.175000000003,15250.305000000008,15266.972000000009,8750.175000000003,15250.305000000008,15266.972000000009,1,8750.175000000003,6516.797000000006,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702981947274,19/12/2023 10:32:27,1702981947274,0,19/12/2023 10:32:27,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,TEACHER,5033.433999999994,6733.4679999999935,6733.4679999999935,5033.433999999994,6733.4679999999935,6733.4679999999935,1,5033.433999999994,1700.0339999999997,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702981949057,19/12/2023 10:32:29,1702981949057,0,19/12/2023 10:32:29,157165,2,task-aqqk,,33776281,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1800.0360000000073,1800.0360000000073,1800.0360000000073,1800.0360000000073,1800.0360000000073,1800.0360000000073,1,1800.0360000000073,0,0,,Click To Continue,Continue Button,2,object-4,End,
