Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702981782873,19/12/2023 10:29:42,1702981782873,0,19/12/2023 10:29:42,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981787561,19/12/2023 10:29:47,1702981787561,0,19/12/2023 10:29:47,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,4533.50000000298,4528,4533.50000000298,4533.50000000298,4528,4533.50000000298,1,4533.50000000298,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1702981787561,19/12/2023 10:29:47,1702981787561,0,19/12/2023 10:29:47,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,2743.2,4528,4534.09999999702,2743.2,4528,4534.09999999702,1,2743.2,1790.8999999970201,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1702981796796,19/12/2023 10:29:56,1702981796796,0,19/12/2023 10:29:56,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,9240.599999997019,9236.7,9240.599999997019,9240.599999997019,9236.7,9240.599999997019,1,9240.599999997019,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1702981796797,19/12/2023 10:29:56,1702981796797,0,19/12/2023 10:29:56,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,5375.3,9236.7,9242.099999997019,5375.3,9236.7,9242.099999997019,1,5375.3,3866.799999997019,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1702981798842,19/12/2023 10:29:58,1702981798842,0,19/12/2023 10:29:58,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Screen 22,3y4guk,3,continue,,2050.000000005961,2048.6000000000004,2050.000000005961,2050.000000005961,2048.6000000000004,2050.000000005961,1,2050.000000005961,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1702981815832,19/12/2023 10:30:15,1702981815832,0,19/12/2023 10:30:15,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,16991.29999999702,16987,16991.29999999702,16991.29999999702,16987,16991.29999999702,1,16991.29999999702,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1702981816807,19/12/2023 10:30:16,1702981816807,0,19/12/2023 10:30:16,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,979.0999999999913,972.1999999999971,979.0999999999913,979.0999999999913,972.1999999999971,979.0999999999913,1,979.0999999999913,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1702981836981,19/12/2023 10:30:36,1702981836981,0,19/12/2023 10:30:36,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingA,34efq7,1,response,FICH WUNG,4764.100000000006,20174.700000000004,20181.000000002983,4764.100000000006,20174.700000000004,20181.000000002983,1,4764.100000000006,15416.900000002977,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,01,1i-3_01,1,Training02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,FICH,WUNG,04_WHEEZES_FICH_WUNG.png,,FICH WUNG,05_AUROR_ASK.png,05_AUROR_DOTS.png,FICH WUNG,ZETH WAN,FICH WUNG,ZETH WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,,,,
10,1702981849306,19/12/2023 10:30:49,1702981849306,0,19/12/2023 10:30:49,157165,2,task-eihb,,33776248,BLIND,9990944,,complete,,65816e7c3e4f3efd91f81769,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-3 A Training,3,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,12331.300000002979,12326.900000000001,12331.300000002979,12331.300000002979,12326.900000000001,12331.300000002979,1,12331.300000002979,0,0,,Click Response,Option B,5,object-246,1i-3,_,01,1i-3_01,1,Training02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,FICH,WUNG,04_WHEEZES_FICH_WUNG.png,,FICH WUNG,05_AUROR_ASK.png,05_AUROR_DOTS.png,FICH WUNG,ZETH WAN,FICH WUNG,ZETH WAN,05_AUROR_ZETH_WAN.png,,ZETH WAN,,,,
