Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702981687085,19/12/2023 10:28:07,1702981687085,0,19/12/2023 10:28:07,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981689635,19/12/2023 10:28:09,1702981689635,0,19/12/2023 10:28:09,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,3500.07,3500.07,3500.07,3500.07,3500.07,3500.07,1,3500.07,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,17,18
3,1702981712969,19/12/2023 10:28:32,1702981712969,0,19/12/2023 10:28:32,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,1,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WIM.png,23350.466999999997,23333.8,23350.466999999997,23350.466999999997,23333.8,23350.466999999997,1,23350.466999999997,0,0,,Click Response,RightOption,3,object-86,1e-3,_,26,1e-3_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,18,19
4,1702981722486,19/12/2023 10:28:42,1702981722486,0,19/12/2023 10:28:42,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,2,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WAN.png,9516.857,9516.857,9516.857,9516.857,9516.857,9516.857,1,9516.857,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,25,1e-3_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,19,20
5,1702981727703,19/12/2023 10:28:47,1702981727703,0,19/12/2023 10:28:47,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,3,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,5216.771000000001,5200.103999999999,5216.771000000001,5216.771000000001,5200.103999999999,5216.771000000001,0,5216.771000000001,0,0,,Click Response,RightOption,3,object-86,1e-3,_,27,1e-3_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WUNG,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,,WUNG,WAN,WUNG,WAN,,19,21
6,1702981731470,19/12/2023 10:28:51,1702981731470,0,19/12/2023 10:28:51,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,4,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WAN.png,3800.076000000001,3783.4089999999997,3800.076000000001,3800.076000000001,3783.4089999999997,3800.076000000001,1,3800.076000000001,0,0,,Click Response,RightOption,3,object-86,1e-3,_,28,1e-3_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,20,22
7,1702981734486,19/12/2023 10:28:54,1702981734486,0,19/12/2023 10:28:54,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,5,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,3033.393999999993,3016.726999999999,3033.393999999993,3033.393999999993,3016.726999999999,3033.393999999993,0,3033.393999999993,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,32,1e-3_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WUNG,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,20,23
8,1702981752620,19/12/2023 10:29:12,1702981752620,0,19/12/2023 10:29:12,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,6,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WIM.png,18133.696000000004,18133.696000000004,18133.696000000004,18133.696000000004,18133.696000000004,18133.696000000004,0,18133.696000000004,0,0,,Click Response,RightOption,3,object-86,1e-3,_,31,1e-3_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WUNG,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,,WUNG,WIM,WUNG,WIM,,20,24
9,1702981763887,19/12/2023 10:29:23,1702981763887,0,19/12/2023 10:29:23,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,7,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WIM.png,11283.55899999998,11266.891999999993,11283.55899999998,11283.55899999998,11266.891999999993,11283.55899999998,0,11283.55899999998,0,0,,Click Response,RightOption,3,object-86,1e-3,_,29,1e-3_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,20,25
10,1702981766954,19/12/2023 10:29:26,1702981766954,0,19/12/2023 10:29:26,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,8,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WIM.png,3083.395000000004,3066.728000000003,3083.395000000004,3083.395000000004,3066.728000000003,3083.395000000004,1,3083.395000000004,0,0,,Click Response,RightOption,3,object-86,1e-3,_,30,1e-3_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WAN,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,21,26
11,1702981772087,19/12/2023 10:29:32,1702981772087,0,19/12/2023 10:29:32,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,9,Testing02,Testing,hvzr65,1,response,27_BESTSELLER_BLOT_WAN.png,5150.103000000003,5133.4360000000015,5150.103000000003,5150.103000000003,5133.4360000000015,5150.103000000003,0,5150.103000000003,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,35,1e-3_35,3,Testing02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,BLOT,WAN,27_BESTSELLER_BLOT_WAN.png,27_BESTSELLER_BLOT_WUNG.png,27_BESTSELLER_BLOT_WUNG.png,27_BESTSELLER_BLOT_WAN.png,,,,WAN,WUNG,,21,27
12,1702981774604,19/12/2023 10:29:34,1702981774604,0,19/12/2023 10:29:34,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,10,Testing02,Testing,hvzr65,1,response,14_MUNGOS_BLOT_WIM.png,2533.3840000000055,2516.717000000004,2533.3840000000055,2533.3840000000055,2516.717000000004,2533.3840000000055,0,2533.3840000000055,0,0,,Click Response,RightOption,3,object-86,1e-3,_,36,1e-3_36,3,Testing02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,BLOT,WAN,14_MUNGOS_BLOT_WAN.png,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WAN.png,14_MUNGOS_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,21,28
13,1702981785821,19/12/2023 10:29:45,1702981785821,0,19/12/2023 10:29:45,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,11,Testing02,Testing,hvzr65,1,response,19_BURYVOLDY_BLOT_WIM.png,11233.558000000005,11216.891000000003,11233.558000000005,11233.558000000005,11216.891000000003,11233.558000000005,1,11233.558000000005,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,34,1e-3_34,3,Testing02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,BLOT,WIM,19_BURYVOLDY_BLOT_WIM.png,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WIM.png,19_BURYVOLDY_BLOT_WUNG.png,,,,WIM,WUNG,,22,29
14,1702981789487,19/12/2023 10:29:49,1702981789487,0,19/12/2023 10:29:49,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,12,Testing02,Testing,hvzr65,1,response,32_QWC_BLOT_WAN.png,3666.7399999999907,3666.7399999999907,3666.7399999999907,3666.7399999999907,3666.7399999999907,3666.7399999999907,1,3666.7399999999907,0,0,,Click Response,RightOption,3,object-86,1e-3,_,33,1e-3_33,3,Testing02,32_QWC,ASK,.png,32_QWC_ASK.png,BLOT,WUNG,32_QWC_BLOT_WUNG.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WUNG.png,,,,WUNG,WAN,,23,30
15,1702981803421,19/12/2023 10:30:03,1702981803421,0,19/12/2023 10:30:03,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,13,Testing02,Testing,hvzr65,1,response,06_MOM_BLOT_WUNG.png,13933.612000000008,13916.945000000007,13933.612000000008,13933.612000000008,13916.945000000007,13933.612000000008,1,13933.612000000008,0,0,,Click Response,RightOption,3,object-86,1e-3,_,39,1e-3_39,4,Testing02,06_MOM,ASK,.png,06_MOM_ASK.png,BLOT,WIM,06_MOM_BLOT_WIM.png,06_MOM_BLOT_WUNG.png,06_MOM_BLOT_WUNG.png,06_MOM_BLOT_WIM.png,,WAN,WUNG,WIM,WUNG,,24,31
16,1702981811938,19/12/2023 10:30:11,1702981811938,0,19/12/2023 10:30:11,157165,2,task-goty,,33776200,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,1e-3 B Testing,4,,,1e-3,Pass,,,,1e-3 B Testing,14,Testing02,Testing,hvzr65,1,response,33_ROR_BLOT_WIM.png,8533.504,8533.504,8533.504,8533.504,8533.504,8533.504,1,8533.504,0,0,,Click Response,LeftOption,4,object-112,1e-3,_,38,1e-3_38,4,Testing02,33_ROR,ASK,.png,33_ROR_ASK.png,BLOT,WIM,33_ROR_BLOT_WIM.png,33_ROR_BLOT_WAN.png,33_ROR_BLOT_WIM.png,33_ROR_BLOT_WAN.png,,WUNG,WIM,WIM,WAN,,25,32
