Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702981446080,19/12/2023 10:24:06,1702981446080,0,19/12/2023 10:24:06,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981461308,19/12/2023 10:24:21,1702981461308,0,19/12/2023 10:24:21,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions1,l6tegj,1,continue,,16449.19999998808,16438.3,16449.19999998808,16449.19999998808,16438.3,16449.19999998808,1,16449.19999998808,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702981464087,19/12/2023 10:24:24,1702981464087,0,19/12/2023 10:24:24,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions2,m22b5k,2,continue,,2791.6000000357635,2783.100000000002,2791.6000000357635,2791.6000000357635,2783.100000000002,2791.6000000357635,1,2791.6000000357635,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702981465630,19/12/2023 10:24:25,1702981465630,0,19/12/2023 10:24:25,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions4,ipt5mm,3,continue,,1550,1533.2999999999993,1550,1550,1533.2999999999993,1550,1,1550,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702981466076,19/12/2023 10:24:26,1702981466076,0,19/12/2023 10:24:26,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions5,9ur7d5,4,continue,,464.40000002384113,450,464.40000002384113,464.40000002384113,450,464.40000002384113,1,464.40000002384113,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702981469147,19/12/2023 10:24:29,1702981469147,0,19/12/2023 10:24:29,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Prolific ID,v46841,5,response,5eb878b706340e7d115c8ac6,2999.899999999998,3083.2000000000007,3085.700000035762,2999.899999999998,3083.2000000000007,3085.700000035762,1,2999.899999999998,85.80000003576424,0,,Single Text Entry,Single Text Entry,2,object-288,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702981484025,19/12/2023 10:24:44,1702981484025,0,19/12/2023 10:24:44,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,continue,,14878.099999999999,14866.099999999999,14878.099999999999,14878.099999999999,14866.099999999999,14878.099999999999,1,14878.099999999999,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1702981484034,19/12/2023 10:24:44,1702981484034,0,19/12/2023 10:24:44,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,27,10983,14866.099999999999,14882.799999999996,10983,14866.099999999999,14882.799999999996,1,10983,3899.7999999999956,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1702981484036,19/12/2023 10:24:44,1702981484036,0,19/12/2023 10:24:44,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Female,12649.599999999999,14866.099999999999,14882.799999999996,12649.599999999999,14866.099999999999,14882.799999999996,1,12649.599999999999,2233.199999999997,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1702981484038,19/12/2023 10:24:44,1702981484038,0,19/12/2023 10:24:44,157165,2,task-hvde,,33776110,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Dain-Melk-Hoat A Training,4,Pass,,1e-1i,,,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,14382.799999999996,14866.099999999999,14882.799999999996,14382.799999999996,14866.099999999999,14882.799999999996,1,14382.799999999996,500,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
