Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702980978541,19/12/2023 10:16:18,1702980978541,0,19/12/2023 10:16:18,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702980983583,19/12/2023 10:16:23,1702980983583,0,19/12/2023 10:16:23,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,5068.10000000298,5053.4,5068.10000000298,5068.10000000298,5053.4,5068.10000000298,0,5068.10000000298,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702980983584,19/12/2023 10:16:23,1702980983584,0,19/12/2023 10:16:23,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3202.1,5053.4,5068.799999991059,3202.1,5053.4,5068.799999991059,1,3202.1,1866.699999991059,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702980987589,19/12/2023 10:16:27,1702980987589,0,19/12/2023 10:16:27,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,4019.5,4002.8999999999996,4019.5,4019.5,4002.8999999999996,4019.5,0,4019.5,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702980987589,19/12/2023 10:16:27,1702980987589,0,19/12/2023 10:16:27,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,3486.2000000000007,4002.8999999999996,4019.5,3486.2000000000007,4002.8999999999996,4019.5,1,3486.2000000000007,533.2999999999993,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702980995587,19/12/2023 10:16:35,1702980995587,0,19/12/2023 10:16:35,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,8016.1,8005.300000000001,8016.1,8016.1,8005.300000000001,8016.1,1,8016.1,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702981004142,19/12/2023 10:16:44,1702981004142,0,19/12/2023 10:16:44,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,1,Testing01,Testing,hvzr65,1,response,01_LOCKET_HOAT.png,8562.099999997019,8556,8562.099999997019,8562.099999997019,8556,8562.099999997019,1,8562.099999997019,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_HOAT.png,HOAT,,,,,,DAIN,01_LOCKET_DAIN.png,HOAT,01_LOCKET_HOAT.png,DAIN,01_LOCKET_DAIN.png,,1,1
8,1702981012446,19/12/2023 10:16:52,1702981012446,0,19/12/2023 10:16:52,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,2,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_MELK.png,8310.399999994039,8305.7,8310.399999994039,8310.399999994039,8305.7,8310.399999994039,0,8310.399999994039,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_DAIN.png,DAIN,,,,,,MELK,08_SLUGHORN_MELK.png,DAIN,08_SLUGHORN_DAIN.png,MELK,08_SLUGHORN_MELK.png,,1,2
9,1702981017324,19/12/2023 10:16:57,1702981017324,0,19/12/2023 10:16:57,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,3,Testing01,Testing,hvzr65,1,response,14_TOPMARK_HOAT.png,4884.999999991058,4870.299999999996,4884.999999991058,4884.999999991058,4870.299999999996,4884.999999991058,0,4884.999999991058,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_DAIN.png,DAIN,,,,,,DAIN,14_TOPMARK_DAIN.png,HOAT,14_TOPMARK_HOAT.png,HOAT,14_TOPMARK_HOAT.png,,1,3
10,1702981022837,19/12/2023 10:17:02,1702981022837,0,19/12/2023 10:17:02,157165,2,task-pvfu,,33775945,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,fail,,Hoat_Dain_Melk Testing,4,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_MELK.png,5527.599999997023,5520.300000000003,5527.599999997023,5527.599999997023,5520.300000000003,5527.599999997023,0,5527.599999997023,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,,HOAT,04_HUFFLEPUFF_HOAT.png,MELK,04_HUFFLEPUFF_MELK.png,MELK,04_HUFFLEPUFF_MELK.png,,1,4
