Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702980618446,19/12/2023 10:10:18,1702980618446,0,19/12/2023 10:10:18,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702980622532,19/12/2023 10:10:22,1702980622532,0,19/12/2023 10:10:22,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions1,l6tegj,1,continue,,3748.399999999999,3731.7999999999997,3748.399999999999,3748.399999999999,3731.7999999999997,3748.399999999999,1,3748.399999999999,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702980625597,19/12/2023 10:10:25,1702980625597,0,19/12/2023 10:10:25,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions2,m22b5k,2,continue,,3085.6999999761583,3081.9000000000005,3085.6999999761583,3085.6999999761583,3081.9000000000005,3085.6999999761583,1,3085.6999999761583,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702980628385,19/12/2023 10:10:28,1702980628385,0,19/12/2023 10:10:28,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions4,ipt5mm,3,continue,,2792.0000000238415,2782.2999999999993,2792.0000000238415,2792.0000000238415,2782.2999999999993,2792.0000000238415,1,2792.0000000238415,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702980630612,19/12/2023 10:10:30,1702980630612,0,19/12/2023 10:10:30,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions5,9ur7d5,4,continue,,2237.2999999880794,2232.3999999999996,2237.2999999880794,2237.2999999880794,2232.3999999999996,2237.2999999880794,1,2237.2999999880794,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702980634647,19/12/2023 10:10:34,1702980634647,0,19/12/2023 10:10:34,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Prolific ID,v46841,5,response,6147568a852e8ede83722b7e,2748.7999999999993,4031.7000000000007,4039.5000000119217,2748.7999999999993,4031.7000000000007,4039.5000000119217,1,2748.7999999999993,1290.7000000119224,0,,Single Text Entry,Single Text Entry,2,object-288,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702980641912,19/12/2023 10:10:41,1702980641912,0,19/12/2023 10:10:41,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,continue,,7271.300000011921,7263.5,7271.300000011921,7271.300000011921,7263.5,7271.300000011921,1,7271.300000011921,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1702980641919,19/12/2023 10:10:41,1702980641919,0,19/12/2023 10:10:41,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,30,2448.9000000000015,7263.5,7278.699999988079,2448.9000000000015,7263.5,7278.699999988079,1,2448.9000000000015,4829.799999988078,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1702980641922,19/12/2023 10:10:41,1702980641922,0,19/12/2023 10:10:41,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Male,4764.5999999999985,7263.5,7280.0999999999985,4764.5999999999985,7263.5,7280.0999999999985,1,4764.5999999999985,2515.5,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1702980641925,19/12/2023 10:10:41,1702980641925,0,19/12/2023 10:10:41,157165,2,task-usty,,33775819,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Dain-Melk-Hoat A Training,4,,,1i-2,,fail,,,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,6547.200000000001,7263.5,7280.0999999999985,6547.200000000001,7263.5,7280.0999999999985,1,6547.200000000001,732.8999999999978,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
