Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702981236390,19/12/2023 10:20:36,1702981236390,0,19/12/2023 10:20:36,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981247095,19/12/2023 10:20:47,1702981247095,0,19/12/2023 10:20:47,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,10718.999999999814,10713,10718.999999999814,10718.999999999814,10713,10718.999999999814,0,10718.999999999814,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702981247103,19/12/2023 10:20:47,1702981247103,0,19/12/2023 10:20:47,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,4848.3,10713,10727.400000000187,4848.3,10713,10727.400000000187,1,4848.3,5879.100000000187,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702981254137,19/12/2023 10:20:54,1702981254137,0,19/12/2023 10:20:54,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,7048.9999999998145,7047.5,7048.9999999998145,7048.9999999998145,7047.5,7048.9999999998145,0,7048.9999999998145,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702981254137,19/12/2023 10:20:54,1702981254137,0,19/12/2023 10:20:54,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,3649,7047.5,7049.600000000373,3649,7047.5,7049.600000000373,1,3649,3400.6000000003733,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702981266166,19/12/2023 10:21:06,1702981266166,0,19/12/2023 10:21:06,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,12030.80000000056,12029.3,12030.80000000056,12030.80000000056,12029.3,12030.80000000056,1,12030.80000000056,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702981278973,19/12/2023 10:21:18,1702981278973,0,19/12/2023 10:21:18,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,1,Testing01,Testing,hvzr65,1,response,14_TOPMARK_DAIN.png,12801.00000000056,12795.700000000004,12801.00000000056,12801.00000000056,12795.700000000004,12801.00000000056,1,12801.00000000056,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_DAIN.png,DAIN,,,,,,DAIN,14_TOPMARK_DAIN.png,HOAT,14_TOPMARK_HOAT.png,HOAT,14_TOPMARK_HOAT.png,,1,1
8,1702981291735,19/12/2023 10:21:31,1702981291735,0,19/12/2023 10:21:31,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,2,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_HOAT.png,12774.800000000556,12762.399999999994,12774.800000000556,12774.800000000556,12762.399999999994,12774.800000000556,1,12774.800000000556,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,,HOAT,04_HUFFLEPUFF_HOAT.png,MELK,04_HUFFLEPUFF_MELK.png,MELK,04_HUFFLEPUFF_MELK.png,,2,2
9,1702981299913,19/12/2023 10:21:39,1702981299913,0,19/12/2023 10:21:39,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,3,Testing01,Testing,hvzr65,1,response,18_CEILING_MELK.png,8189.800000000003,8180.9000000000015,8189.800000000003,8189.800000000003,8180.9000000000015,8189.800000000003,1,8189.800000000003,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_MELK.png,MELK,,,,,,MELK,18_CEILING_MELK.png,DAIN,18_CEILING_DAIN.png,DAIN,18_CEILING_DAIN.png,,3,3
10,1702981310511,19/12/2023 10:21:50,1702981310511,0,19/12/2023 10:21:50,157165,2,task-ygk2,,33776054,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,Hoat-Dain-Melk B Testing,8,,Pass,1e-2,,,,,Hoat_Dain_Melk Testing,4,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_DAIN.png,10607.00000000056,10596.200000000004,10607.00000000056,10607.00000000056,10596.200000000004,10607.00000000056,1,10607.00000000056,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_DAIN.png,DAIN,,,,,,MELK,08_SLUGHORN_MELK.png,DAIN,08_SLUGHORN_DAIN.png,MELK,08_SLUGHORN_MELK.png,,4,4
