Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712310098382,05/04/2024 09:41:38,1712313698382,1,05/04/2024 11:41:38,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310106154,05/04/2024 09:41:46,1712313706154,1,05/04/2024 11:41:46,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7781.1700000000465,7774.87,7781.1700000000465,7781.1700000000465,7774.87,7781.1700000000465,0,7781.1700000000465,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310106155,05/04/2024 09:41:46,1712313706155,1,05/04/2024 11:41:46,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4974.87,7774.87,7782.27000000014,4974.87,7774.87,7782.27000000014,1,4974.87,2807.4000000001397,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310119288,05/04/2024 09:41:59,1712313719288,1,05/04/2024 11:41:59,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,13141,13133.099999999999,13141,13141,13133.099999999999,13141,0,13141,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310119292,05/04/2024 09:41:59,1712313719292,1,05/04/2024 11:41:59,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,11224.900000000001,13133.099999999999,13141.299999999996,11224.900000000001,13133.099999999999,13141.299999999996,1,11224.900000000001,1916.3999999999942,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310131440,05/04/2024 09:42:11,1712313731440,1,05/04/2024 11:42:11,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Fich Question,old87p,3,response,THEY,9441.5,12158.099999999999,12159.700000000048,9441.5,12158.099999999999,12159.700000000048,1,9441.5,2718.200000000048,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712310140500,05/04/2024 09:42:20,1712313740500,1,05/04/2024 11:42:20,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,WE,3933.300000000003,9058,9061.400000000096,3933.300000000003,9058,9061.400000000096,1,3933.300000000003,5128.100000000093,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712310149313,05/04/2024 09:42:29,1712313749313,1,05/04/2024 11:42:29,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,THEY,7458.4000000000015,8808.300000000003,8816.5,7458.4000000000015,8808.300000000003,8816.5,1,7458.4000000000015,1358.0999999999985,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712310160658,05/04/2024 09:42:40,1712313760658,1,05/04/2024 11:42:40,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,SHE,7841.5999999999985,11349.900000000001,11353.100000000093,7841.5999999999985,11349.900000000001,11353.100000000093,1,7841.5999999999985,3511.5000000000946,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712310163534,05/04/2024 09:42:43,1712313763534,1,05/04/2024 11:42:43,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2879.300000000185,2874.7000000000044,2879.300000000185,2879.300000000185,2874.7000000000044,2879.300000000185,1,2879.300000000185,0,0,,Click To Continue,Continue Button,2,object-4,End,
11,1712310163535,05/04/2024 09:42:43,1712313763535,1,05/04/2024 11:42:43,139619,19,task-77zz,,36765749,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1712310758794,05/04/2024 09:52:38,1712314358794,1,05/04/2024 11:52:38,139619,19,task-77zz,,36765959,BLIND,10840141,,complete,,660fc562501f70f0089a23c6,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x776,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310767373,05/04/2024 09:52:47,1712314367373,1,05/04/2024 11:52:47,139619,19,task-77zz,,36765959,BLIND,10840141,,complete,,660fc562501f70f0089a23c6,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x776,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,8585.780000143051,8576.08,8585.780000143051,8585.780000143051,8576.08,8585.780000143051,0,8585.780000143051,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310767376,05/04/2024 09:52:47,1712314367376,1,05/04/2024 11:52:47,139619,19,task-77zz,,36765959,BLIND,10840141,,complete,,660fc562501f70f0089a23c6,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x776,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5278.88,8576.08,8589.880000047684,5278.88,8576.08,8589.880000047684,1,5278.88,3311.000000047684,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310777312,05/04/2024 09:52:57,1712314377312,1,05/04/2024 11:52:57,139619,19,task-77zz,,36765959,BLIND,10840141,,complete,,660fc562501f70f0089a23c6,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x776,,,0,End Screen,10,,,1i-3,,,Pass,,Spreadsheet1,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,9949.1,9942.699999999999,9949.1,9949.1,9942.699999999999,9949.1,0,9949.1,0,0,,Click To Continue,Continue Button,2,object-14,End,
