Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712310490271,05/04/2024 09:48:10,1712314090271,1,05/04/2024 11:48:10,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712310497023,05/04/2024 09:48:17,1712314097023,1,05/04/2024 11:48:17,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,7437,7420,7437,7437,7420,7437,0,7437,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712310497024,05/04/2024 09:48:17,1712314097024,1,05/04/2024 11:48:17,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,6554,7420,7437,6554,7420,7437,1,6554,883,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712310503111,05/04/2024 09:48:23,1712314103111,1,05/04/2024 11:48:23,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,6121,6112,6121,6121,6112,6121,0,6121,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712310503115,05/04/2024 09:48:23,1712314103115,1,05/04/2024 11:48:23,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,4880,6112,6126.000000000002,4880,6112,6126.000000000002,1,4880,1246.0000000000018,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712310510466,05/04/2024 09:48:30,1712314110466,1,05/04/2024 11:48:30,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,7365.000000000004,7363,7365.000000000004,7365.000000000004,7363,7365.000000000004,1,7365.000000000004,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712310517196,05/04/2024 09:48:37,1712314117196,1,05/04/2024 11:48:37,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,1,Testing01,Testing,hvzr65,1,response,18_CEILING_DAIN.png,6730,6728,6730,6730,6728,6730,1,6730,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_DAIN.png,DAIN,,,,,,DAIN,18_CEILING_DAIN.png,HOAT,18_CEILING_HOAT.png,HOAT,18_CEILING_HOAT.png,,1,1
8,1712310523708,05/04/2024 09:48:43,1712314123708,1,05/04/2024 11:48:43,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,2,Testing01,Testing,hvzr65,1,response,01_LOCKET_MELK.png,6515,6512,6515,6515,6512,6515,1,6515,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_MELK.png,MELK,,,,,,HOAT,01_LOCKET_HOAT.png,MELK,01_LOCKET_MELK.png,HOAT,01_LOCKET_HOAT.png,,2,2
9,1712310529739,05/04/2024 09:48:49,1712314129739,1,05/04/2024 11:48:49,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,3,Testing01,Testing,hvzr65,1,response,12_TOAD_DAIN.png,6033,6030,6033,6033,6030,6033,1,6033,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,22,HDM_22,12_TOAD,,ASK,.png,12_TOAD_ASK.png,12_TOAD_DAIN.png,DAIN,,,,,,MELK,12_TOAD_MELK.png,DAIN,12_TOAD_DAIN.png,MELK,12_TOAD_MELK.png,,3,3
10,1712310534697,05/04/2024 09:48:54,1712314134697,1,05/04/2024 11:48:54,139619,19,task-88ng,,36765844,BLIND,10840193,,complete,,660fc71f77496fd4b9dc036e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.3.1,1440x900,1440x820,,,0,Melk-Hoat-Dain B Testing,4,,,1e-3,Pass,,,,Melk-Hoat-Dain Testing,Melk-Hoat-Dain Testing,4,Testing01,Testing,hvzr65,1,response,08_SLUGHORN_HOAT.png,4961,4947,4961,4961,4947,4961,1,4961,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,21,HDM_21,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,08_SLUGHORN_HOAT.png,HOAT,,,,,,DAIN,08_SLUGHORN_DAIN.png,HOAT,08_SLUGHORN_HOAT.png,DAIN,08_SLUGHORN_DAIN.png,,4,4
