Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Blot,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712310781426,05/04/2024 09:53:01,1712314381426,1,05/04/2024 11:53:01,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712310786195,05/04/2024 09:53:06,1712314386195,1,05/04/2024 11:53:06,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,4786.881999809265,4781.482,4786.881999809265,4786.881999809265,4781.482,4786.881999809265,1,4786.881999809265,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,,16,18
3,1712310800073,05/04/2024 09:53:20,1712314400073,1,05/04/2024 11:53:20,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,1,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,13873.499999952317,13861.8,13873.499999952317,13873.499999952317,13861.8,13873.499999952317,0,13873.499999952317,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,26,1e-2_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WAN,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,BLOT,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,16,19
4,1712310810642,05/04/2024 09:53:30,1712314410642,1,05/04/2024 11:53:30,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,2,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WUNG.png,10590.900000000001,10579.5,10590.900000000001,10590.900000000001,10579.5,10590.900000000001,0,10590.900000000001,0,0,,Click Response,RightOption,3,object-86,1e-2,_,25,1e-2_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,BLOT,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,16,20
5,1712310819721,05/04/2024 09:53:39,1712314419721,1,05/04/2024 11:53:39,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,3,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WIM.png,9089.79999985695,9080.099999999999,9089.79999985695,9089.79999985695,9080.099999999999,9089.79999985695,0,9089.79999985695,0,0,,Click Response,RightOption,3,object-86,1e-2,_,27,1e-2_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,BLOT,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,16,21
6,1712310823797,05/04/2024 09:53:43,1712314423797,1,05/04/2024 11:53:43,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,4,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WIM.png,4085.1999998569518,4081.800000000003,4085.1999998569518,4085.1999998569518,4081.800000000003,4085.1999998569518,1,4085.1999998569518,0,0,,Click Response,RightOption,3,object-86,1e-2,_,28,1e-2_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WUNG,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,BLOT,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,17,22
7,1712310829519,05/04/2024 09:53:49,1712314429519,1,05/04/2024 11:53:49,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,5,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WAN.png,5725.899999856949,5714.800000000003,5725.899999856949,5725.899999856949,5714.800000000003,5725.899999856949,1,5725.899999856949,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,29,1e-2_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,BLOT,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,18,23
8,1712310838824,05/04/2024 09:53:58,1712314438824,1,05/04/2024 11:53:58,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,6,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WUNG.png,9316.499999952313,9313.199999999997,9316.499999952313,9316.499999952313,9313.199999999997,9316.499999952313,1,9316.499999952313,0,0,,Click Response,RightOption,3,object-86,1e-2,_,30,1e-2_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WUNG.png,BLOT,12_SKEETER_BLOT_WUNG.png,12_SKEETER_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,19,24
9,1712310846820,05/04/2024 09:54:06,1712314446820,1,05/04/2024 11:54:06,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,7,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WAN.png,7998.399999856949,7997.199999999997,7998.399999856949,7998.399999856949,7997.199999999997,7998.399999856949,1,7998.399999856949,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,31,1e-2_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,BLOT,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,20,25
10,1712310851321,05/04/2024 09:54:11,1712314451321,1,05/04/2024 11:54:11,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,8,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WIM.png,4503.199999856952,4498.300000000003,4503.199999856952,4503.199999856952,4498.300000000003,4503.199999856952,1,4503.199999856952,0,0,,Click Response,RightOption,3,object-86,1e-2,_,32,1e-2_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WIM.png,BLOT,28_GALLEONS_BLOT_WIM.png,28_GALLEONS_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,21,26
11,1712310855548,05/04/2024 09:54:15,1712314455548,1,05/04/2024 11:54:15,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,9,Testing02,Testing,hvzr65,1,response,32_QWC_BLOT_WUNG.png,4232,4215.300000000003,4232,4232,4215.300000000003,4232,0,4232,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,33,1e-2_33,3,Testing02,32_QWC,ASK,.png,32_QWC_ASK.png,BLOT,WUNG,32_QWC_BLOT_WUNG.png,32_QWC_BLOT_WAN.png,BLOT,32_QWC_BLOT_WAN.png,32_QWC_BLOT_WUNG.png,,,,WUNG,WAN,,21,27
12,1712310858941,05/04/2024 09:54:18,1712314458941,1,05/04/2024 11:54:18,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,10,Testing02,Testing,hvzr65,1,response,19_BURYVOLDY_BLOT_WUNG.png,3409.7999999046297,3398.800000000003,3409.7999999046297,3409.7999999046297,3398.800000000003,3409.7999999046297,1,3409.7999999046297,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,34,1e-2_34,3,Testing02,19_BURYVOLDY,ASK,.png,19_BURYVOLDY_ASK.png,BLOT,WUNG,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,BLOT,19_BURYVOLDY_BLOT_WUNG.png,19_BURYVOLDY_BLOT_WAN.png,,,,WUNG,WAN,,22,28
13,1712310867077,05/04/2024 09:54:27,1712314467077,1,05/04/2024 11:54:27,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,11,Testing02,Testing,hvzr65,1,response,27_BESTSELLER_BLOT_WAN.png,8147,8130.399999999994,8147,8147,8130.399999999994,8147,1,8147,0,0,,Click Response,RightOption,3,object-86,1e-2,_,35,1e-2_35,3,Testing02,27_BESTSELLER,ASK,.png,27_BESTSELLER_ASK.png,BLOT,WIM,27_BESTSELLER_BLOT_WIM.png,27_BESTSELLER_BLOT_WAN.png,BLOT,27_BESTSELLER_BLOT_WAN.png,27_BESTSELLER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,23,29
14,1712310869799,05/04/2024 09:54:29,1712314469799,1,05/04/2024 11:54:29,139619,19,task-98zo,,36765970,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,1e-2 B Testing,4,,Pass,1e-2,,,,,1e-2 B Testing,1e-2 B Testing,12,Testing02,Testing,hvzr65,1,response,14_MUNGOS_BLOT_WIM.png,2738.7999999523163,2732.300000000003,2738.7999999523163,2738.7999999523163,2732.300000000003,2738.7999999523163,1,2738.7999999523163,0,0,,Click Response,LeftOption,4,object-112,1e-2,_,36,1e-2_36,3,Testing02,14_MUNGOS,ASK,.png,14_MUNGOS_ASK.png,BLOT,WIM,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WUNG.png,BLOT,14_MUNGOS_BLOT_WIM.png,14_MUNGOS_BLOT_WUNG.png,,WUNG,WIM,WIM,WUNG,,24,30
