Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712309752575,05/04/2024 09:35:52,1712313352575,1,05/04/2024 11:35:52,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309763557,05/04/2024 09:36:03,1712313363557,1,05/04/2024 11:36:03,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions1,l6tegj,1,continue,,9782.899999904632,9780.2,9782.899999904632,9782.899999904632,9780.2,9782.899999904632,1,9782.899999904632,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712309768766,05/04/2024 09:36:08,1712313368766,1,05/04/2024 11:36:08,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions2,m22b5k,2,continue,,5211.2999998092655,5197.800000000001,5211.2999998092655,5211.2999998092655,5197.800000000001,5211.2999998092655,1,5211.2999998092655,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712309773610,05/04/2024 09:36:13,1712313373610,1,05/04/2024 11:36:13,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions4,ipt5mm,3,continue,,4858.599999952316,4848.299999999999,4858.599999952316,4858.599999952316,4848.299999999999,4858.599999952316,1,4858.599999952316,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712309775361,05/04/2024 09:36:15,1712313375361,1,05/04/2024 11:36:15,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions5,9ur7d5,4,continue,,1760.3999998569489,1749.4000000000015,1760.3999998569489,1760.3999998569489,1749.4000000000015,1760.3999998569489,1,1760.3999998569489,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712309782466,05/04/2024 09:36:22,1712313382466,1,05/04/2024 11:36:22,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Prolific ID,mpa2yz,5,response,5c6adf2675b3d50001b8af1d,6197.899999999998,7114.0999999999985,7116.299999809264,6197.899999999998,7114.0999999999985,7116.299999809264,1,6197.899999999998,918.3999998092659,0,,Single Text Entry,Prolific ID Answer,2,object-284,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712309792298,05/04/2024 09:36:32,1712313392298,1,05/04/2024 11:36:32,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,continue,,9833.599999904633,9829.800000000003,9833.599999904633,9833.599999904633,9829.800000000003,9833.599999904633,1,9833.599999904633,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1712309792299,05/04/2024 09:36:32,1712313392299,1,05/04/2024 11:36:32,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,30,3032.300000000003,9829.800000000003,9835.299999952316,3032.300000000003,9829.800000000003,9835.299999952316,1,3032.300000000003,6802.999999952313,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1712309792299,05/04/2024 09:36:32,1712313392299,1,05/04/2024 11:36:32,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Male,5348.199999999997,9829.800000000003,9835.699999809265,5348.199999999997,9829.800000000003,9835.699999809265,1,5348.199999999997,4487.499999809268,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1712309792300,05/04/2024 09:36:32,1712313392300,1,05/04/2024 11:36:32,139619,19,task-fbri,,36765528,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,Hoat-Dain-Melk A Training,30,,Pass,1e-2,,,,,Hoat_Dain_Melk Training,Hoat_Dain_Melk Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,9096.800000000003,9829.800000000003,9836.099999904633,9096.800000000003,9829.800000000003,9836.099999904633,1,9096.800000000003,739.2999999046297,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
