Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712309605648,05/04/2024 09:33:25,1712313205648,1,05/04/2024 11:33:25,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309608851,05/04/2024 09:33:28,1712313208851,1,05/04/2024 11:33:28,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,3207.06,3200.7999999999997,3207.06,3207.06,3200.7999999999997,3207.06,1,3207.06,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,14,18
3,1712309616571,05/04/2024 09:33:36,1712313216571,1,05/04/2024 11:33:36,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,1,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WIM.png,7725.26,7722.84,7725.26,7725.26,7722.84,7725.26,0,7725.26,0,0,,Click Response,RightOption,3,object-86,1i-2,_,27,1i-2_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,14,19
4,1712309619778,05/04/2024 09:33:39,1712313219778,1,05/04/2024 11:33:39,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,2,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WUNG.png,3210.42,3209.4400000000005,3210.42,3210.42,3209.4400000000005,3210.42,0,3210.42,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,26,1i-2_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,14,20
5,1712309622527,05/04/2024 09:33:42,1712313222527,1,05/04/2024 11:33:42,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,3,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WIM.png,2750.9799999999996,2750.0999999999985,2750.9799999999996,2750.9799999999996,2750.0999999999985,2750.9799999999996,1,2750.9799999999996,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,25,1i-2_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WIM,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,,WIM,WAN,WIM,WAN,,15,21
6,1712309628044,05/04/2024 09:33:48,1712313228044,1,05/04/2024 11:33:48,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,4,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,5517.880000000001,5514.34,5517.880000000001,5517.880000000001,5514.34,5517.880000000001,1,5517.880000000001,0,0,,Click Response,RightOption,3,object-86,1i-2,_,28,1i-2_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,16,22
7,1712309632113,05/04/2024 09:33:52,1712313232113,1,05/04/2024 11:33:52,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,5,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,4072.540000000001,4069.84,4072.540000000001,4072.540000000001,4069.84,4072.540000000001,1,4072.540000000001,0,0,,Click Response,RightOption,3,object-86,1i-2,_,32,1i-2_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,17,23
8,1712309644471,05/04/2024 09:34:04,1712313244471,1,05/04/2024 11:34:04,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,6,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WIM.png,12359.7,12355.759999999998,12359.7,12359.7,12355.759999999998,12359.7,1,12359.7,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,29,1i-2_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WIM,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,,WIM,WUNG,WIM,WUNG,,18,24
9,1712309649143,05/04/2024 09:34:09,1712313249143,1,05/04/2024 11:34:09,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,7,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WUNG.png,4676.940000000002,4674.639999999999,4676.940000000002,4676.940000000002,4674.639999999999,4676.940000000002,0,4676.940000000002,0,0,,Click Response,RightOption,3,object-86,1i-2,_,31,1i-2_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,18,25
10,1712309654376,05/04/2024 09:34:14,1712313254376,1,05/04/2024 11:34:14,139619,19,task-hebw,,36765460,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1i-2 B Testing,8,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WAN.png,5234.300000000003,5229.980000000003,5234.300000000003,5234.300000000003,5229.980000000003,5234.300000000003,1,5234.300000000003,0,0,,Click Response,RightOption,3,object-86,1i-2,_,30,1i-2_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,19,26
