Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712309401961,05/04/2024 09:30:01,1712313001961,1,05/04/2024 11:30:01,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309419076,05/04/2024 09:30:19,1712313019076,1,05/04/2024 11:30:19,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions1,l6tegj,1,continue,,16565.9,16552.600000000002,16565.9,16565.9,16552.600000000002,16565.9,1,16565.9,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712309449425,05/04/2024 09:30:49,1712313049425,1,05/04/2024 11:30:49,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions2,m22b5k,2,continue,,30363.8,30349.3,30363.8,30363.8,30349.3,30363.8,1,30363.8,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712309452376,05/04/2024 09:30:52,1712313052376,1,05/04/2024 11:30:52,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions4,ipt5mm,3,continue,,2964.7999999999956,2949.0999999999985,2964.7999999999956,2964.7999999999956,2949.0999999999985,2964.7999999999956,1,2964.7999999999956,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712309454492,05/04/2024 09:30:54,1712313054492,1,05/04/2024 11:30:54,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions5,9ur7d5,4,continue,,2132.499999994041,2117.800000000003,2132.499999994041,2132.499999994041,2117.800000000003,2132.499999994041,1,2132.499999994041,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712309461293,05/04/2024 09:31:01,1712313061293,1,05/04/2024 11:31:01,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Prolific ID,v46841,5,response,613a3271e44c36b0228ea713,6015.799999999996,6800.0999999999985,6815.899999982117,6015.799999999996,6800.0999999999985,6815.899999982117,1,6015.799999999996,800.0999999821215,0,,Single Text Entry,Single Text Entry,2,object-288,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712309467443,05/04/2024 09:31:07,1712313067443,1,05/04/2024 11:31:07,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,continue,,6162.799999982119,6150.300000000003,6162.799999982119,6162.799999982119,6150.300000000003,6162.799999982119,1,6162.799999982119,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1712309467443,05/04/2024 09:31:07,1712313067443,1,05/04/2024 11:31:07,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,27,3033.4000000000015,6150.300000000003,6167,3033.4000000000015,6150.300000000003,6167,1,3033.4000000000015,3133.5999999999985,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1712309467444,05/04/2024 09:31:07,1712313067444,1,05/04/2024 11:31:07,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Female,4466.800000000003,6150.300000000003,6167,4466.800000000003,6150.300000000003,6167,1,4466.800000000003,1700.199999999997,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1712309467444,05/04/2024 09:31:07,1712313067444,1,05/04/2024 11:31:07,139619,19,task-hvde,,36765368,BLIND,10840123,,complete,,660fc47a0dc9b4c32e4ba584,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 123.0.0.0,1440x900,1440x679,,,0,Dain-Melk-Hoat A Training,5,fail,,1e-1i,,,,,Dain-Melk-Hoat Training,Dain-Melk-Hoat Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,6083.600000000006,6150.300000000003,6167,6083.600000000006,6150.300000000003,6167,1,6083.600000000006,83.39999999999418,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
