Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712309639712,05/04/2024 09:33:59,1712313239712,1,05/04/2024 11:33:59,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309641846,05/04/2024 09:34:01,1712313241846,1,05/04/2024 11:34:01,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions1,l6tegj,1,continue,,1916.6000000000004,1900,1916.6000000000004,1916.6000000000004,1900,1916.6000000000004,1,1916.6000000000004,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712309644555,05/04/2024 09:34:04,1712313244555,1,05/04/2024 11:34:04,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions2,m22b5k,2,continue,,2728.8000000238417,2717.2,2728.8000000238417,2728.8000000238417,2717.2,2728.8000000238417,1,2728.8000000238417,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712309646791,05/04/2024 09:34:06,1712313246791,1,05/04/2024 11:34:06,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions4,ipt5mm,3,continue,,2247.699999988079,2233,2247.699999988079,2247.699999988079,2233,2247.699999988079,1,2247.699999988079,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712309751972,05/04/2024 09:35:51,1712313351972,1,05/04/2024 11:35:51,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions5,9ur7d5,4,continue,,105196.19999998808,105185.4,105196.19999998808,105196.19999998808,105185.4,105196.19999998808,1,105196.19999998808,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712309756936,05/04/2024 09:35:56,1712313356936,1,05/04/2024 11:35:56,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Prolific ID,vypmqm,5,response,630660f8ad567b9e06dbf456,2150.7000000000116,4966.900000000009,4974.999999976164,2150.7000000000116,4966.900000000009,4974.999999976164,1,2150.7000000000116,2824.2999999761523,0,,Single Text Entry,Single Text Entry,2,object-283,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712309767392,05/04/2024 09:36:07,1712313367392,1,05/04/2024 11:36:07,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,continue,,10455.199999999997,10450.099999999991,10455.199999999997,10455.199999999997,10450.099999999991,10455.199999999997,1,10455.199999999997,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1712309767394,05/04/2024 09:36:07,1712313367394,1,05/04/2024 11:36:07,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,20,6416.800000000003,10450.099999999991,10465.699999999997,6416.800000000003,10450.099999999991,10465.699999999997,1,6416.800000000003,4048.899999999994,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1712309767395,05/04/2024 09:36:07,1712313367395,1,05/04/2024 11:36:07,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Female,7933.599999999991,10450.099999999991,10466.599999976155,7933.599999999991,10450.099999999991,10466.599999976155,1,7933.599999999991,2532.999999976164,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1712309767395,05/04/2024 09:36:07,1712313367395,1,05/04/2024 11:36:07,139619,19,task-xxab,,36765477,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,Melk-Hoat-Dain A Training,6,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,9850.399999999994,10450.099999999991,10466.799999999988,9850.399999999994,10450.099999999991,10466.799999999988,1,9850.399999999994,616.3999999999942,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
