Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712310126319,05/04/2024 09:42:06,1712313726319,1,05/04/2024 11:42:06,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310132460,05/04/2024 09:42:12,1712313732460,1,05/04/2024 11:42:12,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6152.1,6135.700000000001,6152.1,6152.1,6135.700000000001,6152.1,0,6152.1,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310132460,05/04/2024 09:42:12,1712313732460,1,05/04/2024 11:42:12,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4985.200000000001,6135.700000000001,6152.4000000000015,4985.200000000001,6135.700000000001,6152.4000000000015,1,4985.200000000001,1167.2000000000007,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310143984,05/04/2024 09:42:23,1712313743984,1,05/04/2024 11:42:23,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,11540.999999904632,11537.699999999999,11540.999999904632,11540.999999904632,11537.699999999999,11540.999999904632,0,11540.999999904632,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310143987,05/04/2024 09:42:23,1712313743987,1,05/04/2024 11:42:23,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,10770.9,11537.699999999999,11543.999999904632,10770.9,11537.699999999999,11543.999999904632,1,10770.9,773.0999999046326,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310153195,05/04/2024 09:42:33,1712313753195,1,05/04/2024 11:42:33,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Fich Question,old87p,3,response,me,4702.100000000002,9203.8,9214.7,4702.100000000002,9203.8,9214.7,1,4702.100000000002,4512.5999999999985,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712310157173,05/04/2024 09:42:37,1712313757173,1,05/04/2024 11:42:37,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,us,2684.300000000003,3968.2000000000007,3985.0999999999985,2684.300000000003,3968.2000000000007,3985.0999999999985,1,2684.300000000003,1300.7999999999956,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712310159493,05/04/2024 09:42:39,1712313759493,1,05/04/2024 11:42:39,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,you,433.40000000000146,2334.2000000000007,2337.2999999046333,433.40000000000146,2334.2000000000007,2337.2999999046333,1,433.40000000000146,1903.8999999046318,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712310162997,05/04/2024 09:42:42,1712313762997,1,05/04/2024 11:42:42,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,them,2117.5,3501.300000000003,3506.699999809265,2117.5,3501.300000000003,3506.699999809265,1,2117.5,1389.1999998092651,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712310165577,05/04/2024 09:42:45,1712313765577,1,05/04/2024 11:42:45,139619,19,task-5dme,,36765698,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,,2-3,,,,Pass,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2585.499999713895,2584,2585.499999713895,2585.499999713895,2584,2585.499999713895,1,2585.499999713895,0,0,,Click To Continue,Continue Button,2,object-4,End,
