Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712310556364,05/04/2024 09:49:16,1712314156364,1,05/04/2024 11:49:16,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712310560168,05/04/2024 09:49:20,1712314160168,1,05/04/2024 11:49:20,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,3821.7,3816.5,3821.7,3821.7,3816.5,3821.7,0,3821.7,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712310560169,05/04/2024 09:49:20,1712314160169,1,05/04/2024 11:49:20,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3283.2,3816.5,3824.099999976158,3283.2,3816.5,3824.099999976158,1,3283.2,540.8999999761581,0,,Dropdown,Dropdown,4,object-10,End,
4,1712310566062,05/04/2024 09:49:26,1712314166062,1,05/04/2024 11:49:26,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,5899.499999999999,5883.2,5899.499999999999,5899.499999999999,5883.2,5899.499999999999,0,5899.499999999999,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712310566062,05/04/2024 09:49:26,1712314166062,1,05/04/2024 11:49:26,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,5283.599999999999,5883.2,5899.499999999999,5283.599999999999,5883.2,5899.499999999999,1,5283.599999999999,615.8999999999996,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712310573889,05/04/2024 09:49:33,1712314173889,1,05/04/2024 11:49:33,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,NO CLUE,4817,7833.5999999999985,7844.800000011921,4817,7833.5999999999985,7844.800000011921,1,4817,3027.800000011921,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712310577198,05/04/2024 09:49:37,1712314177198,1,05/04/2024 11:49:37,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,ron,1766.6000000000022,3300.100000000002,3316.800000000003,1766.6000000000022,3300.100000000002,3316.800000000003,1,1766.6000000000022,1550.2000000000007,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712310582135,05/04/2024 09:49:42,1712314182135,1,05/04/2024 11:49:42,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,weasley,1449.8999999999978,4950.299999999999,4957.299999999999,1449.8999999999978,4950.299999999999,4957.299999999999,1,1449.8999999999978,3507.4000000000015,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712310585398,05/04/2024 09:49:45,1712314185398,1,05/04/2024 11:49:45,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,idk,2149.7000000000007,3250.0999999999985,3266.5999999999985,2149.7000000000007,3250.0999999999985,3266.5999999999985,1,2149.7000000000007,1116.8999999999978,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712310586641,05/04/2024 09:49:46,1712314186641,1,05/04/2024 11:49:46,139619,19,task-aqqk,,36765871,BLIND,10840145,,complete,,660fc5782f0044080140f37f,computer,Desktop or Laptop,Windows 10,Edge 123.0.0.0,1280x720,1272x598,,,0,End Screen,10,,,1e-3,Pass,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1262.2999999761596,1250.1000000000022,1262.2999999761596,1262.2999999761596,1250.1000000000022,1262.2999999761596,1,1262.2999999761596,0,0,,Click To Continue,Continue Button,2,object-4,End,
