Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712310715248,05/04/2024 09:51:55,1712314315248,1,05/04/2024 11:51:55,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712310721401,05/04/2024 09:52:01,1712314321401,1,05/04/2024 11:52:01,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,5028.400000000001,5011.76,5028.400000000001,5028.400000000001,5011.76,5028.400000000001,1,5028.400000000001,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1712310721403,05/04/2024 09:52:01,1712314321403,1,05/04/2024 11:52:01,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,3912.8399999999997,5011.76,5028.400000000001,3912.8399999999997,5011.76,5028.400000000001,1,3912.8399999999997,1115.5600000000009,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1712310726966,05/04/2024 09:52:06,1712314326966,1,05/04/2024 11:52:06,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,5585.42,5577.879999999999,5585.42,5585.42,5577.879999999999,5585.42,1,5585.42,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1712310726969,05/04/2024 09:52:06,1712314326969,1,05/04/2024 11:52:06,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,3579.84,5577.879999999999,5589.42,3579.84,5577.879999999999,5589.42,1,3579.84,2009.58,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1712310728994,05/04/2024 09:52:08,1712314328994,1,05/04/2024 11:52:08,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions01,7r1ak5,3,continue,,2036.5400000000009,2031.3600000000006,2036.5400000000009,2036.5400000000009,2031.3600000000006,2036.5400000000009,1,2036.5400000000009,0,0,,Click To Continue,Continue Button,3,object-300,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1712310747734,05/04/2024 09:52:27,1712314347734,1,05/04/2024 11:52:27,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,18744.18,18731.699999999997,18744.18,18744.18,18731.699999999997,18744.18,1,18744.18,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1712310749281,05/04/2024 09:52:29,1712314349281,1,05/04/2024 11:52:29,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,1560.4800000000032,1548.4800000000032,1560.4800000000032,1560.4800000000032,1548.4800000000032,1560.4800000000032,1,1560.4800000000032,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1712310767009,05/04/2024 09:52:47,1712314367009,1,05/04/2024 11:52:47,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingA,34efq7,1,response,WOUX WIM,7442.699999999997,17732.68,17740,7442.699999999997,17732.68,17740,1,7442.699999999997,10297.300000000003,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,03,1e-1i_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,WOUX,WIM,13_QUIBBLER_WOUX_WIM.png,,WOUX WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WAN,WOUX WIM,WOUX WIM,FICH WAN,27_BESTSELLER_FICH_WAN.png,FICH WAN,,,,,
10,1712310778060,05/04/2024 09:52:58,1712314378060,1,05/04/2024 11:52:58,139619,19,task-crro,,36765929,BLIND,10840166,,complete,,660fc63a3fd3c937631f8237,computer,Desktop or Laptop,Windows 10,Firefox 123.0,1366x768,1366x635,,,0,1e-1i A Training,10,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingB,2yfdu9,2,response,,11058.32,11055.900000000001,11058.32,11058.32,11055.900000000001,11058.32,1,11058.32,0,0,,Click Response,Option B,5,object-246,1e-1i,_,03,1e-1i_03,1,Training02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,WOUX,WIM,13_QUIBBLER_WOUX_WIM.png,,WOUX WIM,27_BESTSELLER_ASK.png,27_BESTSELLER_DOTS.png,FICH WAN,WOUX WIM,WOUX WIM,FICH WAN,27_BESTSELLER_FICH_WAN.png,FICH WAN,,,,,
