Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712309467762,05/04/2024 09:31:07,1712313067762,1,05/04/2024 11:31:07,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309477657,05/04/2024 09:31:17,1712313077657,1,05/04/2024 11:31:17,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,9764.600000000024,9758.300000000001,9764.600000000024,9764.600000000024,9758.300000000001,9764.600000000024,1,9764.600000000024,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1712309477658,05/04/2024 09:31:17,1712313077658,1,05/04/2024 11:31:17,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,9041.5,9758.300000000001,9766.000000000047,9041.5,9758.300000000001,9766.000000000047,1,9041.5,724.5000000000473,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1712309483737,05/04/2024 09:31:23,1712313083737,1,05/04/2024 11:31:23,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,6086.800000000023,6083.300000000001,6086.800000000023,6086.800000000023,6083.300000000001,6086.800000000023,1,6086.800000000023,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1712309483741,05/04/2024 09:31:23,1712313083741,1,05/04/2024 11:31:23,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,5433.299999999999,6083.300000000001,6090.4,5433.299999999999,6083.300000000001,6090.4,1,5433.299999999999,657.1000000000004,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1712309486970,05/04/2024 09:31:26,1712313086970,1,05/04/2024 11:31:26,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Screen 22,3y4guk,3,continue,,3236.5999999999985,3233.199999999997,3236.5999999999985,3236.5999999999985,3233.199999999997,3236.5999999999985,1,3236.5999999999985,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1712309501008,05/04/2024 09:31:41,1712313101008,1,05/04/2024 11:31:41,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,14041.300000000025,14033.099999999999,14041.300000000025,14041.300000000025,14033.099999999999,14041.300000000025,1,14041.300000000025,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1712309503298,05/04/2024 09:31:43,1712313103298,1,05/04/2024 11:31:43,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,2298.0000000000728,2291.7000000000044,2298.0000000000728,2298.0000000000728,2291.7000000000044,2298.0000000000728,1,2298.0000000000728,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1712309525034,05/04/2024 09:32:05,1712313125034,1,05/04/2024 11:32:05,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingA,34efq7,1,response,WOUX WAN,8491.400000000001,21741,21742.500000000022,8491.400000000001,21741,21742.500000000022,1,8491.400000000001,13251.10000000002,0,,Single Text Entry,TextResponseA,4,object-97,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
10,1712309531925,05/04/2024 09:32:11,1712313131925,1,05/04/2024 11:32:11,139619,19,task-eihb,,36765465,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,1i-3 A Training,4,,,1i-3,,,Pass,,1i-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,6892.800000000068,6891.5,6892.800000000068,6892.800000000068,6891.5,6892.800000000068,1,6892.800000000068,0,0,,Click Response,Option A,4,object-245,1i-3,_,04,1i-3_04,1,Training02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,WOUX,WAN,35_PROPHET_WOUX_WAN.png,,WOUX WAN,40_BURYSNAPE_ASK.png,40_BURYSNAPE_DOTS.png,WOUX WAN,RUSP WIM,WOUX WAN,RUSP WIM,40_BURYSNAPE_RUSP_WIM.png,,RUSP WIM,,,,
