Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1712309690957,05/04/2024 09:34:50,1712313290957,1,05/04/2024 11:34:50,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309695060,05/04/2024 09:34:55,1712313295060,1,05/04/2024 11:34:55,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,3986.2000000953676,3984.9000000000005,3986.2000000953676,3986.2000000953676,3984.9000000000005,3986.2000000953676,1,3986.2000000953676,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1712309695061,05/04/2024 09:34:55,1712313295061,1,05/04/2024 11:34:55,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,3251.3,3984.9000000000005,3987.3,3251.3,3984.9000000000005,3987.3,1,3251.3,736,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1712309703861,05/04/2024 09:35:03,1712313303861,1,05/04/2024 11:35:03,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,8802.499999904632,8787,8802.499999904632,8802.499999904632,8787,8802.499999904632,1,8802.499999904632,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1712309703865,05/04/2024 09:35:03,1712313303865,1,05/04/2024 11:35:03,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,8353.4,8787,8803.800000000001,8353.4,8787,8803.800000000001,1,8353.4,450.40000000000146,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1712309707200,05/04/2024 09:35:07,1712313307200,1,05/04/2024 11:35:07,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 01,px73cm,3,continue,,3354.600000286102,3350.999999999998,3354.600000286102,3354.600000286102,3350.999999999998,3354.600000286102,1,3354.600000286102,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1712309717350,05/04/2024 09:35:17,1712313317350,1,05/04/2024 11:35:17,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,10153.499999904634,10137.2,10153.499999904634,10153.499999904634,10137.2,10153.499999904634,1,10153.499999904634,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1712309719636,05/04/2024 09:35:19,1712313319636,1,05/04/2024 11:35:19,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,2302.400000286103,2300.7999999999993,2302.400000286103,2302.400000286103,2300.7999999999993,2302.400000286103,1,2302.400000286103,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1712309734819,05/04/2024 09:35:34,1712313334819,1,05/04/2024 11:35:34,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Training02,TrainingA,34efq7,1,response,RUSP WUNG,5469.200000000004,15172.800000000003,15184.300000095369,5469.200000000004,15172.800000000003,15184.300000095369,1,5469.200000000004,9715.100000095365,0,,Single Text Entry,TextResponseA,4,object-97,2-3,_,01,2-3_01,1,Training02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,RUSP,WUNG,04_WHEEZES_RUSP_WUNG.png,,RUSP WUNG,05_AUROR_ASK.png,05_AUROR_DOTS.png,RUSP WUNG,ZETH WIM,RUSP WUNG,ZETH WIM,05_AUROR_ZETH_WIM.png,,ZETH WIM,,,,
10,1712309739224,05/04/2024 09:35:39,1712313339224,1,05/04/2024 11:35:39,139619,19,task-hs8a,,36765510,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 A Training,4,,,2-3,,,,Pass,2-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,4415.300000286101,4401.699999999997,4415.300000286101,4415.300000286101,4401.699999999997,4415.300000286101,1,4415.300000286101,0,0,,Click Response,Option B,5,object-246,2-3,_,01,2-3_01,1,Training02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,RUSP,WUNG,04_WHEEZES_RUSP_WUNG.png,,RUSP WUNG,05_AUROR_ASK.png,05_AUROR_DOTS.png,RUSP WUNG,ZETH WIM,RUSP WUNG,ZETH WIM,05_AUROR_ZETH_WIM.png,,ZETH WIM,,,,
