Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712310007276,05/04/2024 09:40:07,1712313607276,1,05/04/2024 11:40:07,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712310012202,05/04/2024 09:40:12,1712313612202,1,05/04/2024 11:40:12,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,4941.500000190735,4935.099999999999,4941.500000190735,4941.500000190735,4935.099999999999,4941.500000190735,1,4941.500000190735,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,15,18
3,1712310016430,05/04/2024 09:40:16,1712313616430,1,05/04/2024 11:40:16,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,1,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WAN.png,4233.699999904633,4218.300000000001,4233.699999904633,4233.699999904633,4218.300000000001,4233.699999904633,1,4233.699999904633,0,0,,Click Response,RightOption,3,object-86,2-3,_,04,2-3_04,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WAN.png,35_PROPHET_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,16,19
4,1712310019611,05/04/2024 09:40:19,1712313619611,1,05/04/2024 11:40:19,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,2,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WUNG.png,3190.2000000953667,3184.7999999999993,3190.2000000953667,3190.2000000953667,3184.7999999999993,3190.2000000953667,0,3190.2000000953667,0,0,,Click Response,RightOption,3,object-86,2-3,_,03,2-3_03,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,16,20
5,1712310024606,05/04/2024 09:40:24,1712313624606,1,05/04/2024 11:40:24,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,3,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WIM.png,5006.300000190735,5001.700000000001,5006.300000190735,5006.300000190735,5001.700000000001,5006.300000190735,1,5006.300000190735,0,0,,Click Response,RightOption,3,object-86,2-3,_,02,2-3_02,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WAN,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WIM.png,40_BURYSNAPE_BLOT_WAN.png,,WIM,WAN,WAN,WIM,,17,21
6,1712310026709,05/04/2024 09:40:26,1712313626709,1,05/04/2024 11:40:26,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,4,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WUNG.png,2107.600000190734,2101,2107.600000190734,2107.600000190734,2101,2107.600000190734,1,2107.600000190734,0,0,,Click Response,LeftOption,4,object-112,2-3,_,01,2-3_01,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WUNG,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WUNG.png,04_WHEEZES_BLOT_WIM.png,,WUNG,WIM,WUNG,WIM,,18,22
7,1712310028622,05/04/2024 09:40:28,1712313628622,1,05/04/2024 11:40:28,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,5,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WAN.png,1919.2999999999993,1917.0999999999985,1919.2999999999993,1919.2999999999993,1917.0999999999985,1919.2999999999993,1,1919.2999999999993,0,0,,Click Response,RightOption,3,object-86,2-3,_,08,2-3_08,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WUNG,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,19,23
8,1712310030821,05/04/2024 09:40:30,1712313630821,1,05/04/2024 11:40:30,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,6,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WIM.png,2201.100000000002,2184.4000000000015,2201.100000000002,2201.100000000002,2184.4000000000015,2201.100000000002,1,2201.100000000002,0,0,,Click Response,RightOption,3,object-86,2-3,_,06,2-3_06,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WUNG,12_SKEETER_BLOT_WUNG.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WUNG.png,,WIM,WUNG,WUNG,WIM,,20,24
9,1712310033148,05/04/2024 09:40:33,1712313633148,1,05/04/2024 11:40:33,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,7,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WIM.png,2345.100000190734,2334.2999999999993,2345.100000190734,2345.100000190734,2334.2999999999993,2345.100000190734,0,2345.100000190734,0,0,,Click Response,RightOption,3,object-86,2-3,_,07,2-3_07,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,20,25
10,1712310035503,05/04/2024 09:40:35,1712313635503,1,05/04/2024 11:40:35,139619,19,task-ld3j,,36765649,BLIND,10840107,,complete,,660fc3fc20ebe0a881d2bc07,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,2-3 B Testing,4,,,2-3,,,,Pass,2-3 B Testing,8,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WUNG.png,2365,2350.9000000000015,2365,2365,2350.9000000000015,2365,1,2365,0,0,,Click Response,LeftOption,4,object-112,2-3,_,05,2-3_05,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WUNG,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,,WUNG,WAN,WUNG,WAN,,21,26
