Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712311104435,05/04/2024 09:58:24,1712314704435,1,05/04/2024 11:58:24,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712311110406,05/04/2024 09:58:30,1712314710406,1,05/04/2024 11:58:30,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,5980.1,5964.6,5980.1,5980.1,5964.6,5980.1,0,5980.1,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712311110408,05/04/2024 09:58:30,1712314710408,1,05/04/2024 11:58:30,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4365.1,5964.6,5981.200000000001,4365.1,5964.6,5981.200000000001,1,4365.1,1616.1000000000004,0,,Dropdown,Dropdown,4,object-10,End,
4,1712311121876,05/04/2024 09:58:41,1712314721876,1,05/04/2024 11:58:41,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,11485.799999952316,11479.2,11485.799999952316,11485.799999952316,11479.2,11485.799999952316,0,11485.799999952316,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712311121877,05/04/2024 09:58:41,1712314721877,1,05/04/2024 11:58:41,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,6997.6,11479.2,11486.899999856949,6997.6,11479.2,11486.899999856949,1,6997.6,4489.2999998569485,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712311131970,05/04/2024 09:58:51,1712314731970,1,05/04/2024 11:58:51,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,They,6397.799999999999,10096.399999999998,10100.599999952316,6397.799999999999,10096.399999999998,10100.599999952316,1,6397.799999999999,3702.7999999523163,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712311138672,05/04/2024 09:58:58,1712314738672,1,05/04/2024 11:58:58,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,They,4715,6697.5999999999985,6706.29999985695,4715,6697.5999999999985,6706.29999985695,1,4715,1991.2999998569503,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712311141439,05/04/2024 09:59:01,1712314741439,1,05/04/2024 11:59:01,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,We,1182.9000000000015,2765.800000000003,2775.599999952319,1182.9000000000015,2765.800000000003,2775.599999952319,1,1182.9000000000015,1592.6999999523177,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712311148792,05/04/2024 09:59:08,1712314748792,1,05/04/2024 11:59:08,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,You,3898.5,7347.300000000003,7363.200000047684,3898.5,7347.300000000003,7363.200000047684,1,3898.5,3464.7000000476837,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712311150718,05/04/2024 09:59:10,1712314750718,1,05/04/2024 11:59:10,139619,19,task-ln4n,,36766153,BLIND,10840156,,complete,,660fc5eac5934d9b1e9a2307,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x703,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,1941.9000000476808,1932.699999999997,1941.9000000476808,1941.9000000476808,1932.699999999997,1941.9000000476808,1,1941.9000000476808,0,0,,Click To Continue,Continue Button,2,object-4,End,
