Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1712309807772,05/04/2024 09:36:47,1712313407772,1,05/04/2024 11:36:47,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1712309811547,05/04/2024 09:36:51,1712313411547,1,05/04/2024 11:36:51,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,3779.96,3776.76,3779.96,3779.96,3776.76,3779.96,0,3779.96,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1712309811548,05/04/2024 09:36:51,1712313411548,1,05/04/2024 11:36:51,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3026.7,3776.76,3779.96,3026.7,3776.76,3779.96,1,3026.7,753.2600000000002,0,,Dropdown,Dropdown,4,object-10,End,
4,1712309815781,05/04/2024 09:36:55,1712313415781,1,05/04/2024 11:36:55,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,4236.2,4229.820000000001,4236.2,4236.2,4229.820000000001,4236.2,0,4236.2,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1712309815782,05/04/2024 09:36:55,1712313415782,1,05/04/2024 11:36:55,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,2812.7200000000003,4229.820000000001,4236.760000000001,2812.7200000000003,4229.820000000001,4236.760000000001,1,2812.7200000000003,1424.0400000000009,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1712309825572,05/04/2024 09:37:05,1712313425572,1,05/04/2024 11:37:05,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,No idea,6069.939999999999,9792.460000000001,9798.38,6069.939999999999,9792.460000000001,9798.38,1,6069.939999999999,3728.4400000000005,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1712309833742,05/04/2024 09:37:13,1712313433742,1,05/04/2024 11:37:13,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,No idea,3222.4799999999996,8175.019999999997,8175.919999999998,3222.4799999999996,8175.019999999997,8175.919999999998,1,3222.4799999999996,4953.439999999999,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1712309835546,05/04/2024 09:37:15,1712313435546,1,05/04/2024 11:37:15,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,No idea,1416.7800000000025,1798.760000000002,1804.9000000000015,1416.7800000000025,1798.760000000002,1804.9000000000015,1,1416.7800000000025,388.119999999999,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1712309836542,05/04/2024 09:37:16,1712313436542,1,05/04/2024 11:37:16,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,No idea,736.1599999999999,1000.0799999999981,1001.1399999999994,736.1599999999999,1000.0799999999981,1001.1399999999994,1,736.1599999999999,264.97999999999956,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1712309839136,05/04/2024 09:37:19,1712313439136,1,05/04/2024 11:37:19,139619,19,task-lnj2,,36765567,BLIND,10840090,,complete,,660fc322811834434617091d,computer,Desktop or Laptop,Windows 10,Firefox 124.0,1920x1080,1920x919,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2596.0600000000013,2590.4799999999996,2596.0600000000013,2596.0600000000013,2590.4799999999996,2596.0600000000013,1,2596.0600000000013,0,0,,Click To Continue,Continue Button,2,object-4,End,
