Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712309275745,05/04/2024 09:27:55,1712312875745,1,05/04/2024 11:27:55,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309280125,05/04/2024 09:28:00,1712312880125,1,05/04/2024 11:28:00,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,6202.200000017881,6187.2,6202.200000017881,6202.200000017881,6187.2,6202.200000017881,0,6202.200000017881,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712309280125,05/04/2024 09:28:00,1712312880125,1,05/04/2024 11:28:00,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,5820.6,6187.2,6202.800000011921,5820.6,6187.2,6202.800000011921,1,5820.6,382.20000001192057,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712309283281,05/04/2024 09:28:03,1712312883281,1,05/04/2024 11:28:03,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,3171.3999999940397,3165.5999999999995,3171.3999999940397,3171.3999999940397,3165.5999999999995,3171.3999999940397,0,3171.3999999940397,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712309283282,05/04/2024 09:28:03,1712312883282,1,05/04/2024 11:28:03,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,2765.7,3165.5999999999995,3171.7000000059606,2765.7,3165.5999999999995,3171.7000000059606,1,2765.7,406.0000000059608,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712309289049,05/04/2024 09:28:09,1712312889049,1,05/04/2024 11:28:09,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,5773.29999999404,5764.6,5773.29999999404,5773.29999999404,5764.6,5773.29999999404,1,5773.29999999404,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712309293787,05/04/2024 09:28:13,1712312893787,1,05/04/2024 11:28:13,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_DAIN.png,4744.500000005961,4731.699999999999,4744.500000005961,4744.500000005961,4731.699999999999,4744.500000005961,0,4744.500000005961,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_MELK.png,MELK,,,,,,MELK,04_HUFFLEPUFF_MELK.png,DAIN,04_HUFFLEPUFF_DAIN.png,DAIN,04_HUFFLEPUFF_DAIN.png,,0,1
8,1712309296645,05/04/2024 09:28:16,1712312896645,1,05/04/2024 11:28:16,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,2,Testing01,Testing,hvzr65,1,response,14_TOPMARK_HOAT.png,2872.800000005962,2865.800000000003,2872.800000005962,2872.800000005962,2865.800000000003,2872.800000005962,1,2872.800000005962,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_HOAT.png,HOAT,,,,,,HOAT,14_TOPMARK_HOAT.png,MELK,14_TOPMARK_MELK.png,MELK,14_TOPMARK_MELK.png,,1,2
9,1712309299225,05/04/2024 09:28:19,1712312899225,1,05/04/2024 11:28:19,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,3,Testing01,Testing,hvzr65,1,response,18_CEILING_DAIN.png,2587.000000005959,2582.399999999998,2587.000000005959,2587.000000005959,2582.399999999998,2587.000000005959,1,2587.000000005959,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_DAIN.png,DAIN,,,,,,DAIN,18_CEILING_DAIN.png,HOAT,18_CEILING_HOAT.png,HOAT,18_CEILING_HOAT.png,,2,3
10,1712309301745,05/04/2024 09:28:21,1712312901745,1,05/04/2024 11:28:21,139619,19,task-o8nf,,36765299,BLIND,10840093,,complete,,660fc335946e8466dda6f895,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1280x720,1280x585,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,4,Testing01,Testing,hvzr65,1,response,01_LOCKET_MELK.png,2524.7000000000007,2515.9000000000015,2524.7000000000007,2524.7000000000007,2515.9000000000015,2524.7000000000007,1,2524.7000000000007,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,19,HDM_19,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,01_LOCKET_MELK.png,MELK,,,,,,HOAT,01_LOCKET_HOAT.png,MELK,01_LOCKET_MELK.png,HOAT,01_LOCKET_HOAT.png,,3,4
