Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1712309337238,05/04/2024 09:28:57,1712312937238,1,05/04/2024 11:28:57,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1712309346243,05/04/2024 09:29:06,1712312946243,1,05/04/2024 11:29:06,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,9015.100000000046,9008.199999999999,9015.100000000046,9015.100000000046,9008.199999999999,9015.100000000046,0,9015.100000000046,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1712309346244,05/04/2024 09:29:06,1712312946244,1,05/04/2024 11:29:06,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,6499.900000000001,9008.199999999999,9016.399999999998,6499.900000000001,9008.199999999999,9016.399999999998,1,6499.900000000001,2516.4999999999973,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1712309352223,05/04/2024 09:29:12,1712312952223,1,05/04/2024 11:29:12,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,5987.6,5983.4,5987.6,5987.6,5983.4,5987.6,0,5987.6,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1712309352225,05/04/2024 09:29:12,1712312952225,1,05/04/2024 11:29:12,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,4200,5983.4,5989.900000000047,4200,5983.4,5989.900000000047,1,4200,1789.900000000047,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1712309362184,05/04/2024 09:29:22,1712312962184,1,05/04/2024 11:29:22,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,9964.600000000024,9958.100000000002,9964.600000000024,9964.600000000024,9958.100000000002,9964.600000000024,1,9964.600000000024,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1712309369503,05/04/2024 09:29:29,1712312969503,1,05/04/2024 11:29:29,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,1,Testing01,Testing,hvzr65,1,response,18_CEILING_MELK.png,7323.0999999999985,7316.4000000000015,7323.0999999999985,7323.0999999999985,7316.4000000000015,7323.0999999999985,1,7323.0999999999985,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_MELK.png,MELK,,,,,,MELK,18_CEILING_MELK.png,DAIN,18_CEILING_DAIN.png,DAIN,18_CEILING_DAIN.png,,1,1
8,1712309379940,05/04/2024 09:29:39,1712312979940,1,05/04/2024 11:29:39,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,2,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_HOAT.png,10445.900000000067,10441.899999999994,10445.900000000067,10445.900000000067,10441.899999999994,10445.900000000067,1,10445.900000000067,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_HOAT.png,HOAT,,,,,,HOAT,04_HUFFLEPUFF_HOAT.png,MELK,04_HUFFLEPUFF_MELK.png,MELK,04_HUFFLEPUFF_MELK.png,,2,2
9,1712309384534,05/04/2024 09:29:44,1712312984534,1,05/04/2024 11:29:44,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,3,Testing01,Testing,hvzr65,1,response,14_TOPMARK_HOAT.png,4593.300000000003,4591.4000000000015,4593.300000000003,4593.300000000003,4591.4000000000015,4593.300000000003,0,4593.300000000003,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_DAIN.png,DAIN,,,,,,DAIN,14_TOPMARK_DAIN.png,HOAT,14_TOPMARK_HOAT.png,HOAT,14_TOPMARK_HOAT.png,,2,3
10,1712309390084,05/04/2024 09:29:50,1712312990084,1,05/04/2024 11:29:50,139619,19,task-pvfu,,36765404,BLIND,10840097,,complete,,660fc256946e8466dda6f843,computer,Desktop or Laptop,Windows 10,Chrome 123.0.0.0,1536x864,1536x730,,,0,Hoat-Dain-Melk B Testing,8,,,1i-3,,,Pass,,Hoat_Dain_Melk Testing,4,Testing01,Testing,hvzr65,1,response,12_TOAD_MELK.png,5556.300000000025,5550,5556.300000000025,5556.300000000025,5550,5556.300000000025,1,5556.300000000025,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,22,HDM_22,12_TOAD,,ASK,.png,12_TOAD_ASK.png,12_TOAD_MELK.png,MELK,,,,,,HOAT,12_TOAD_HOAT.png,MELK,12_TOAD_MELK.png,HOAT,12_TOAD_HOAT.png,,3,4
