Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702980972352,19/12/2023 10:16:12,1702980972352,0,19/12/2023 10:16:12,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702980979836,19/12/2023 10:16:19,1702980979836,0,19/12/2023 10:16:19,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7504.200000047684,7496.799999999999,7504.200000047684,7504.200000047684,7496.799999999999,7504.200000047684,0,7504.200000047684,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702980979837,19/12/2023 10:16:19,1702980979837,0,19/12/2023 10:16:19,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6147.3,7496.799999999999,7506.5,6147.3,7496.799999999999,7506.5,1,6147.3,1359.1999999999998,0,,Dropdown,Dropdown,4,object-10,End,
4,1702981009895,19/12/2023 10:16:49,1702981009895,0,19/12/2023 10:16:49,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,30067.00000001192,30053.8,30067.00000001192,30067.00000001192,30053.8,30067.00000001192,0,30067.00000001192,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702981009902,19/12/2023 10:16:49,1702981009902,0,19/12/2023 10:16:49,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,28438.000000000004,30053.8,30070.2,28438.000000000004,30053.8,30070.2,1,28438.000000000004,1632.199999999997,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702981014138,19/12/2023 10:16:54,1702981014138,0,19/12/2023 10:16:54,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,1,End,Screen 1,otfijt,3,continue,,4257.300000035764,4248.4000000000015,4257.300000035764,4257.300000035764,4248.4000000000015,4257.300000035764,1,4257.300000035764,0,0,,Click To Continue,Continue Button,2,object-4,End,
7,1702981014140,19/12/2023 10:16:54,1702981014140,0,19/12/2023 10:16:54,157165,2,task-ckcf,,33775941,BLIND,9990872,,complete,,65816be7bed27d9ea360fda2,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1821x854,,,0,Quick End Screen,2,,,1i-2,,fail,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1702981073409,19/12/2023 10:17:53,1702981073409,0,19/12/2023 10:17:53,157165,2,task-ckcf,,33775992,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702981077478,19/12/2023 10:17:57,1702981077478,0,19/12/2023 10:17:57,157165,2,task-ckcf,,33775992,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,4080.1000000059603,4069.0999999999995,4080.1000000059603,4080.1000000059603,4069.0999999999995,4080.1000000059603,0,4080.1000000059603,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702981077478,19/12/2023 10:17:57,1702981077478,0,19/12/2023 10:17:57,157165,2,task-ckcf,,33775992,BLIND,9990875,,complete,,65816c0ae8cb123dd4c64ae3,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1368x912,1368x769,,,0,Quick End Screen,2,,,1i-3,,,fail,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,3285.5999999999995,4069.0999999999995,4080.6000000059603,3285.5999999999995,4069.0999999999995,4080.6000000059603,1,3285.5999999999995,795.0000000059608,0,,Dropdown,Dropdown,4,object-10,End,
