Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702981868813,19/12/2023 10:31:08,1702981868813,0,19/12/2023 10:31:08,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981872103,19/12/2023 10:31:12,1702981872103,0,19/12/2023 10:31:12,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,3047.6000000357626,3033.3,3047.6000000357626,3047.6000000357626,3033.3,3047.6000000357626,1,3047.6000000357626,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1702981872105,19/12/2023 10:31:12,1702981872105,0,19/12/2023 10:31:12,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,2466.7,3033.3,3050.000000000001,2466.7,3033.3,3050.000000000001,1,2466.7,583.3000000000011,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1702981878371,19/12/2023 10:31:18,1702981878371,0,19/12/2023 10:31:18,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,6283,6266.4,6283,6283,6266.4,6283,1,6283,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1702981878372,19/12/2023 10:31:18,1702981878372,0,19/12/2023 10:31:18,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,5616.5,6266.4,6283,5616.5,6266.4,6283,1,5616.5,666.5,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1702981883387,19/12/2023 10:31:23,1702981883387,0,19/12/2023 10:31:23,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions01,7r1ak5,3,continue,,5033,5016.5,5033,5033,5016.5,5033,1,5033,0,0,,Click To Continue,Continue Button,3,object-300,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1702981889019,19/12/2023 10:31:29,1702981889019,0,19/12/2023 10:31:29,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,5648.900000035763,5633.0999999999985,5648.900000035763,5648.900000035763,5633.0999999999985,5648.900000035763,1,5648.900000035763,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1702981889811,19/12/2023 10:31:29,1702981889811,0,19/12/2023 10:31:29,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,807.2000000119224,800,807.2000000119224,807.2000000119224,800,807.2000000119224,1,807.2000000119224,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1702981897849,19/12/2023 10:31:37,1702981897849,0,19/12/2023 10:31:37,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingA,34efq7,1,response,RUSP WAN,4549.800000000003,8033,8045.500000023843,4549.800000000003,8033,8045.500000023843,1,4549.800000000003,3495.7000000238404,0,,Single Text Entry,TextResponseA,4,object-97,1e-1i,_,02,1e-1i_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,RUSP,WAN,40_BURYSNAPE_RUSP_WAN.png,,RUSP WAN,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,ZETH WUNG,RUSP WAN,RUSP WAN,ZETH WUNG,20_PULLSWORD_ZETH_WUNG.png,ZETH WUNG, ,,,,
10,1702981905901,19/12/2023 10:31:45,1702981905901,0,19/12/2023 10:31:45,157165,2,task-crro,,33776288,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i A Training,8,Pass,,1e-1i,,,,,1e-1i A Training,1,Training02,TrainingB,2yfdu9,2,response,,8064.000000023843,8049.700000000004,8064.000000023843,8064.000000023843,8049.700000000004,8064.000000023843,1,8064.000000023843,0,0,,Click Response,Option A,4,object-245,1e-1i,_,02,1e-1i_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,RUSP,WAN,40_BURYSNAPE_RUSP_WAN.png,,RUSP WAN,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,ZETH WUNG,RUSP WAN,RUSP WAN,ZETH WUNG,20_PULLSWORD_ZETH_WUNG.png,ZETH WUNG, ,,,,
