Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702983335557,19/12/2023 10:55:35,1702983335557,0,19/12/2023 10:55:35,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702983337717,19/12/2023 10:55:37,1702983337717,0,19/12/2023 10:55:37,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,2761,2756.2,2761,2761,2756.2,2761,1,2761,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,18,18
3,1702983345295,19/12/2023 10:55:45,1702983345295,0,19/12/2023 10:55:45,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,1,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,7580.3,7577.2,7580.3,7580.3,7577.2,7580.3,1,7580.3,0,0,,Click Response,RightOption,3,object-86,1i-2,_,28,1i-2_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,19,19
4,1702983351569,19/12/2023 10:55:51,1702983351569,0,19/12/2023 10:55:51,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,2,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WIM.png,6277.199999999999,6270.199999999999,6277.199999999999,6277.199999999999,6270.199999999999,6277.199999999999,0,6277.199999999999,0,0,,Click Response,RightOption,3,object-86,1i-2,_,27,1i-2_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WAN,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,19,20
5,1702983353587,19/12/2023 10:55:53,1702983353587,0,19/12/2023 10:55:53,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,3,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WIM.png,2025.4000000000015,2023.2000000000007,2025.4000000000015,2025.4000000000015,2023.2000000000007,2025.4000000000015,1,2025.4000000000015,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,25,1i-2_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WIM,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,,WIM,WAN,WIM,WAN,,20,21
6,1702983356529,19/12/2023 10:55:56,1702983356529,0,19/12/2023 10:55:56,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,4,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WUNG.png,2945.5000000715263,2940.2000000000007,2945.5000000715263,2945.5000000715263,2940.2000000000007,2945.5000000715263,0,2945.5000000715263,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,26,1i-2_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,20,22
7,1702983360199,19/12/2023 10:56:00,1702983360199,0,19/12/2023 10:56:00,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,5,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WAN.png,3673.8000000715256,3670.5,3673.8000000715256,3673.8000000715256,3670.5,3673.8000000715256,1,3673.8000000715256,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,31,1i-2_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WAN,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WAN.png,34_FANLETTERS_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,21,23
8,1702983361838,19/12/2023 10:56:01,1702983361838,0,19/12/2023 10:56:01,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,6,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WUNG.png,1643.1000000238419,1640.5999999999985,1643.1000000238419,1643.1000000238419,1640.5999999999985,1643.1000000238419,1,1643.1000000238419,0,0,,Click Response,RightOption,3,object-86,1i-2,_,32,1i-2_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,22,24
9,1702983366514,19/12/2023 10:56:06,1702983366514,0,19/12/2023 10:56:06,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,7,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WIM.png,4679.000000023843,4678.200000000001,4679.000000023843,4679.000000023843,4678.200000000001,4679.000000023843,0,4679.000000023843,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,30,1i-2_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,22,25
10,1702983370277,19/12/2023 10:56:10,1702983370277,0,19/12/2023 10:56:10,157165,2,task-hebw,,33776920,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,1i-2 B Testing,4,,,1i-2,,Pass,,,1i-2 B Testing,8,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WIM.png,3764.3000000238426,3760.899999999998,3764.3000000238426,3764.3000000238426,3760.899999999998,3764.3000000238426,1,3764.3000000238426,0,0,,Click Response,LeftOption,4,object-112,1i-2,_,29,1i-2_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WIM,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WIM.png,18_LIVEGODRIC_BLOT_WUNG.png,,WIM,WUNG,WIM,WUNG,,23,26
