Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Aux,Spreadsheet: Answer,Spreadsheet: ,Spreadsheet: Text,Spreadsheet: Alternative,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702981836473,19/12/2023 10:30:36,1702981836473,0,19/12/2023 10:30:36,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981841964,19/12/2023 10:30:41,1702981841964,0,19/12/2023 10:30:41,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,continue,,4941.700000001118,4933.1,4941.700000001118,4941.700000001118,4933.1,4941.700000001118,1,4941.700000001118,0,0,,Click To Continue,Continue Button,4,object-285,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
3,1702981841965,19/12/2023 10:30:41,1702981841965,0,19/12/2023 10:30:41,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 5,4xnmv6,1,response,Accio!,3233.5,4933.1,4943.5,3233.5,4933.1,4943.5,1,3233.5,1710,0,,Dropdown,Dropdown5,3,object-284,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
4,1702981852984,19/12/2023 10:30:52,1702981852984,0,19/12/2023 10:30:52,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 6,wf497f,2,continue,,11029.9,11016.6,11029.9,11029.9,11016.6,11029.9,1,11029.9,0,0,,Click To Continue,Continue Button,4,object-292,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
5,1702981852989,19/12/2023 10:30:52,1702981852989,0,19/12/2023 10:30:52,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Attention Check 6,wf497f,2,response,The Invisibility Cloak,3983.6000000000004,11016.6,11033.200000000003,3983.6000000000004,11016.6,11033.200000000003,1,3983.6000000000004,7049.600000000002,0,,Dropdown,Dropdown6,3,object-291,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
6,1702981856918,19/12/2023 10:30:56,1702981856918,0,19/12/2023 10:30:56,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 01,px73cm,3,continue,,3947.500000001117,3933.2000000000007,3947.500000001117,3947.500000001117,3933.2000000000007,3947.500000001117,1,3947.500000001117,0,0,,Click To Continue,Continue Button,3,object-297,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
7,1702981876575,19/12/2023 10:31:16,1702981876575,0,19/12/2023 10:31:16,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 02,q3gk2e,4,continue,,19671.1,19666.299999999996,19671.1,19671.1,19666.299999999996,19671.1,1,19671.1,0,0,,Click To Continue,Continue Button,2,object-75,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
8,1702981879093,19/12/2023 10:31:19,1702981879093,0,19/12/2023 10:31:19,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Instructions,Instructions 03,gxa3vr,5,continue,,2522.800000000003,2516.4000000000015,2522.800000000003,2522.800000000003,2516.4000000000015,2522.800000000003,1,2522.800000000003,0,0,,Click To Continue,Continue Button,1,object-165,,,,,,Instructions,,,,,,,,,,,,,,,,,,,,,,
9,1702981910580,19/12/2023 10:31:50,1702981910580,0,19/12/2023 10:31:50,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Training02,TrainingA,34efq7,1,response,ZETH WIM,28849.500000000007,31482.6,31493.4,28849.500000000007,31482.6,31493.4,1,28849.500000000007,2643.899999999994,0,,Single Text Entry,TextResponseA,4,object-97,2-3,_,02,2-3_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,ZETH,WIM,40_BURYSNAPE_ZETH_WIM.png,,ZETH WIM,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,FICH WAN,ZETH WIM,ZETH WIM,FICH WAN,20_PULLSWORD_FICH_WAN.png,FICH WAN,,,,,
10,1702981914657,19/12/2023 10:31:54,1702981914657,0,19/12/2023 10:31:54,157165,2,task-hs8a,,33776273,BLIND,9990936,,complete,,65816d8fa06cc0b539ad629e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1280x720,1280x559,,,0,2-3 A Training,3,,,2-3,,,,Pass,2-3 A Training,1,Training02,TrainingB,2yfdu9,2,response,,4088.2000000003754,4083.300000000003,4088.2000000003754,4088.2000000003754,4083.300000000003,4088.2000000003754,1,4088.2000000003754,0,0,,Click Response,Option A,4,object-245,2-3,_,02,2-3_02,1,Training02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,ZETH,WIM,40_BURYSNAPE_ZETH_WIM.png,,ZETH WIM,20_PULLSWORD_ASK.png,20_PULLSWORD_DOTS.png,FICH WAN,ZETH WIM,ZETH WIM,FICH WAN,20_PULLSWORD_FICH_WAN.png,FICH WAN,,,,,
