Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702982361361,19/12/2023 10:39:21,1702982361361,0,19/12/2023 10:39:21,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702982368230,19/12/2023 10:39:28,1702982368230,0,19/12/2023 10:39:28,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6888.000000000186,6881.1,6888.000000000186,6888.000000000186,6881.1,6888.000000000186,0,6888.000000000186,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702982368230,19/12/2023 10:39:28,1702982368230,0,19/12/2023 10:39:28,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,4965,6881.1,6888.500000000186,4965,6881.1,6888.500000000186,1,4965,1923.5000000001864,0,,Dropdown,Dropdown,4,object-10,End,
4,1702982392760,19/12/2023 10:39:52,1702982392760,0,19/12/2023 10:39:52,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,24537.30000000056,24524.7,24537.30000000056,24537.30000000056,24524.7,24537.30000000056,0,24537.30000000056,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702982392763,19/12/2023 10:39:52,1702982392763,0,19/12/2023 10:39:52,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,17027.2,24524.7,24540.400000000187,17027.2,24524.7,24540.400000000187,1,17027.2,7513.200000000186,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702982408044,19/12/2023 10:40:08,1702982408044,0,19/12/2023 10:40:08,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,THEY,8047.300000000003,15294.699999999997,15296.299999999814,8047.300000000003,15294.699999999997,15296.299999999814,1,8047.300000000003,7248.999999999811,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702982413003,19/12/2023 10:40:13,1702982413003,0,19/12/2023 10:40:13,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,WE,3498.800000000003,4948.4000000000015,4960.900000000562,3498.800000000003,4948.4000000000015,4960.900000000562,1,3498.800000000003,1462.1000000005588,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702982422932,19/12/2023 10:40:22,1702982422932,0,19/12/2023 10:40:22,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,THEM,7197.5,9929.900000000001,9941.800000000374,7197.5,9929.900000000001,9941.800000000374,1,7197.5,2744.300000000374,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702982434187,19/12/2023 10:40:34,1702982434187,0,19/12/2023 10:40:34,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,I AND THEM,5864.699999999997,11262.800000000003,11266.600000000559,5864.699999999997,11262.800000000003,11266.600000000559,1,5864.699999999997,5401.900000000562,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702982437505,19/12/2023 10:40:37,1702982437505,0,19/12/2023 10:40:37,157165,2,task-ln4n,,33776461,BLIND,9990870,,complete,,65816bf3d907e265ecd7ae08,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,End Screen,10,,Pass,1e-2,,,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,3322.0999999994383,3315.5999999999913,3322.0999999994383,3322.0999999994383,3315.5999999999913,3322.0999999994383,1,3322.0999999994383,0,0,,Click To Continue,Continue Button,2,object-4,End,
