Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1702983474309,19/12/2023 10:57:54,1702983474309,0,19/12/2023 10:57:54,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702983480376,19/12/2023 10:58:00,1702983480376,0,19/12/2023 10:58:00,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,6072.700000071525,6068.7,6072.700000071525,6072.700000071525,6068.7,6072.700000071525,0,6072.700000071525,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702983480377,19/12/2023 10:58:00,1702983480377,0,19/12/2023 10:58:00,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,5074.7,6068.7,6073.100000047683,5074.7,6068.7,6073.100000047683,1,5074.7,998.4000000476835,0,,Dropdown,Dropdown,4,object-10,End,
4,1702983492433,19/12/2023 10:58:12,1702983492433,0,19/12/2023 10:58:12,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,12060.800000000003,12053.900000000001,12060.800000000003,12060.800000000003,12053.900000000001,12060.800000000003,0,12060.800000000003,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702983492434,19/12/2023 10:58:12,1702983492434,0,19/12/2023 10:58:12,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,9426.3,12053.900000000001,12060.800000000003,9426.3,12053.900000000001,12060.800000000003,1,9426.3,2634.5000000000036,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702983507124,19/12/2023 10:58:27,1702983507124,0,19/12/2023 10:58:27,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,YOU,11518.7,14695.600000000002,14697.900000023841,11518.7,14695.600000000002,14697.900000023841,1,11518.7,3179.2000000238404,0,,Single Text Entry,Fich Response,2,object-22,End,
7,1702983511637,19/12/2023 10:58:31,1702983511637,0,19/12/2023 10:58:31,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Rusp Question,bed5c4,4,response,WE,4011.0999999999985,4511.5,4515.800000023839,4011.0999999999985,4511.5,4515.800000023839,1,4011.0999999999985,504.7000000238404,0,,Single Text Entry,Rusp Response,2,object-27,End,
8,1702983514510,19/12/2023 10:58:34,1702983514510,0,19/12/2023 10:58:34,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Woux Question,sjwn2l,5,response,WE,952.3999999999942,2871,2877.0999999761552,952.3999999999942,2871,2877.0999999761552,1,952.3999999999942,1924.699999976161,0,,Single Text Entry,Woux Response,2,object-33,End,
9,1702983527447,19/12/2023 10:58:47,1702983527447,0,19/12/2023 10:58:47,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Zeth Question,1zn881,6,response,THEM,11636.899999999994,12936.799999999996,12942.800000023839,11636.899999999994,12936.799999999996,12942.800000023839,1,11636.899999999994,1305.9000000238448,0,,Single Text Entry,Zeth Response,2,object-37,End,
10,1702983529449,19/12/2023 10:58:49,1702983529449,0,19/12/2023 10:58:49,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Screen 1,otfijt,7,continue,,2008.1000000476852,2002.0999999999985,2008.1000000476852,2008.1000000476852,2002.0999999999985,2008.1000000476852,1,2008.1000000476852,0,0,,Click To Continue,Continue Button,2,object-4,End,
11,1702983529449,19/12/2023 10:58:49,1702983529449,0,19/12/2023 10:58:49,157165,2,task-lnj2,,33776984,BLIND,9991103,,complete,,658172baa4c696ab5359725e,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x953,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1702983304755,19/12/2023 10:55:04,1702983304755,0,19/12/2023 10:55:04,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1702983311076,19/12/2023 10:55:11,1702983311076,0,19/12/2023 10:55:11,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,continue,,7028.7,7013,7028.7,7028.7,7013,7028.7,0,7028.7,0,0,,Click To Continue,Continue Button,2,object-8,End,
3,1702983311076,19/12/2023 10:55:11,1702983311076,0,19/12/2023 10:55:11,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 7,4j4xks,1,response,Pumpkin Pasties,6059.8,7013,7028.7,6059.8,7013,7028.7,1,6059.8,968.8999999999996,0,,Dropdown,Dropdown,4,object-10,End,
4,1702983323940,19/12/2023 10:55:23,1702983323940,0,19/12/2023 10:55:23,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,continue,,12880.899999976158,12874.900000000001,12880.899999976158,12880.899999976158,12874.900000000001,12880.899999976158,0,12880.899999976158,0,0,,Click To Continue,Continue Button,2,object-14,End,
5,1702983323942,19/12/2023 10:55:23,1702983323942,0,19/12/2023 10:55:23,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Attention Check 8,hervnh,2,response,Nimbus Two Thousand,11890.5,12874.900000000001,12883.300000011921,11890.5,12874.900000000001,12883.300000011921,1,11890.5,992.8000000119209,0,,Dropdown,Attention Check 6,3,object-15,End,
6,1702983330067,19/12/2023 10:55:30,1702983330067,0,19/12/2023 10:55:30,157165,2,task-lnj2,,33776902,BLIND,9991159,,complete,,6581742ac85c2b2a02ee44ff,computer,Desktop or Laptop,Windows 10,Edge 120.0.0.0,1280x720,1232x564,,,0,End Screen,10,,,1i-2,,Pass,,,Spreadsheet1,1,End,Fich Question,old87p,3,response,YOU,4328.0999999999985,6125,6133.4000000119195,4328.0999999999985,6125,6133.4000000119195,1,4328.0999999999985,1805.300000011921,0,,Single Text Entry,Fich Response,2,object-22,End,
