Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Correct,Spreadsheet: Wrong,Spreadsheet: Number,Spreadsheet: Blot,Spreadsheet: LeftOption,Spreadsheet: RightOption,Spreadsheet: ANSWER,Spreadsheet: Option B,Spreadsheet: Left Option,Spreadsheet: Option A,Spreadsheet: Right Option,Spreadsheet: Right,Spreadsheet: Incorrect,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702981360906,19/12/2023 10:22:40,1702981360906,0,19/12/2023 10:22:40,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702981365592,19/12/2023 10:22:45,1702981365592,0,19/12/2023 10:22:45,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,continue,,4700.1,4691.8,4700.1,4700.1,4691.8,4700.1,0,4700.1,0,0,,Click To Continue,Continue Button,2,object-98,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702981365593,19/12/2023 10:22:45,1702981365593,0,19/12/2023 10:22:45,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 3,h2412x,1,response,Hungarian Horntail,3958.5,4691.8,4700.1,3958.5,4691.8,4700.1,1,3958.5,741.6000000000004,0,,Dropdown,Dropdown,3,object-100,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702981369656,19/12/2023 10:22:49,1702981369656,0,19/12/2023 10:22:49,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,continue,,4073.80000000596,4066.5,4073.80000000596,4073.80000000596,4066.5,4073.80000000596,0,4073.80000000596,0,0,,Click To Continue,Continue Button,2,object-104,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702981369657,19/12/2023 10:22:49,1702981369657,0,19/12/2023 10:22:49,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Attention Check 4,q3vhpo,2,response,Serpent,3624.7999999999993,4066.5,4074.3999999999996,3624.7999999999993,4066.5,4074.3999999999996,1,3624.7999999999993,449.60000000000036,0,,Dropdown,Attention Check 2,3,object-105,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702981379032,19/12/2023 10:22:59,1702981379032,0,19/12/2023 10:22:59,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,AttentionChecks,Instructions,g2b1f4,3,continue,,9379.100000000004,9370.800000000001,9379.100000000004,9379.100000000004,9370.800000000001,9379.100000000004,1,9379.100000000004,0,0,,Click To Continue,Continue Button,2,object-79,AttentionChecks,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702981386417,19/12/2023 10:23:06,1702981386417,0,19/12/2023 10:23:06,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,1,Testing01,Testing,hvzr65,1,response,14_TOPMARK_MELK.png,7391.0999999999985,7383.399999999998,7391.0999999999985,7391.0999999999985,7383.399999999998,7391.0999999999985,0,7391.0999999999985,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,23,HDM_23,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,14_TOPMARK_HOAT.png,HOAT,,,,,,HOAT,14_TOPMARK_HOAT.png,MELK,14_TOPMARK_MELK.png,MELK,14_TOPMARK_MELK.png,,0,1
8,1702981389973,19/12/2023 10:23:09,1702981389973,0,19/12/2023 10:23:09,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,2,Testing01,Testing,hvzr65,1,response,18_CEILING_DAIN.png,3566.400000000005,3558.100000000002,3566.400000000005,3566.400000000005,3558.100000000002,3566.400000000005,1,3566.400000000005,0,0,,Click Response,LeftOption,4,object-85,Testing01,1,_,,HDM,24,HDM_24,18_CEILING,,ASK,.png,18_CEILING_ASK.png,18_CEILING_DAIN.png,DAIN,,,,,,DAIN,18_CEILING_DAIN.png,HOAT,18_CEILING_HOAT.png,HOAT,18_CEILING_HOAT.png,,1,2
9,1702981392418,19/12/2023 10:23:12,1702981392418,0,19/12/2023 10:23:12,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,3,Testing01,Testing,hvzr65,1,response,12_TOAD_DAIN.png,2455.899999982117,2449.9000000000015,2455.899999982117,2455.899999982117,2449.9000000000015,2455.899999982117,1,2455.899999982117,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,22,HDM_22,12_TOAD,,ASK,.png,12_TOAD_ASK.png,12_TOAD_DAIN.png,DAIN,,,,,,MELK,12_TOAD_MELK.png,DAIN,12_TOAD_DAIN.png,MELK,12_TOAD_MELK.png,,2,3
10,1702981395619,19/12/2023 10:23:15,1702981395619,0,19/12/2023 10:23:15,157165,2,task-o8nf,,33776086,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain B Testing,4,,,2-3,,,,fail,Melk-Hoat-Dain Testing,4,Testing01,Testing,hvzr65,1,response,04_HUFFLEPUFF_DAIN.png,3207.699999999997,3200.2999999999956,3207.699999999997,3207.699999999997,3200.2999999999956,3207.699999999997,0,3207.699999999997,0,0,,Click Response,RightOption,3,object-86,Testing01,1,_,,HDM,20,HDM_20,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,04_HUFFLEPUFF_MELK.png,MELK,,,,,,MELK,04_HUFFLEPUFF_MELK.png,DAIN,04_HUFFLEPUFF_DAIN.png,DAIN,04_HUFFLEPUFF_DAIN.png,,2,4
