Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702980975176,19/12/2023 10:16:15,1702980975176,0,19/12/2023 10:16:15,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702980990590,19/12/2023 10:16:30,1702980990590,0,19/12/2023 10:16:30,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions1,l6tegj,1,continue,,14995.599999999997,14987.199999999999,14995.599999999997,14995.599999999997,14987.199999999999,14995.599999999997,1,14995.599999999997,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702980993441,19/12/2023 10:16:33,1702980993441,0,19/12/2023 10:16:33,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions2,m22b5k,2,continue,,2858.2000000000007,2849.9000000000015,2858.2000000000007,2858.2000000000007,2849.9000000000015,2858.2000000000007,1,2858.2000000000007,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702980996227,19/12/2023 10:16:36,1702980996227,0,19/12/2023 10:16:36,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions4,ipt5mm,3,continue,,2791.7999999999993,2783.5,2791.7999999999993,2791.7999999999993,2783.5,2791.7999999999993,1,2791.7999999999993,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702980999162,19/12/2023 10:16:39,1702980999162,0,19/12/2023 10:16:39,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions5,9ur7d5,4,continue,,2941.4000000000015,2933.2000000000007,2941.4000000000015,2941.4000000000015,2933.2000000000007,2941.4000000000015,1,2941.4000000000015,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702981005301,19/12/2023 10:16:45,1702981005301,0,19/12/2023 10:16:45,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Prolific ID,vypmqm,5,response,616595ace46d35dafdd7edd4,5346.0999999999985,6146,6154.4000000000015,5346.0999999999985,6146,6154.4000000000015,1,5346.0999999999985,808.3000000000029,0,,Single Text Entry,Single Text Entry,2,object-283,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702981011867,19/12/2023 10:16:51,1702981011867,0,19/12/2023 10:16:51,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,continue,,6574.199999994038,6566.299999999996,6574.199999994038,6574.199999994038,6566.299999999996,6574.199999994038,1,6574.199999994038,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1702981011868,19/12/2023 10:16:51,1702981011868,0,19/12/2023 10:16:51,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,27,2958.199999999997,6566.299999999996,6574.499999999993,2958.199999999997,6566.299999999996,6574.499999999993,1,2958.199999999997,3616.2999999999956,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1702981011868,19/12/2023 10:16:51,1702981011868,0,19/12/2023 10:16:51,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Female,4766.5,6566.299999999996,6574.499999999993,4766.5,6566.299999999996,6574.499999999993,1,4766.5,1807.9999999999927,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1702981011868,19/12/2023 10:16:51,1702981011868,0,19/12/2023 10:16:51,157165,2,task-s443,,33775942,BLIND,9990914,,complete,,65816d623a1e5c2c765af5c4,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 120.0.0.0,1512x982,1480x713,,,0,Melk-Hoat-Dain A Training,5,,,2-3,,,,fail,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,6241.4000000000015,6566.299999999996,6574.499999999993,6241.4000000000015,6566.299999999996,6574.499999999993,1,6241.4000000000015,333.09999999999127,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
