Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: Condition,Spreadsheet: _,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: randomise_trials,Spreadsheet: display,Spreadsheet: Image,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Blot,Spreadsheet: Aux,Spreadsheet: Port,Spreadsheet: Starboard,Spreadsheet: Correct,Spreadsheet: Incorrect,Spreadsheet: ,Spreadsheet: Y,Spreadsheet: N,Spreadsheet: L,Spreadsheet: R,Manipulation: Spreadsheet,Store: correct,Store: total
1,1702982174386,19/12/2023 10:36:14,1702982174386,0,19/12/2023 10:36:14,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702982175288,19/12/2023 10:36:15,1702982175288,0,19/12/2023 10:36:15,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,1,AttentionChecks,Instructions,g2b1f4,1,continue,,932.6000000476837,916.8000000000001,932.6000000476837,932.6000000476837,916.8000000000001,932.6000000476837,1,932.6000000476837,0,0,,Click To Continue,Continue Button,2,object-79,,,,,,AttentionChecks,,,,,,,,,,,,,,,,,13,18
3,1702982181584,19/12/2023 10:36:21,1702982181584,0,19/12/2023 10:36:21,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,1,Testing02,Testing,hvzr65,1,response,35_PROPHET_BLOT_WUNG.png,6311.000000035763,6299.700000000001,6311.000000035763,6311.000000035763,6299.700000000001,6311.000000035763,1,6311.000000035763,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,28,1e-1i_28,1,Testing02,35_PROPHET,ASK,.png,35_PROPHET_ASK.png,BLOT,WIM,35_PROPHET_BLOT_WIM.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WUNG.png,35_PROPHET_BLOT_WIM.png,,WUNG,WIM,WIM,WUNG,,14,19
4,1702982185743,19/12/2023 10:36:25,1702982185743,0,19/12/2023 10:36:25,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,2,Testing02,Testing,hvzr65,1,response,04_WHEEZES_BLOT_WAN.png,4171.200000011921,4166.5,4171.200000011921,4171.200000011921,4166.5,4171.200000011921,1,4171.200000011921,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,25,1e-1i_25,1,Testing02,04_WHEEZES,ASK,.png,04_WHEEZES_ASK.png,BLOT,WAN,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,04_WHEEZES_BLOT_WAN.png,04_WHEEZES_BLOT_WIM.png,,WAN,WIM,WAN,WIM,,15,20
5,1702982191169,19/12/2023 10:36:31,1702982191169,0,19/12/2023 10:36:31,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,3,Testing02,Testing,hvzr65,1,response,13_QUIBBLER_BLOT_WAN.png,5421.100000047683,5416.4,5421.100000047683,5421.100000047683,5416.4,5421.100000047683,0,5421.100000047683,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,27,1e-1i_27,1,Testing02,13_QUIBBLER,ASK,.png,13_QUIBBLER_ASK.png,BLOT,WIM,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,13_QUIBBLER_BLOT_WIM.png,13_QUIBBLER_BLOT_WAN.png,,WIM,WAN,WIM,WAN,,15,21
6,1702982193358,19/12/2023 10:36:33,1702982193358,0,19/12/2023 10:36:33,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,4,Testing02,Testing,hvzr65,1,response,40_BURYSNAPE_BLOT_WAN.png,2202.400000035763,2199.9000000000015,2202.400000035763,2202.400000035763,2199.9000000000015,2202.400000035763,1,2202.400000035763,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,26,1e-1i_26,1,Testing02,40_BURYSNAPE,ASK,.png,40_BURYSNAPE_ASK.png,BLOT,WUNG,40_BURYSNAPE_BLOT_WUNG.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WAN.png,40_BURYSNAPE_BLOT_WUNG.png,,WAN,WUNG,WUNG,WAN,,16,22
7,1702982196471,19/12/2023 10:36:36,1702982196471,0,19/12/2023 10:36:36,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,5,Testing02,Testing,hvzr65,1,response,28_GALLEONS_BLOT_WAN.png,3116.5999999999985,3099.899999999998,3116.5999999999985,3116.5999999999985,3099.899999999998,3116.5999999999985,0,3116.5999999999985,0,0,,Click Response,LeftOption,4,object-112,1e-1i,_,32,1e-1i_32,2,Testing02,28_GALLEONS,ASK,.png,28_GALLEONS_ASK.png,BLOT,WAN,28_GALLEONS_BLOT_WAN.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WUNG.png,28_GALLEONS_BLOT_WAN.png,,WUNG,WAN,WAN,WUNG,,16,23
8,1702982200839,19/12/2023 10:36:40,1702982200839,0,19/12/2023 10:36:40,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,6,Testing02,Testing,hvzr65,1,response,18_LIVEGODRIC_BLOT_WUNG.png,4384.6000000357635,4383.100000000002,4384.6000000357635,4384.6000000357635,4383.100000000002,4384.6000000357635,0,4384.6000000357635,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,29,1e-1i_29,2,Testing02,18_LIVEGODRIC,ASK,.png,18_LIVEGODRIC_ASK.png,BLOT,WAN,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,18_LIVEGODRIC_BLOT_WAN.png,18_LIVEGODRIC_BLOT_WUNG.png,,WAN,WUNG,WAN,WUNG,,16,24
9,1702982203791,19/12/2023 10:36:43,1702982203791,0,19/12/2023 10:36:43,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,7,Testing02,Testing,hvzr65,1,response,12_SKEETER_BLOT_WAN.png,2953.3000000476823,2949.899999999998,2953.3000000476823,2953.3000000476823,2949.899999999998,2953.3000000476823,1,2953.3000000476823,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,30,1e-1i_30,2,Testing02,12_SKEETER,ASK,.png,12_SKEETER_ASK.png,BLOT,WIM,12_SKEETER_BLOT_WIM.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WAN.png,12_SKEETER_BLOT_WIM.png,,WAN,WIM,WIM,WAN,,17,25
10,1702982206158,19/12/2023 10:36:46,1702982206158,0,19/12/2023 10:36:46,157165,2,task-slet,,33776394,BLIND,9990966,,complete,,65816f3d1525e46ba66fd782,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1080,1920x919,,,0,1e-1i B Testing,7,Pass,,1e-1i,,,,,1e-1i B Testing,8,Testing02,Testing,hvzr65,1,response,34_FANLETTERS_BLOT_WUNG.png,2370.9000000476844,2366.600000000002,2370.9000000476844,2370.9000000476844,2366.600000000002,2370.9000000476844,0,2370.9000000476844,0,0,,Click Response,RightOption,3,object-86,1e-1i,_,31,1e-1i_31,2,Testing02,34_FANLETTERS,ASK,.png,34_FANLETTERS_ASK.png,BLOT,WIM,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,34_FANLETTERS_BLOT_WIM.png,34_FANLETTERS_BLOT_WUNG.png,,WIM,WUNG,WIM,WUNG,,17,26
