Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-mams,branch-6r1e,randomiser-y4s2,branch-lrzc,branch-3gc6,branch-qx2b,branch-zqfd,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: randomise_blocks,Spreadsheet: randomise_trials,Spreadsheet: _,Spreadsheet: ,Spreadsheet: Age,Spreadsheet: Gender,Spreadsheet: Handedness,Spreadsheet: Condition,Spreadsheet: Trial,Spreadsheet: C-T,Spreadsheet: Image,Spreadsheet: Item,Spreadsheet: Ask,Spreadsheet: .png,Spreadsheet: Question,Spreadsheet: Pronoun,Spreadsheet: Number,Spreadsheet: Auxiliary,Spreadsheet: Answer,Spreadsheet: Text,Spreadsheet: English_Equivalent,Spreadsheet: Option1,Spreadsheet: Option2,Spreadsheet: Option3,Spreadsheet: Option4,Spreadsheet: Alternative,Spreadsheet: Blot,Spreadsheet: Dots,Spreadsheet: Option A,Spreadsheet: Option B,Spreadsheet: Wrong,Spreadsheet: Right,Spreadsheet: Reply,Spreadsheet: Answer A,Spreadsheet: Answer B,Manipulation: Spreadsheet,Store: NounNumberTrain,Store: NounNumberCorrect,Store: NounNumberTotal
1,1702980509045,19/12/2023 10:08:29,1702980509045,0,19/12/2023 10:08:29,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1702980531212,19/12/2023 10:08:51,1702980531212,0,19/12/2023 10:08:51,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions1,l6tegj,1,continue,,21217.090999999997,21200.424,21217.090999999997,21217.090999999997,21200.424,21217.090999999997,1,21217.090999999997,0,0,,Click To Continue,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1702980537662,19/12/2023 10:08:57,1702980537662,0,19/12/2023 10:08:57,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions2,m22b5k,2,continue,,6466.796000000002,6466.796000000002,6466.796000000002,6466.796000000002,6466.796000000002,6466.796000000002,1,6466.796000000002,0,0,,Click To Continue,Continue Button,1,object-26,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1702980538879,19/12/2023 10:08:58,1702980538879,0,19/12/2023 10:08:58,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions4,ipt5mm,3,continue,,1233.3580000000002,1233.3580000000002,1233.3580000000002,1233.3580000000002,1233.3580000000002,1233.3580000000002,1,1233.3580000000002,0,0,,Click To Continue,Continue Button,2,object-32,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1702980539312,19/12/2023 10:08:59,1702980539312,0,19/12/2023 10:08:59,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions5,9ur7d5,4,continue,,416.6749999999993,416.6749999999993,416.6749999999993,416.6749999999993,416.6749999999993,416.6749999999993,1,416.6749999999993,0,0,,Click To Continue,Continue Button,2,object-91,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1702980543479,19/12/2023 10:09:03,1702980543479,0,19/12/2023 10:09:03,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Prolific ID,vypmqm,5,response,593f07e5cc988600017944dc,3650.0729999999967,4166.75,4166.75,3650.0729999999967,4166.75,4166.75,1,3650.0729999999967,516.6770000000033,0,,Single Text Entry,Single Text Entry,2,object-283,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1702980548496,19/12/2023 10:09:08,1702980548496,0,19/12/2023 10:09:08,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,continue,,5016.767,5016.767,5016.767,5016.767,5016.767,5016.767,1,5016.767,0,0,,Click To Continue,Continue Button,3,object-151,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1702980548496,19/12/2023 10:09:08,1702980548496,0,19/12/2023 10:09:08,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,29,1883.3709999999992,5016.767,5016.767,1883.3709999999992,5016.767,5016.767,1,1883.3709999999992,3133.3960000000006,0,,Dropdown,Age,2,object-150,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1702980548496,19/12/2023 10:09:08,1702980548496,0,19/12/2023 10:09:08,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Male,3000.0599999999977,5016.767,5016.767,3000.0599999999977,5016.767,5016.767,1,3000.0599999999977,2016.7070000000022,0,,Dropdown,Gender,5,object-154,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1702980548496,19/12/2023 10:09:08,1702980548496,0,19/12/2023 10:09:08,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions6,rts1od,6,response,Right-handed,4716.760999999999,5016.767,5016.767,4716.760999999999,5016.767,5016.767,1,4716.760999999999,300.0060000000012,0,,Dropdown,Handedness,7,object-156,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1702980559213,19/12/2023 10:09:19,1702980559213,0,19/12/2023 10:09:19,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions7,9ni7em,7,continue,,10733.548000000003,10716.881000000001,10733.548000000003,10733.548000000003,10716.881000000001,10733.548000000003,0,10733.548000000003,0,0,,Click To Continue,Continue Button,2,object-197,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1702980559213,19/12/2023 10:09:19,1702980559213,0,19/12/2023 10:09:19,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions7,9ni7em,7,response,Mad-Eye Moody,7516.817000000003,10716.881000000001,10733.548000000003,7516.817000000003,10716.881000000001,10733.548000000003,1,7516.817000000003,3216.7309999999998,0,,Dropdown,Attention Check 7,4,object-199,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1702980566330,19/12/2023 10:09:26,1702980566330,0,19/12/2023 10:09:26,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions8,foqp6p,8,continue,,7133.476000000002,7116.809000000001,7133.476000000002,7133.476000000002,7116.809000000001,7133.476000000002,0,7133.476000000002,0,0,,Click To Continue,Continue Button,2,object-205,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1702980566330,19/12/2023 10:09:26,1702980566330,0,19/12/2023 10:09:26,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions8,foqp6p,8,response,Ton-Tongue Toffee,3133.3960000000006,7116.809000000001,7133.476000000002,3133.3960000000006,7116.809000000001,7133.476000000002,1,3133.3960000000006,4000.0800000000017,0,,Dropdown,Attention Check 8,3,object-206,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1702980645081,19/12/2023 10:10:45,1702980645081,0,19/12/2023 10:10:45,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions9,q3gk2e,9,continue,,78751.57499999998,78734.908,78751.57499999998,78751.57499999998,78734.908,78751.57499999998,1,78751.57499999998,0,0,,Click To Continue,Continue Button,2,object-75,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1702980713283,19/12/2023 10:11:53,1702980713283,0,19/12/2023 10:11:53,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Instructions,Instructions10,gxa3vr,10,continue,,68218.03099999999,68218.03099999999,68218.03099999999,68218.03099999999,68218.03099999999,68218.03099999999,1,68218.03099999999,0,0,,Click To Continue,Continue Button,2,object-165,Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1702980740016,19/12/2023 10:12:20,1702980740016,0,19/12/2023 10:12:20,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Training01,Training01A,34efq7,1,response,HOAT,23400.468000000023,26733.868000000017,26750.535000000003,23400.468000000023,26733.868000000017,26750.535000000003,1,23400.468000000023,3350.066999999981,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
18,1702980758100,19/12/2023 10:12:38,1702980758100,0,19/12/2023 10:12:38,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Training01,Training01B,2yfdu9,2,response,,18100.361999999994,18083.695000000007,18100.361999999994,18100.361999999994,18083.695000000007,18100.361999999994,1,18100.361999999994,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
19,1702980759600,19/12/2023 10:12:39,1702980759600,0,19/12/2023 10:12:39,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,1,Training01,Training01C,1ouhhw,3,continue,,1516.6969999999856,1500.0299999999988,1516.6969999999856,1516.6969999999856,1500.0299999999988,1516.6969999999856,1,1516.6969999999856,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,05,MHD_05,14_TOPMARK,,ASK,.png,14_TOPMARK_ASK.png,HOAT,,,14_TOPMARK_HOAT.png,HOAT,,,,,,13_GRYFFINDOR_ASK.png,BLOT,13_GRYFFINDOR_BLOT.png,MELK,HOAT,HOAT,MELK,13_GRYFFINDOR_MELK.png,MELK,,,,,
20,1702980782934,19/12/2023 10:13:02,1702980782934,0,19/12/2023 10:13:02,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,2,Training01,Training01A,34efq7,1,response,MELK,21600.432,23367.13399999999,23367.13399999999,21600.432,23367.13399999999,23367.13399999999,1,21600.432,1766.7019999999902,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,01,MHD_01,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,MELK,,,01_LOCKET_MELK.png,MELK,,,,,,02_SNITCH_ASK.png,BLOT,02_SNITCH_BLOT.png,MELK,HOAT,MELK,HOAT,02_SNITCH_HOAT.png,,HOAT,,,,
21,1702980791351,19/12/2023 10:13:11,1702980791351,0,19/12/2023 10:13:11,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,2,Training01,Training01B,2yfdu9,2,response,,8400.168000000005,8383.50099999999,8400.168000000005,8400.168000000005,8383.50099999999,8400.168000000005,1,8400.168000000005,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,01,MHD_01,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,MELK,,,01_LOCKET_MELK.png,MELK,,,,,,02_SNITCH_ASK.png,BLOT,02_SNITCH_BLOT.png,MELK,HOAT,MELK,HOAT,02_SNITCH_HOAT.png,,HOAT,,,,
22,1702980822301,19/12/2023 10:13:42,1702980822301,0,19/12/2023 10:13:42,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,2,Training01,Training01C,1ouhhw,3,continue,,30967.286000000022,30967.286000000022,30967.286000000022,30967.286000000022,30967.286000000022,30967.286000000022,1,30967.286000000022,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,01,MHD_01,01_LOCKET,,ASK,.png,01_LOCKET_ASK.png,MELK,,,01_LOCKET_MELK.png,MELK,,,,,,02_SNITCH_ASK.png,BLOT,02_SNITCH_BLOT.png,MELK,HOAT,MELK,HOAT,02_SNITCH_HOAT.png,,HOAT,,,,
23,1702980831702,19/12/2023 10:13:51,1702980831702,0,19/12/2023 10:13:51,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,3,Training01,Training01A,34efq7,1,response,MELK,5483.44299999997,9366.853999999992,9383.521000000008,5483.44299999997,9366.853999999992,9383.521000000008,1,5483.44299999997,3900.0780000000377,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
24,1702980837452,19/12/2023 10:13:57,1702980837452,0,19/12/2023 10:13:57,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,3,Training01,Training01B,2yfdu9,2,response,,5750.114999999991,5750.114999999991,5750.114999999991,5750.114999999991,5750.114999999991,5750.114999999991,1,5750.114999999991,0,0,,Click Response,Option A,4,object-245,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
25,1702980847585,19/12/2023 10:14:07,1702980847585,0,19/12/2023 10:14:07,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,3,Training01,Training01C,1ouhhw,3,continue,,10166.869999999995,10166.869999999995,10166.869999999995,10166.869999999995,10166.869999999995,10166.869999999995,1,10166.869999999995,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,02,MHD_02,04_HUFFLEPUFF,,ASK,.png,04_HUFFLEPUFF_ASK.png,MELK,,,04_HUFFLEPUFF_MELK.png,MELK,,,,,,06_OPENSECRET_ASK.png,BLOT,06_OPENSECRET_BLOT.png,DAIN,MELK,MELK,DAIN,06_OPENSECRET_DAIN.png,DAIN,,,,,
26,1702980862219,19/12/2023 10:14:22,1702980862219,0,19/12/2023 10:14:22,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,4,Training01,Training01A,34efq7,1,response,HOAT,12783.589000000036,14616.959000000032,14633.62599999999,12783.589000000036,14616.959000000032,14633.62599999999,1,12783.589000000036,1850.036999999953,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
27,1702980871869,19/12/2023 10:14:31,1702980871869,0,19/12/2023 10:14:31,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,4,Training01,Training01B,2yfdu9,2,response,,9683.527000000002,9666.859999999986,9683.527000000002,9683.527000000002,9666.859999999986,9683.527000000002,1,9683.527000000002,0,0,,Click Response,Option B,5,object-246,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
28,1702980874052,19/12/2023 10:14:34,1702980874052,0,19/12/2023 10:14:34,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,4,Training01,Training01C,1ouhhw,3,continue,,2183.3769999999786,2166.710000000021,2183.3769999999786,2183.3769999999786,2166.710000000021,2183.3769999999786,1,2183.3769999999786,0,0,,Click To Continue,Continue Button,6,object-272,Training01,,1,_,,,,,MHD,03,MHD_03,08_SLUGHORN,,ASK,.png,08_SLUGHORN_ASK.png,HOAT,,,08_SLUGHORN_HOAT.png,HOAT,,,,,,09_WEDDING_ASK.png,BLOT,09_WEDDING_BLOT.png,HOAT,DAIN,HOAT,DAIN,09_WEDDING_DAIN.png,,DAIN,,,,
29,1702980880186,19/12/2023 10:14:40,1702980880186,0,19/12/2023 10:14:40,157165,2,task-xxab,,33775790,BLIND,9990861,,complete,,65816b73a4c696ab5359700f,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1039,1920x1039,,,0,Melk-Hoat-Dain A Training,5,,,1e-3,Pass,,,,Melk-Hoat-Dain Training,5,Training01,Training01A,34efq7,1,response,DAIN,4383.420999999973,6116.78899999999,6133.455999999947,4383.420999999973,6116.78899999999,6133.455999999947,1,4383.420999999973,1750.0349999999744,0,,Single Text Entry,TextResponseA,4,object-97,Training01,,1,_,,,,,MHD,06,MHD_06,18_CEILING,,ASK,.png,18_CEILING_ASK.png,DAIN,,,18_CEILING_DAIN.png,DAIN,,,,,,17_PETRIFIED_ASK.png,BLOT,17_PETRIFIED_BLOT.png,HOAT,DAIN,DAIN,HOAT,17_PETRIFIED_HOAT.png,HOAT,,,,,
